"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior"
"Mauricio Macri presidente Javier Milei vice",0.368,0.385,0.35,0.401,0.351,0.381,0.355,0.343,0.376,0.383,0.371,0.36
"Sergio Massa presidente Gerardo Morales vice",0.16,0.153,0.168,0.198,0.164,0.144,0.138,0.149,0.171,0.156,0.168,0.144
"Nicolas del Caño presidente Myriam Bregman vice",0.069,0.074,0.062,0.07,0.075,0.055,0.073,0.062,0.073,0.07,0.062,0.083
"No sabe",0.403,0.388,0.42,0.331,0.41,0.42,0.434,0.446,0.38,0.391,0.399,0.413
