"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior"
"Frente de Todos y el peronismo",0.348,0.315,0.381,0.312,0.375,0.344,0.33,0.349,0.361,0.327,0.359,0.325
"Cambiemos",0.284,0.257,0.312,0.168,0.245,0.35,0.407,0.284,0.264,0.318,0.283,0.288
"Liberales y Javier Milei",0.234,0.287,0.18,0.403,0.233,0.179,0.132,0.233,0.245,0.216,0.228,0.245
"Izquierda",0.034,0.035,0.033,0.043,0.035,0.029,0.029,0.045,0.024,0.037,0.037,0.027
"No sabe",0.1,0.106,0.094,0.074,0.112,0.098,0.102,0.089,0.106,0.102,0.093,0.115
