"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior"
"Patricia Bullrich","Muy buena",0.253,0.227,0.279,0.198,0.227,0.29,0.315,0.247,0.237,0.285,0.263,0.231
"Patricia Bullrich","Buena",0.159,0.177,0.141,0.18,0.149,0.152,0.17,0.122,0.175,0.177,0.153,0.171
"Patricia Bullrich","Ni buena ni mala",0.121,0.129,0.113,0.126,0.128,0.125,0.095,0.148,0.121,0.089,0.116,0.132
"Patricia Bullrich","Mala",0.084,0.092,0.076,0.106,0.078,0.073,0.091,0.096,0.085,0.069,0.083,0.087
"Patricia Bullrich","Muy mala",0.349,0.357,0.34,0.303,0.389,0.341,0.312,0.336,0.356,0.352,0.359,0.327
"Patricia Bullrich","No sabe",0.034,0.018,0.051,0.087,0.029,0.019,0.017,0.051,0.026,0.028,0.026,0.052
"Horacio Rodriguez Larreta","Muy buena",0.135,0.124,0.146,0.078,0.122,0.169,0.175,0.165,0.126,0.113,0.136,0.133
"Horacio Rodriguez Larreta","Buena",0.195,0.183,0.207,0.142,0.181,0.211,0.26,0.173,0.198,0.216,0.192,0.201
"Horacio Rodriguez Larreta","Ni buena ni mala",0.222,0.243,0.202,0.225,0.23,0.222,0.204,0.241,0.228,0.191,0.229,0.209
"Horacio Rodriguez Larreta","Mala",0.154,0.163,0.145,0.171,0.146,0.155,0.152,0.145,0.168,0.14,0.153,0.155
"Horacio Rodriguez Larreta","Muy mala",0.266,0.265,0.267,0.333,0.296,0.219,0.195,0.24,0.258,0.313,0.267,0.265
"Horacio Rodriguez Larreta","No sabe",0.028,0.022,0.033,0.051,0.025,0.024,0.014,0.036,0.022,0.027,0.023,0.037
"CFK","Muy buena",0.236,0.216,0.255,0.215,0.248,0.233,0.232,0.247,0.23,0.23,0.246,0.214
"CFK","Buena",0.085,0.081,0.09,0.08,0.097,0.073,0.082,0.083,0.092,0.078,0.087,0.083
"CFK","Ni buena ni mala",0.082,0.069,0.094,0.146,0.074,0.064,0.056,0.076,0.099,0.061,0.08,0.084
"CFK","Mala",0.068,0.076,0.061,0.05,0.075,0.063,0.079,0.083,0.071,0.046,0.064,0.077
"CFK","Muy mala",0.522,0.547,0.497,0.501,0.498,0.559,0.547,0.501,0.504,0.576,0.516,0.535
"CFK","No sabe",0.007,0.011,0.003,0.008,0.008,0.008,0.004,0.01,0.004,0.009,0.007,0.007
"Axel Kicillof","Muy buena",0.188,0.159,0.216,0.176,0.184,0.171,0.231,0.15,0.203,0.209,0.189,0.185
"Axel Kicillof","Buena",0.119,0.12,0.119,0.114,0.12,0.128,0.112,0.141,0.117,0.097,0.122,0.114
