var,categoria,Julio Alak a intendente por Unión por la Patria,Guillermo Escudero a intendente por Unión por la Patria,Gaston Castagneto a intendente por Unión por la Patria,Juan Pablo Allan a intendente por Juntos por el Cambio,Julio Garro a intendente por Juntos por el Cambio,Luciano Guma a intendente por la Libertad Avanza,A los candidatos a intendente del Frente de Izquierda,Otro,Ninguno,No sabe
P05,Mucho,866,1,722,929,727,0.16,0.28,717,656,725
P05,Bastante,134,0,278,71,0,0.84,0.72,283,195,212
P05,Poco,0,0,0,0,0,0,0,0,89,63
P05,Nada,0,0,0,0,0,0,0,0,0.06,0
P05,No sabe,0,0,0,0,273,0,0,0,0,0
P06,Siempre,96,222,486,0,0,52,0.28,149,0.35,0.48
P06,Casi siempre,588,368,189,196,1,108,0.72,0.31,0.23,331
P06,Casi nunca,316,0.41,229,804,0,0.84,0,541,0.42,189
P06,"Nunca, pero esta es una excepción",0,0,96,0,0,0,0,0,0,0
P08,Unión por la Patria,984,833,1,0.67,273,1,402,355,837,788
P08,Juntos por el Cambio,0,0,0,42,0,0,0,0,62,149
P08,De los Liberales libertarios,0,0,0,0,0,0,0,319,54,0
P08,De la Izquierda,0,167,0,239,563,0,598,176,35,0
P08,Hacemos por nuestro país,0,0,0,0,0,0,0,0.15,0,0
P08,Otro,16,0,0,49,0,0,0,0,0,0
P08,En blanco,0,0,0,0,0,0,0,0,6,0
P08,No sabe,0,0,0,0,164,0,0,0,6,63
P19,Lo votaría,758,0.33,395,541,0,105,428,124,0.61,249
P19,Puede que lo vote,185,0.67,536,117,186,845,572,0,204,511
P19,Nunca lo votaría,0.02,0,0,296,814,0.05,0,514,64,156
P19,No sabe,37,0,69,46,0,0,0,362,122,84
P20,Lo votaría,498,1,0,367,0,106,0,0,18,141
P20,Puede que lo vote,245,0,378,78,581,0,433,104,528,69
P20,Nunca lo votaría,111,0,298,0.49,419,0.05,567,563,289,278
P20,No sabe,146,0,324,65,0,844,0,333,165,512
P21,Lo votaría,358,0.32,344,463,0,0,314,0,144,501
P21,Puede que lo vote,437,0.68,374,81,0.58,861,122,0.13,472,184
P21,Nunca lo votaría,132,0,0,436,0.42,139,564,661,213,148
P21,No sabe,73,0,282,0.02,0,0,0,209,171,167
P22,Lo votaría,0.96,1,1,0.7,243,1,438,569,765,0.74
P22,Puede que lo vote,0.04,0,0,267,0,0,562,155,49,66
P22,Nunca lo votaría,0,0,0,33,186,0,0,276,186,153
P22,No sabe,0,0,0,0,571,0,0,0,0,41
P23,Lo votaría,54,0,241,522,0,48,123,158,68,154
P23,Puede que lo vote,0,0,0,247,0,0,555,271,0,0
P23,Nunca lo votaría,946,1,759,231,0.43,952,322,571,926,846
P23,No sabe,0,0,0,0,0.57,0,0,0,6,0
P24,Lo votaría,0,0,0,0,0,48,0,0,0,0
P24,Puede que lo vote,0,0,0,33,0.57,0,0,0,0,154
P24,Nunca lo votaría,1,1,1,967,0.43,952,1,1,994,846
P24,No sabe,0,0,0,0,0,0,0,0,6,0
P25,Lo votaría,0,0,0,0,0,47,0,275,54,0
P25,Puede que lo vote,0,0,0,0,562,0,0,0,14,87
P25,Nunca lo votaría,1,1,1,1,438,953,1,725,932,913
P25,No sabe,0,0,0,0,0,0,0,0,0,0
P26,Si,722,297,558,329,273,0,685,293,428,0.61
P26,No,278,703,442,671,727,1,315,707,572,0.39
