"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza","A los candidatos a presidente, a gobernador del Frente de Izquierda","Otro","No sabe"
"P05","Mucho",0.58,0.659,0.454,0.502,0.462,0.452,0.379,0.237
"P05","Bastante",0.249,0.216,0.32,0.318,0.284,0.134,0.319,0.249
"P05","Poco",0.131,0.028,0.112,0.129,0.133,0.24,0.158,0.148
"P05","Nada",0.024,0.024,0.065,0.045,0.108,0.174,0.136,0.282
"P05","No sabe",0.016,0.073,0.049,0.006,0.013,0,0.008,0.084
"P06","Siempre",0.242,0.196,0.255,0.261,0.258,0.142,0.217,0.095
"P06","Casi siempre",0.346,0.408,0.38,0.37,0.205,0.282,0.228,0.311
"P06","Casi nunca",0.315,0.352,0.241,0.28,0.395,0.35,0.262,0.248
"P06","Nunca, pero esta es una excepción",0.097,0.044,0.124,0.089,0.142,0.226,0.293,0.346
"P08","Unión por la Patria",0.733,0.777,0.161,0.098,0.142,0.056,0.045,0.11
"P08","Juntos por el Cambio",0.112,0.033,0.709,0.806,0.057,0.015,0.135,0.136
"P08","De los Liberales libertarios",0.054,0.022,0.045,0,0.694,0.014,0.104,0.027
"P08","De la Izquierda",0.021,0.069,0.013,0.005,0.02,0.652,0.031,0.016
"P08","Hacemos por nuestro país",0.005,0.047,0.004,0.002,0.033,0,0.009,0
"P08","Otro",0.036,0.026,0.023,0.012,0.012,0.007,0.351,0.044
"P08","En blanco",0.005,0.004,0.009,0.018,0.015,0.022,0.126,0.21
"P08","No sabe",0.034,0.022,0.036,0.059,0.027,0.234,0.199,0.457
"P19","Lo votaría",0.651,0.505,0.067,0.036,0.076,0.073,0,0.048
"P19","Puede que lo vote",0.163,0.28,0.063,0.081,0.182,0.156,0.122,0.194
"P19","Nunca lo votaría",0.14,0.113,0.845,0.821,0.66,0.541,0.638,0.484
"P19","No sabe",0.046,0.102,0.025,0.062,0.082,0.23,0.24,0.274
"P20","Lo votaría",0.254,0.197,0.048,0.046,0.088,0.024,0,0.025
"P20","Puede que lo vote",0.267,0.272,0.025,0.034,0.108,0.226,0.011,0.089
"P20","Nunca lo votaría",0.364,0.271,0.894,0.879,0.747,0.57,0.747,0.615
"P20","No sabe",0.115,0.26,0.033,0.041,0.057,0.18,0.242,0.271
"P21","Lo votaría",0.207,0.236,0.027,0.014,0.028,0.099,0,0.015
"P21","Puede que lo vote",0.31,0.374,0.026,0.063,0.081,0.128,0,0.118
"P21","Nunca lo votaría",0.373,0.239,0.919,0.878,0.803,0.607,0.869,0.618
"P21","No sabe",0.11,0.151,0.028,0.045,0.088,0.166,0.131,0.249
"P22","Lo votaría",0.335,0.808,0.052,0.042,0.043,0.073,0.012,0.012
"P22","Puede que lo vote",0.255,0.074,0.025,0.021,0.089,0.223,0.088,0.135
"P22","Nunca lo votaría",0.34,0.098,0.913,0.901,0.812,0.471,0.845,0.583
"P22","No sabe",0.07,0.02,0.01,0.036,0.056,0.233,0.055,0.27
"P23","Lo votaría",0.101,0.123,0.667,0.137,0.136,0.072,0.048,0.023
"P23","Puede que lo vote",0.069,0.038,0.16,0.385,0.259,0.012,0.074,0.135
"P23","Nunca lo votaría",0.781,0.824,0.166,0.401,0.536,0.739,0.805,0.562
"P23","No sabe",0.049,0.015,0.007,0.077,0.069,0.177,0.073,0.28
"P24","Lo votaría",0.045,0.004,0.271,0.611,0.093,0.066,0.018,0.005
"P24","Puede que lo vote",0.098,0.038,0.394,0.284,0.187,0.009,0.105,0.198
"P24","Nunca lo votaría",0.807,0.954,0.298,0.087,0.666,0.763,0.8,0.57
"P24","No sabe",0.05,0.004,0.037,0.018,0.054,0.162,0.077,0.227
"P25","Lo votaría",0.038,0.033,0.089,0.055,0.601,0.008,0.018,0.015
"P25","Puede que lo vote",0.053,0.034,0.17,0.206,0.164,0.097,0.211,0.155
"P25","Nunca lo votaría",0.88,0.933,0.704,0.675,0.185,0.827,0.74,0.755
"P25","No sabe",0.029,0,0.037,0.064,0.05,0.068,0.031,0.075
"P26","Si",0.458,0.468,0.452,0.498,0.439,0.286,0.167,0.173
"P26","No",0.542,0.532,0.548,0.502,0.561,0.714,0.833,0.827
"INTENDENTE","Julio Alak a intendente por Unión por la Patria",0.671,0.228,0.066,0.062,0.051,0.042,0.091,0.101
"INTENDENTE","Guillermo Escudero a intendente por Unión por la Patria",0.082,0.024,0.008,0.009,0.03,0.009,0,0.021
"INTENDENTE","Gaston Castagneto a intendente por Unión por la Patria",0.072,0.068,0.016,0.002,0.025,0.038,0,0
"INTENDENTE","Juan Pablo Allan a intendente por Juntos por el Cambio",0.046,0.103,0.54,0.1,0.032,0.027,0.036,0.02
"INTENDENTE","Julio Garro a intendente por Juntos por el Cambio",0.037,0.028,0.247,0.726,0.187,0.066,0.059,0.074
"INTENDENTE","Luciano Guma a intendente por la Libertad Avanza",0.031,0.046,0.018,0.034,0.612,0.007,0.029,0.049
"INTENDENTE","A los candidatos a intendente del Frente de Izquierda",0.012,0.023,0.013,0.002,0.009,0.773,0.06,0.023
"INTENDENTE","Otro",0.029,0.05,0.031,0.012,0.022,0,0.575,0.028
"INTENDENTE","En blanco",0,0.307,0,0,0,0,0,0
"INTENDENTE","No sabe",0.02,0.123,0.061,0.053,0.032,0.038,0.15,0.684
