"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Garro","Saintout","Crespi","Simioni","Peña","NA","NA","NA","NA"
"Unión por la Patria",0.376,0.366,0.384,0.358,0.435,0.36,0.291,0.28,0.349,0.45,0.206,0.821,0.315,0.227,0.206,0.327,0.176,0.156,0.142
"Juntos por el Cambio",0.289,0.265,0.311,0.183,0.24,0.398,0.466,0.237,0.319,0.292,0.553,0.084,0.247,0.065,0.329,0.072,0.092,0.162,0.1
"De los Liberales libertarios",0.121,0.167,0.079,0.197,0.114,0.076,0.051,0.162,0.11,0.107,0.144,0.025,0.194,0.085,0.055,0.202,0.147,0.192,0.138
"De la Izquierda",0.043,0.04,0.046,0.054,0.048,0.025,0.035,0.05,0.035,0.047,0.023,0.013,0.081,0.448,0,0.06,0.055,0.023,0.03
"Hacemos por nuestro país",0.01,0.014,0.006,0.017,0.006,0.008,0.006,0.034,0.001,0.004,0,0.013,0.032,0,0.311,0.011,0.015,0,0.004
"Otro",0.038,0.035,0.04,0.044,0.04,0.034,0.025,0.041,0.044,0.031,0.009,0.035,0.012,0.067,0.027,0.186,0,0.01,0.027
"En blanco",0.033,0.03,0.037,0.04,0.025,0.042,0.029,0.045,0.032,0.029,0.008,0.002,0.013,0.072,0,0.044,0.403,0.101,0.057
"No sabe",0.09,0.083,0.097,0.107,0.092,0.057,0.097,0.151,0.11,0.04,0.057,0.007,0.106,0.036,0.072,0.098,0.112,0.356,0.502
