"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Garro","Saintout","Crespi","Simioni","Peña","NA","NA","NA","NA"
"Julio Alak a intendente por Unión por la Patria",0.198,0.217,0.179,0.243,0.203,0.167,0.148,0.212,0.212,0.178,0.123,0.462,0.247,0.033,0.051,0.117,0.169,0.233,0.28
"Guillermo Escudero a intendente por Unión por la Patria",0.033,0.043,0.024,0.022,0.046,0.024,0.034,0.049,0.038,0.021,0.005,0.056,0.184,0.051,0.087,0.08,0.042,0,0.027
"Gaston Castagneto a intendente por Unión por la Patria",0.038,0.044,0.033,0.044,0.051,0.026,0.014,0.077,0.034,0.022,0.015,0.103,0,0,0,0.068,0.039,0.022,0.059
"Juan Pablo Allan a intendente por Juntos por el Cambio",0.129,0.116,0.14,0.065,0.126,0.164,0.195,0.133,0.095,0.154,0.167,0.1,0.114,0.268,0,0.073,0.02,0.018,0.038
"Julio Garro a intendente por Juntos por el Cambio",0.26,0.231,0.287,0.18,0.242,0.34,0.337,0.178,0.289,0.278,0.42,0.08,0.082,0.023,0,0.059,0.191,0.201,0.151
"Luciano Guma a intendente por la Libertad Avanza",0.115,0.141,0.091,0.172,0.104,0.098,0.066,0.187,0.076,0.111,0.103,0.049,0.249,0.09,0.562,0.204,0.041,0.282,0.037
"A los candidatos a intendente del Frente de Izquierda",0.045,0.041,0.049,0.044,0.067,0.02,0.028,0.019,0.066,0.041,0.018,0.032,0,0.497,0,0.016,0.154,0.033,0.053
"Otro",0.063,0.075,0.053,0.077,0.043,0.074,0.074,0.038,0.054,0.084,0.038,0.057,0.038,0.019,0.156,0.202,0.03,0,0.189
"No sabe",0.119,0.092,0.144,0.153,0.118,0.087,0.104,0.107,0.136,0.111,0.111,0.061,0.086,0.019,0.144,0.181,0.314,0.211,0.166
