"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Garro","Saintout","Crespi","Simioni","Peña","NA","NA","NA","NA"
"Si",0.507,0.52,0.495,0.457,0.524,0.541,0.517,0.547,0.472,0.515,0.567,0.372,0.478,0.667,0.67,0.499,0.628,0.461,0.502
"No",0.493,0.48,0.505,0.543,0.476,0.459,0.483,0.453,0.528,0.485,0.433,0.628,0.522,0.333,0.33,0.501,0.372,0.539,0.498
