"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Garro","Saintout","Crespi","Simioni","Peña","NA","NA","NA","NA"
"Si",0.432,0.436,0.429,0.336,0.485,0.469,0.408,0.444,0.426,0.431,0.505,0.418,0.303,0.482,0.192,0.372,0.239,0.366,0.181
"No",0.568,0.564,0.571,0.664,0.515,0.531,0.592,0.556,0.574,0.569,0.495,0.582,0.697,0.518,0.808,0.628,0.761,0.634,0.819
