"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Garro","Saintout","Crespi","Simioni","Peña","NA","NA","NA","NA"
"Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.357,0.35,0.365,0.359,0.4,0.349,0.265,0.358,0.348,0.365,0.186,0.69,0.341,0.272,0.158,0.379,0.261,0.164,0.295
"Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.069,0.05,0.086,0.052,0.086,0.065,0.065,0.045,0.056,0.092,0.013,0.167,0.069,0.084,0.101,0.09,0.067,0.007,0
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.18,0.19,0.171,0.126,0.134,0.24,0.311,0.167,0.167,0.197,0.331,0.036,0.1,0.112,0.266,0.082,0.031,0.172,0.064
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.125,0.101,0.146,0.098,0.113,0.14,0.183,0.105,0.148,0.116,0.234,0.023,0.155,0.041,0,0.049,0.036,0.033,0.084
"Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.135,0.181,0.093,0.209,0.128,0.094,0.066,0.188,0.111,0.127,0.156,0.043,0.246,0.077,0.339,0.189,0.206,0.23,0.132
"A los candidatos a presidente, a gobernador del Frente de Izquierda",0.037,0.039,0.035,0.041,0.045,0.023,0.028,0.051,0.039,0.028,0.022,0.013,0.057,0.291,0,0.025,0.042,0.127,0.051
"Otro",0.03,0.039,0.022,0.03,0.036,0.029,0.019,0.02,0.034,0.033,0.017,0.021,0.014,0.032,0.031,0.098,0.024,0.006,0.094
"No sabe",0.067,0.05,0.082,0.085,0.058,0.06,0.063,0.066,0.097,0.042,0.041,0.007,0.018,0.091,0.105,0.088,0.333,0.261,0.28
