"var","categoria","El covid-19","El desempleo","El precio del dólar","La inseguridad","La inflación","La corrupción","La pobreza","Las tarifas","Otro"
"P05","Si",0.854,0.816,0.784,0.827,0.769,0.721,0.837,0.703,0.784
"P05","Puede ser",0.104,0.154,0.096,0.118,0.231,0.127,0.148,0.297,0.171
"P05","No",0.042,0.03,0.12,0.055,0,0.152,0.015,0,0.045
"P06","Gerardo Zamora por el Frente Civico por Santiago",0.843,0.684,0.844,0.723,0.779,0.284,0.59,0.564,0.602
"P06","Pablo Mirolo por el Frente Renovador",0.103,0.121,0.088,0.209,0.112,0.12,0.08,0,0.072
"P06","Marcelo Lugones por Juntos por el Cambio",0.017,0.049,0,0.04,0.065,0.293,0.095,0.286,0.089
"P06","Emilio Rached por Juntos por el Cambio",0.004,0.045,0.068,0,0,0.058,0.061,0,0.069
"P06","Guillermo Suarez Melean por Juntos por el Cambio",0.002,0.021,0,0,0,0.038,0.011,0,0
"P06","Natalia Neme por Juntos por el Cambio",0.002,0,0,0,0,0.035,0.002,0,0.013
"P06","No sabe",0.029,0.08,0,0.028,0.044,0.172,0.161,0.15,0.155
"P08","Angel Nicolai del Frente Cívico por Santiago",0.612,0.514,0.514,0.495,0.609,0.092,0.466,0.142,0.231
"P08","Pablo Mirolo por el Frente renovador",0.236,0.183,0.41,0.288,0.188,0.165,0.156,0,0.109
"P08","Marcelo Lugones por Juntos por el Cambio",0.017,0.088,0,0.04,0.05,0.281,0.068,0,0.159
"P08","Emilio Rached por Juntos por el Cambio",0.019,0.027,0,0,0.05,0.117,0.019,0.287,0.069
"P08","Rodrigo Posse por Juntos por el Cambio",0,0.011,0.006,0,0.007,0.006,0.021,0,0.053
"P08","Facundo Perez Carletti por Juntos por el Cambio",0.001,0.01,0,0,0,0.148,0.019,0,0
"P08","Natalia Neme por Juntos por el Cambio",0.008,0.034,0.035,0,0.003,0.08,0.078,0,0.027
"P08","A otros candidatos",0.038,0.02,0,0.095,0.015,0.014,0.019,0.269,0.065
"P08","No sabe",0.069,0.113,0.035,0.082,0.078,0.097,0.154,0.302,0.287
"P15","Muy buena",0.716,0.253,0.473,0.599,0.433,0.109,0.361,0.437,0.429
"P15","Buena",0.075,0.3,0.217,0.113,0.096,0.016,0.086,0,0.167
"P15","Ni buena ni mala",0.149,0.274,0.225,0.267,0.264,0.118,0.133,0.153,0.033
"P15","Mala",0.018,0.078,0,0.004,0.13,0.158,0.145,0.289,0.119
"P15","Muy mala",0.003,0.079,0.085,0,0.063,0.549,0.161,0.121,0.155
"P15","No sabe",0.039,0.016,0,0.017,0.014,0.05,0.114,0,0.097
"P16","Muy buena",0.051,0.06,0.132,0.055,0.089,0.274,0.061,0.294,0.046
"P16","Buena",0.1,0.155,0.123,0,0,0.21,0.094,0,0.171
"P16","Ni buena ni mala",0.29,0.252,0.421,0.351,0.353,0.175,0.171,0,0.144
"P16","Mala",0.361,0.356,0.2,0.445,0.215,0.166,0.274,0.44,0.192
"P16","Muy mala",0.198,0.158,0.09,0.09,0.329,0.159,0.352,0.266,0.266
"P16","No sabe",0,0.019,0.034,0.059,0.014,0.016,0.048,0,0.181
"P17","Muy buena",0.638,0.348,0.586,0.59,0.538,0.146,0.438,0.789,0.28
"P17","Buena",0.174,0.225,0.372,0.074,0.082,0,0.132,0,0.219
"P17","Ni buena ni mala",0.144,0.167,0.042,0.291,0.206,0.039,0.095,0.027,0.092
"P17","Mala",0.025,0.163,0,0.005,0.037,0.05,0.046,0,0.022
"P17","Muy mala",0.019,0.087,0,0,0.123,0.749,0.26,0.171,0.297
"P17","No sabe",0,0.01,0,0.04,0.014,0.016,0.029,0.013,0.09
"P18","Muy buena",0.071,0.152,0.171,0.088,0.129,0.332,0.104,0,0.153
"P18","Buena",0.086,0.239,0.153,0.354,0.163,0.189,0.136,0,0.153
"P18","Ni buena ni mala",0.529,0.406,0.636,0.517,0.318,0.14,0.357,0.435,0.383
"P18","Mala",0.155,0.121,0.04,0,0.073,0.082,0.052,0.535,0.045
"P18","Muy mala",0.078,0.026,0,0,0.157,0.142,0.123,0,0.033
"P18","No sabe",0.081,0.056,0,0.041,0.16,0.115,0.228,0.03,0.233
"P19","Muy buena",0.15,0.034,0.112,0.169,0.225,0.032,0.021,0.201,0.119
"P19","Buena",0.157,0.227,0.53,0.435,0.188,0.159,0.115,0,0.244
"P19","Ni buena ni mala",0.581,0.505,0.351,0.297,0.362,0.065,0.372,0.473,0.248
"P19","Mala",0.064,0.078,0.007,0.061,0.126,0.298,0.15,0.326,0.034
"P19","Muy mala",0.007,0.094,0,0.038,0.071,0.412,0.15,0,0.15
"P19","No sabe",0.041,0.062,0,0,0.028,0.034,0.192,0,0.205
"P20","Si",0.62,0.726,0.487,0.53,0.642,0.516,0.654,0.823,0.406
"P20","No",0.38,0.274,0.513,0.47,0.358,0.484,0.346,0.177,0.594
