"var","categoria","Angel Nicolai del Frente Cívico por Santiago","Pablo Mirolo por el Frente renovador","Marcelo Lugones por Juntos por el Cambio","Emilio Rached por Juntos por el Cambio","Rodrigo Posse por Juntos por el Cambio","Facundo Perez Carletti por Juntos por el Cambio","Natalia Neme por Juntos por el Cambio","A otros candidatos","No sabe"
"P05","Si",0.855,0.778,0.839,0.675,0.271,0.931,0.726,0.829,0.72
"P05","Puede ser",0.095,0.181,0.105,0.172,0.729,0.035,0.274,0.15,0.249
"P05","No",0.05,0.041,0.056,0.153,0,0.034,0,0.021,0.031
"P06","Gerardo Zamora por el Frente Civico por Santiago",0.904,0.607,0.082,0.261,0.363,0.481,0.454,0.744,0.58
"P06","Pablo Mirolo por el Frente Renovador",0.045,0.32,0.127,0,0,0,0.079,0.033,0.053
"P06","Marcelo Lugones por Juntos por el Cambio",0.006,0.003,0.635,0.422,0.027,0.149,0.02,0,0.072
"P06","Emilio Rached por Juntos por el Cambio",0.022,0.042,0.014,0.266,0.112,0,0.067,0,0.009
"P06","Guillermo Suarez Melean por Juntos por el Cambio",0,0.013,0.035,0.022,0.272,0,0.041,0.007,0
"P06","Natalia Neme por Juntos por el Cambio",0,0,0.032,0,0.055,0.048,0,0.02,0
"P06","No sabe",0.023,0.015,0.075,0.029,0.171,0.322,0.339,0.196,0.286
"P10","El covid-19",0.25,0.219,0.041,0.09,0,0.014,0.045,0.209,0.117
"P10","El desempleo",0.294,0.238,0.293,0.174,0.272,0.14,0.274,0.159,0.268
"P10","El precio del dólar",0.091,0.165,0,0,0.048,0,0.086,0,0.025
"P10","La inseguridad",0.066,0.087,0.031,0,0,0,0,0.172,0.045
"P10","La inflación",0.114,0.08,0.055,0.109,0.058,0,0.008,0.037,0.061
"P10","La corrupción",0.019,0.079,0.345,0.286,0.053,0.728,0.238,0.039,0.084
"P10","La pobreza",0.128,0.098,0.109,0.06,0.255,0.118,0.299,0.072,0.175
"P10","Las tarifas",0.007,0,0,0.173,0,0,0,0.192,0.065
"P10","Otro",0.031,0.034,0.126,0.108,0.314,0,0.05,0.12,0.16
"P15","Muy buena",0.481,0.559,0,0.092,0.314,0,0.049,0.275,0.48
"P15","Buena",0.194,0.104,0,0,0.273,0.078,0.429,0.195,0.12
"P15","Ni buena ni mala",0.212,0.166,0.309,0.018,0.057,0,0.084,0.237,0.216
"P15","Mala",0.021,0.101,0.234,0.41,0.082,0.411,0,0,0.084
"P15","Muy mala",0.049,0.041,0.422,0.48,0.274,0.511,0.368,0.227,0.044
"P15","No sabe",0.043,0.029,0.035,0,0,0,0.07,0.066,0.056
"P16","Muy buena",0.045,0.109,0.374,0.408,0.214,0.062,0,0,0.005
"P16","Buena",0.085,0.073,0.381,0.249,0.023,0.199,0.372,0,0.011
"P16","Ni buena ni mala",0.26,0.4,0.1,0.063,0.113,0.276,0.34,0.293,0.163
"P16","Mala",0.342,0.219,0.135,0.156,0.365,0.342,0.266,0.317,0.412
"P16","Muy mala",0.252,0.183,0.01,0.124,0.285,0.121,0.022,0.354,0.233
"P16","No sabe",0.016,0.016,0,0,0,0,0,0.036,0.176
"P17","Muy buena",0.528,0.542,0.096,0.139,0.714,0,0.269,0.346,0.456
"P17","Buena",0.216,0.183,0,0,0,0.085,0.25,0.086,0.166
"P17","Ni buena ni mala",0.163,0.11,0,0,0.056,0.166,0.077,0.271,0.148
"P17","Mala",0.026,0.082,0.247,0.222,0,0,0.007,0.022,0.057
"P17","Muy mala",0.06,0.083,0.621,0.639,0.23,0.749,0.397,0.24,0.09
"P17","No sabe",0.007,0,0.036,0,0,0,0,0.035,0.083
"P18","Muy buena",0.093,0.089,0.575,0.5,0,0.137,0.017,0.022,0.105
"P18","Buena",0.188,0.107,0.284,0.168,0.413,0.475,0.234,0.224,0.022
"P18","Ni buena ni mala",0.45,0.481,0.121,0.311,0.565,0.388,0.341,0.28,0.453
"P18","Mala",0.113,0.087,0.01,0,0.022,0,0.121,0.387,0.1
"P18","Muy mala",0.079,0.127,0.01,0.021,0,0,0.02,0.048,0.019
"P18","No sabe",0.077,0.109,0,0,0,0,0.267,0.039,0.301
"P19","Muy buena",0.131,0.082,0,0.124,0.34,0,0,0.113,0.04
"P19","Buena",0.25,0.353,0.037,0.191,0,0,0.323,0.237,0.077
"P19","Ni buena ni mala",0.492,0.298,0.293,0.138,0.296,0.22,0.384,0.343,0.476
"P19","Mala",0.052,0.13,0.26,0.048,0.204,0.454,0.203,0.176,0.053
"P19","Muy mala",0.041,0.021,0.41,0.499,0.16,0.326,0.09,0.094,0.102
"P19","No sabe",0.034,0.116,0,0,0,0,0,0.037,0.252
"P20","Si",0.629,0.731,0.571,0.591,0.91,0.712,0.18,0.486,0.607
"P20","No",0.371,0.269,0.429,0.409,0.09,0.288,0.82,0.514,0.393
