"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"CFK","Positiva",0.618,0.55,0.683,0.652,0.677,0.527,0.455,0.697,0.547,0.496,0.777,0.103,0.271
"CFK","Neutra",0.131,0.13,0.132,0.19,0.142,0.048,0.041,0.128,0.165,0.071,0.119,0.127,0.208
"CFK","Negativa",0.233,0.299,0.171,0.136,0.163,0.419,0.485,0.166,0.26,0.407,0.092,0.735,0.521
"CFK","No sabe",0.018,0.021,0.014,0.022,0.018,0.006,0.019,0.009,0.028,0.026,0.012,0.035,0
"Alberto Fernandez","Positiva",0.559,0.467,0.646,0.56,0.67,0.465,0.348,0.628,0.492,0.466,0.721,0.075,0.153
"Alberto Fernandez","Neutra",0.193,0.197,0.19,0.215,0.182,0.132,0.259,0.196,0.229,0.11,0.175,0.194,0.321
"Alberto Fernandez","Negativa",0.208,0.276,0.144,0.146,0.116,0.403,0.393,0.134,0.236,0.399,0.069,0.667,0.526
"Alberto Fernandez","No sabe",0.04,0.06,0.02,0.079,0.032,0,0,0.042,0.043,0.025,0.035,0.064,0
"Sergio Massa","Positiva",0.316,0.319,0.313,0.199,0.38,0.394,0.366,0.34,0.293,0.28,0.374,0.116,0.272
"Sergio Massa","Neutra",0.405,0.354,0.453,0.546,0.388,0.236,0.274,0.48,0.347,0.263,0.464,0.234,0.226
"Sergio Massa","Negativa",0.211,0.259,0.165,0.14,0.155,0.37,0.36,0.108,0.282,0.422,0.089,0.589,0.502
"Sergio Massa","No sabe",0.068,0.068,0.069,0.115,0.077,0,0,0.072,0.078,0.035,0.073,0.061,0
"Horacio Rodriguez Larreta","Positiva",0.316,0.342,0.292,0.238,0.28,0.363,0.608,0.314,0.329,0.295,0.229,0.644,0.506
"Horacio Rodriguez Larreta","Neutra",0.413,0.405,0.421,0.499,0.414,0.324,0.274,0.463,0.371,0.331,0.458,0.222,0.475
"Horacio Rodriguez Larreta","Negativa",0.168,0.17,0.165,0.122,0.195,0.255,0.094,0.101,0.219,0.291,0.192,0.094,0.019
"Horacio Rodriguez Larreta","No sabe",0.103,0.083,0.122,0.141,0.111,0.058,0.024,0.122,0.081,0.083,0.121,0.04,0
"Mauricio Macri","Positiva",0.206,0.222,0.191,0.173,0.107,0.299,0.485,0.236,0.19,0.14,0.111,0.63,0.105
"Mauricio Macri","Neutra",0.258,0.239,0.276,0.293,0.289,0.185,0.161,0.28,0.212,0.278,0.27,0.21,0.156
"Mauricio Macri","Negativa",0.503,0.512,0.495,0.496,0.563,0.508,0.326,0.442,0.579,0.553,0.592,0.139,0.739
"Mauricio Macri","No sabe",0.033,0.027,0.038,0.038,0.041,0.008,0.028,0.042,0.019,0.029,0.027,0.021,0
