"var","categoria","Si","Puede ser","No"
"P11","Al Frente de todos",0.4,0.427,0.293
"P11","A Juntos",0.417,0.025,0.09
"P11","Al Frente de Izquierda",0.04,0.025,0.297
"P11","Al Partido Avanza libertad",0.067,0.092,0.028
"P11","A “Vamos con vos""",0.019,0.079,0
"P11","Votaría en blanco o anularía",0.057,0.352,0.292
