"var","categoria","Al Frente de todos","A Juntos","Al Frente de Izquierda","Al Partido Avanza libertad","A “Vamos con vos""","Votaría en blanco o anularía"
"P08","Si",0.832,0.975,0.591,0.821,0.647,0.448
"P08","Puede ser",0.117,0.008,0.048,0.15,0.353,0.363
"P08","No",0.051,0.017,0.361,0.029,0,0.189
"P34","Gran excedente habitual",0,0.009,0,0.02,0,0
"P34","Gran excedente excepcional",0,0.007,0,0.004,0,0
"P34","Pequeño excedente habitual",0.031,0.074,0.13,0.004,0,0.017
"P34","Pequeño excedente excepcional",0.073,0.028,0.106,0.038,0.033,0.006
"P34","Alcanza gastos familia",0.123,0.071,0.035,0.296,0.181,0.046
"P34","No alcanza gastos familia",0.123,0.228,0.04,0.13,0.127,0.191
"P34","Solo NBFamiliares",0.266,0.211,0.095,0.207,0.133,0.35
"P34","No alcanza NBFamiliares",0.367,0.369,0.594,0.301,0.526,0.39
"P34","No sabe",0.017,0.003,0,0,0,0
"P35","Muy buena",0.035,0.054,0.119,0.067,0,0
"P35","Buena",0.176,0.072,0.011,0.031,0.033,0.012
"P35","Ni buena ni mala",0.475,0.429,0.337,0.339,0.212,0.19
"P35","Mala",0.218,0.249,0.285,0.361,0.359,0.278
"P35","Muy mala",0.088,0.184,0.248,0.202,0.26,0.507
"P35","No sabe",0.008,0.012,0,0,0.136,0.013
"P36","Mejor",0.238,0.036,0.11,0,0.122,0.015
"P36","Igual",0.486,0.141,0.308,0.118,0.147,0.187
"P36","Peor",0.234,0.802,0.532,0.849,0.633,0.701
"P36","No sabe",0.042,0.021,0.05,0.033,0.098,0.097
"P37","Mejor",0.34,0.038,0.214,0,0.064,0.014
"P37","Igual",0.298,0.115,0.24,0.128,0.642,0.124
"P37","Peor",0.169,0.766,0.534,0.612,0.172,0.561
"P37","No sabe",0.193,0.081,0.012,0.26,0.122,0.301
"P46","Muy buena",0.263,0.061,0,0.043,0.015,0
"P46","Buena",0.286,0.053,0.131,0.055,0.15,0.123
"P46","Ni buena ni mala",0.177,0.097,0.26,0.084,0.339,0.049
"P46","Mala",0.095,0.143,0.202,0.034,0.169,0.024
"P46","Muy mala",0.133,0.646,0.366,0.784,0.327,0.725
"P46","No sabe",0.046,0,0.041,0,0,0.079
"P47","Muy buena",0.527,0.081,0.038,0.065,0.151,0.096
"P47","Buena",0.165,0.011,0.136,0.04,0.164,0.012
"P47","Ni buena ni mala",0.068,0.083,0.14,0.02,0.125,0.226
"P47","Mala",0.066,0.031,0.059,0,0,0.132
"P47","Muy mala",0.16,0.792,0.627,0.875,0.56,0.534
"P47","No sabe",0.014,0.002,0,0,0,0
"P48","Muy buena",0.016,0.245,0.022,0,0.514,0.014
"P48","Buena",0.049,0.198,0,0.031,0,0.168
"P48","Ni buena ni mala",0.097,0.245,0,0.182,0,0.24
"P48","Mala",0.147,0.155,0.3,0.333,0.156,0.021
"P48","Muy mala",0.691,0.157,0.678,0.454,0.33,0.557
"P48","No sabe",0,0,0,0,0,0
"P49","Muy buena",0.064,0.48,0.058,0.02,0.168,0.013
"P49","Buena",0.032,0.287,0,0.018,0.382,0.15
"P49","Ni buena ni mala",0.23,0.115,0.154,0.242,0.118,0.313
"P49","Mala",0.183,0.056,0.412,0.035,0.292,0.023
"P49","Muy mala",0.449,0.062,0.35,0.685,0.04,0.501
"P49","No sabe",0.042,0,0.026,0,0,0
"P50","Muy buena",0.089,0.024,0,0,0.018,0.062
"P50","Buena",0.254,0.058,0.018,0.021,0,0.019
"P50","Ni buena ni mala",0.365,0.11,0,0.292,0.568,0.269
"P50","Mala",0.107,0.15,0.22,0,0.038,0.141
"P50","Muy mala",0.155,0.648,0.762,0.687,0.376,0.509
"P50","No sabe",0.03,0.01,0,0,0,0
"P59","Muy buena",0.067,0.214,0.06,0.072,0.016,0.025
"P59","Buena",0.045,0.353,0.047,0.124,0.04,0.105
"P59","Ni buena ni mala",0.199,0.292,0.396,0.073,0.541,0.167
"P59","Mala",0.22,0.032,0.15,0.025,0.403,0.229
"P59","Muy mala",0.362,0.054,0.347,0.454,0,0.446
"P59","No sabe",0.107,0.055,0,0.252,0,0.028
"P61","Muy buena",0.032,0.068,0,0.055,0,0.031
"P61","Buena",0.024,0.214,0,0.023,0.013,0.033
"P61","Ni buena ni mala",0.269,0.363,0.515,0.125,0.501,0.154
"P61","Mala",0.172,0.017,0.017,0.01,0.129,0.321
"P61","Muy mala",0.232,0.092,0.212,0.444,0.319,0.307
"P61","No sabe",0.271,0.246,0.256,0.343,0.038,0.154
