"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.142,0.153,0.131,0.192,0.112,0.182,0.086,0.164,0.156,0.097,0.107,0.286,0.111,0.126,0.169,0.182,0.092,0.131,6
"Buena",0.169,0.18,0.158,0.209,0.145,0.151,0.204,0.172,0.18,0.15,0.127,0.371,0.055,0.102,0.247,0.178,0.173,0.052,6
"Ni buena ni mala",0.349,0.347,0.351,0.3,0.364,0.327,0.416,0.39,0.349,0.302,0.41,0.247,0.2,0.304,0.369,0.355,0.317,0.523,6
"Mala",0.156,0.135,0.177,0.139,0.16,0.175,0.138,0.125,0.142,0.211,0.184,0.055,0.219,0.232,0.085,0.147,0.167,0.16,6
"Muy mala",0.126,0.14,0.113,0.114,0.171,0.093,0.078,0.081,0.116,0.193,0.099,0.03,0.328,0.169,0.085,0.112,0.157,0.037,6
"No sabe",0.058,0.045,0.07,0.046,0.048,0.072,0.078,0.068,0.057,0.047,0.073,0.011,0.087,0.067,0.045,0.026,0.094,0.097,6
"Positiva",0.311,0.333,0.289,0.401,0.257,0.333,0.29,0.336,0.336,0.247,0.234,0.657,0.166,0.228,0.416,0.36,0.265,0.183,4
"Neutra",0.349,0.347,0.351,0.3,0.364,0.327,0.416,0.39,0.349,0.302,0.41,0.247,0.2,0.304,0.369,0.355,0.317,0.523,4
"Negativa",0.282,0.275,0.29,0.253,0.331,0.268,0.216,0.206,0.258,0.404,0.283,0.085,0.547,0.401,0.17,0.259,0.324,0.197,4
"No sabe",0.058,0.045,0.07,0.046,0.048,0.072,0.078,0.068,0.057,0.047,0.073,0.011,0.087,0.067,0.045,0.026,0.094,0.097,4
