"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Peor",0.477,0.472,0.483,0.435,0.529,0.483,0.398,0.454,0.465,0.526,0.466,0.409,0.669,0.651,0.327,0.428,0.539,0.495
"Igual",0.277,0.28,0.274,0.309,0.239,0.269,0.341,0.278,0.292,0.251,0.276,0.371,0.168,0.217,0.341,0.294,0.267,0.188
"Mejor",0.159,0.167,0.151,0.189,0.165,0.127,0.145,0.18,0.144,0.157,0.169,0.159,0.093,0.075,0.23,0.195,0.115,0.146
"No sabe",0.087,0.081,0.092,0.067,0.067,0.121,0.116,0.088,0.099,0.066,0.089,0.061,0.07,0.057,0.102,0.083,0.079,0.171
