"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.217,0.218,0.217,0.161,0.209,0.255,0.263,0.213,0.177,0.283,0.265,0.048,0.484,0.459,0.024,0.214,0.224,0.202,6
"Buena",0.118,0.102,0.133,0.149,0.092,0.115,0.147,0.106,0.123,0.123,0.148,0.096,0.128,0.196,0.048,0.085,0.158,0.13,6
"Ni buena ni mala",0.132,0.144,0.119,0.117,0.144,0.116,0.144,0.145,0.166,0.066,0.165,0.085,0.068,0.15,0.086,0.148,0.098,0.231,6
"Mala",0.178,0.173,0.182,0.207,0.165,0.196,0.139,0.26,0.135,0.15,0.192,0.177,0.162,0.109,0.22,0.187,0.164,0.185,6
"Muy mala",0.34,0.354,0.326,0.366,0.379,0.31,0.247,0.253,0.381,0.375,0.218,0.586,0.158,0.079,0.613,0.351,0.341,0.231,6
"No sabe",0.015,0.009,0.023,0,0.011,0.008,0.06,0.023,0.018,0.003,0.012,0.008,0,0.007,0.009,0.015,0.015,0.021,6
"Positiva",0.335,0.32,0.35,0.31,0.301,0.37,0.41,0.319,0.3,0.406,0.413,0.144,0.612,0.655,0.072,0.299,0.382,0.332,4
"Neutra",0.132,0.144,0.119,0.117,0.144,0.116,0.144,0.145,0.166,0.066,0.165,0.085,0.068,0.15,0.086,0.148,0.098,0.231,4
"Negativa",0.518,0.527,0.508,0.573,0.544,0.506,0.386,0.513,0.516,0.525,0.41,0.763,0.32,0.188,0.833,0.538,0.505,0.416,4
"No sabe",0.015,0.009,0.023,0,0.011,0.008,0.06,0.023,0.018,0.003,0.012,0.008,0,0.007,0.009,0.015,0.015,0.021,4
