"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.11,0.084,0.138,0.13,0.074,0.121,0.161,0.155,0.096,0.082,0.164,0.035,0.192,0.244,0.011,0.111,0.106,0.139,6
"Buena",0.135,0.128,0.141,0.154,0.115,0.145,0.141,0.079,0.152,0.169,0.165,0.095,0.206,0.23,0.059,0.109,0.167,0.132,6
"Ni buena ni mala",0.173,0.178,0.168,0.15,0.192,0.148,0.195,0.132,0.201,0.177,0.201,0.099,0.292,0.258,0.084,0.172,0.181,0.131,6
"Mala",0.2,0.213,0.186,0.201,0.176,0.235,0.206,0.257,0.172,0.178,0.191,0.194,0.097,0.098,0.247,0.218,0.173,0.224,6
"Muy mala",0.373,0.387,0.359,0.365,0.433,0.341,0.276,0.36,0.369,0.393,0.273,0.571,0.213,0.166,0.594,0.382,0.366,0.337,6
"No sabe",0.009,0.01,0.008,0,0.01,0.01,0.021,0.017,0.01,0.001,0.006,0.006,0,0.004,0.005,0.008,0.007,0.037,6
"Positiva",0.245,0.212,0.279,0.284,0.189,0.266,0.302,0.234,0.248,0.251,0.329,0.13,0.398,0.474,0.07,0.22,0.273,0.271,4
"Neutra",0.173,0.178,0.168,0.15,0.192,0.148,0.195,0.132,0.201,0.177,0.201,0.099,0.292,0.258,0.084,0.172,0.181,0.131,4
"Negativa",0.573,0.6,0.545,0.566,0.609,0.576,0.482,0.617,0.541,0.571,0.464,0.765,0.31,0.264,0.841,0.6,0.539,0.561,4
"No sabe",0.009,0.01,0.008,0,0.01,0.01,0.021,0.017,0.01,0.001,0.006,0.006,0,0.004,0.005,0.008,0.007,0.037,4
