"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.086,0.089,0.083,0.12,0.07,0.099,0.061,0.097,0.077,0.087,0.072,0.112,0.086,0.064,0.114,0.106,0.058,0.099,6
"Buena",0.171,0.17,0.173,0.167,0.192,0.144,0.165,0.159,0.169,0.189,0.119,0.248,0.145,0.073,0.276,0.132,0.237,0.061,6
"Ni buena ni mala",0.412,0.448,0.375,0.351,0.41,0.434,0.47,0.499,0.412,0.317,0.488,0.434,0.309,0.396,0.424,0.444,0.371,0.415,6
"Mala",0.155,0.138,0.172,0.238,0.12,0.138,0.152,0.121,0.165,0.175,0.149,0.107,0.254,0.205,0.097,0.153,0.147,0.22,6
"Muy mala",0.142,0.142,0.142,0.091,0.181,0.151,0.099,0.093,0.138,0.202,0.137,0.076,0.195,0.237,0.062,0.13,0.166,0.087,6
"No sabe",0.034,0.013,0.055,0.033,0.027,0.034,0.053,0.031,0.039,0.03,0.035,0.023,0.011,0.025,0.027,0.035,0.021,0.118,6
"Positiva",0.257,0.259,0.256,0.287,0.262,0.243,0.226,0.256,0.246,0.276,0.191,0.36,0.231,0.137,0.39,0.238,0.295,0.16,4
"Neutra",0.412,0.448,0.375,0.351,0.41,0.434,0.47,0.499,0.412,0.317,0.488,0.434,0.309,0.396,0.424,0.444,0.371,0.415,4
"Negativa",0.297,0.28,0.314,0.329,0.301,0.289,0.251,0.214,0.303,0.377,0.286,0.183,0.449,0.442,0.159,0.283,0.313,0.307,4
"No sabe",0.034,0.013,0.055,0.033,0.027,0.034,0.053,0.031,0.039,0.03,0.035,0.023,0.011,0.025,0.027,0.035,0.021,0.118,4
