"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.241,0.253,0.229,0.233,0.229,0.264,0.247,0.281,0.231,0.212,0.169,0.394,0.191,0.081,0.427,0.277,0.204,0.177,6
"Buena",0.186,0.225,0.147,0.233,0.182,0.181,0.141,0.159,0.21,0.182,0.159,0.294,0.054,0.042,0.329,0.171,0.206,0.192,6
"Ni buena ni mala",0.104,0.105,0.103,0.09,0.12,0.08,0.119,0.118,0.102,0.091,0.139,0.102,0.073,0.057,0.118,0.142,0.053,0.11,6
"Mala",0.155,0.127,0.183,0.213,0.116,0.143,0.191,0.18,0.169,0.104,0.192,0.106,0.115,0.23,0.076,0.153,0.151,0.193,6
"Muy mala",0.299,0.279,0.32,0.231,0.327,0.326,0.282,0.237,0.271,0.41,0.334,0.098,0.567,0.583,0.04,0.247,0.363,0.328,6
"No sabe",0.015,0.011,0.018,0,0.026,0.006,0.02,0.025,0.017,0.001,0.007,0.006,0,0.007,0.01,0.01,0.023,0,6
"Positiva",0.427,0.478,0.376,0.466,0.411,0.445,0.388,0.44,0.441,0.394,0.328,0.688,0.245,0.123,0.756,0.448,0.41,0.369,4
"Neutra",0.104,0.105,0.103,0.09,0.12,0.08,0.119,0.118,0.102,0.091,0.139,0.102,0.073,0.057,0.118,0.142,0.053,0.11,4
"Negativa",0.454,0.406,0.503,0.444,0.443,0.469,0.473,0.417,0.44,0.514,0.526,0.204,0.682,0.813,0.116,0.4,0.514,0.521,4
"No sabe",0.015,0.011,0.018,0,0.026,0.006,0.02,0.025,0.017,0.001,0.007,0.006,0,0.007,0.01,0.01,0.023,0,4
