"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.139,0.119,0.158,0.13,0.13,0.135,0.179,0.211,0.135,0.059,0.238,0.07,0.072,0.207,0.078,0.135,0.144,0.134,6
"Buena",0.236,0.243,0.229,0.25,0.223,0.227,0.268,0.204,0.26,0.238,0.328,0.186,0.235,0.304,0.15,0.214,0.252,0.325,6
"Ni buena ni mala",0.282,0.296,0.269,0.229,0.261,0.342,0.326,0.336,0.232,0.297,0.274,0.202,0.263,0.278,0.286,0.297,0.254,0.346,6
"Mala",0.205,0.211,0.199,0.23,0.214,0.192,0.165,0.155,0.218,0.244,0.099,0.361,0.222,0.131,0.293,0.225,0.2,0.07,6
"Muy mala",0.114,0.117,0.112,0.108,0.155,0.093,0.046,0.068,0.122,0.157,0.027,0.18,0.168,0.062,0.173,0.111,0.123,0.082,6
"No sabe",0.024,0.014,0.033,0.053,0.017,0.011,0.016,0.026,0.033,0.005,0.034,0.001,0.04,0.018,0.02,0.018,0.027,0.043,6
"Positiva",0.375,0.362,0.387,0.38,0.353,0.362,0.447,0.415,0.395,0.297,0.566,0.256,0.307,0.511,0.228,0.349,0.396,0.459,4
"Neutra",0.282,0.296,0.269,0.229,0.261,0.342,0.326,0.336,0.232,0.297,0.274,0.202,0.263,0.278,0.286,0.297,0.254,0.346,4
"Negativa",0.319,0.328,0.311,0.338,0.369,0.285,0.211,0.223,0.34,0.401,0.126,0.541,0.39,0.193,0.466,0.336,0.323,0.152,4
"No sabe",0.024,0.014,0.033,0.053,0.017,0.011,0.016,0.026,0.033,0.005,0.034,0.001,0.04,0.018,0.02,0.018,0.027,0.043,4
