"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Aníbal Tortoriello","Positiva",0.311,0.333,0.289,0.401,0.257,0.333,0.29,0.336,0.336,0.247,0.234,0.657,0.166,0.228,0.416,0.36,0.265,0.183
"Aníbal Tortoriello","Neutra",0.349,0.347,0.351,0.3,0.364,0.327,0.416,0.39,0.349,0.302,0.41,0.247,0.2,0.304,0.369,0.355,0.317,0.523
"Aníbal Tortoriello","Negativa",0.282,0.275,0.29,0.253,0.331,0.268,0.216,0.206,0.258,0.404,0.283,0.085,0.547,0.401,0.17,0.259,0.324,0.197
"Aníbal Tortoriello","No sabe",0.058,0.045,0.07,0.046,0.048,0.072,0.078,0.068,0.057,0.047,0.073,0.011,0.087,0.067,0.045,0.026,0.094,0.097
"Juan Schiaretti","Positiva",0.257,0.259,0.256,0.287,0.262,0.243,0.226,0.256,0.246,0.276,0.191,0.36,0.231,0.137,0.39,0.238,0.295,0.16
"Juan Schiaretti","Neutra",0.412,0.448,0.375,0.351,0.41,0.434,0.47,0.499,0.412,0.317,0.488,0.434,0.309,0.396,0.424,0.444,0.371,0.415
"Juan Schiaretti","Negativa",0.297,0.28,0.314,0.329,0.301,0.289,0.251,0.214,0.303,0.377,0.286,0.183,0.449,0.442,0.159,0.283,0.313,0.307
"Juan Schiaretti","No sabe",0.034,0.013,0.055,0.033,0.027,0.034,0.053,0.031,0.039,0.03,0.035,0.023,0.011,0.025,0.027,0.035,0.021,0.118
"Alberto Weretilneck","Positiva",0.375,0.362,0.387,0.38,0.353,0.362,0.447,0.415,0.395,0.297,0.566,0.256,0.307,0.511,0.228,0.349,0.396,0.459
"Alberto Weretilneck","Neutra",0.282,0.296,0.269,0.229,0.261,0.342,0.326,0.336,0.232,0.297,0.274,0.202,0.263,0.278,0.286,0.297,0.254,0.346
"Alberto Weretilneck","Negativa",0.319,0.328,0.311,0.338,0.369,0.285,0.211,0.223,0.34,0.401,0.126,0.541,0.39,0.193,0.466,0.336,0.323,0.152
"Alberto Weretilneck","No sabe",0.024,0.014,0.033,0.053,0.017,0.011,0.016,0.026,0.033,0.005,0.034,0.001,0.04,0.018,0.02,0.018,0.027,0.043
"María Emilia Soria","Positiva",0.321,0.289,0.355,0.37,0.271,0.35,0.341,0.325,0.319,0.322,0.411,0.195,0.476,0.538,0.144,0.331,0.303,0.346
"María Emilia Soria","Neutra",0.293,0.279,0.308,0.286,0.294,0.274,0.334,0.33,0.3,0.242,0.352,0.205,0.185,0.255,0.31,0.309,0.248,0.474
"María Emilia Soria","Negativa",0.349,0.393,0.303,0.298,0.391,0.363,0.285,0.301,0.34,0.414,0.208,0.578,0.27,0.172,0.526,0.346,0.38,0.155
"María Emilia Soria","No sabe",0.037,0.039,0.034,0.046,0.044,0.013,0.04,0.044,0.041,0.022,0.029,0.022,0.069,0.035,0.02,0.014,0.069,0.025
"Victoria Villarruel","Positiva",0.425,0.483,0.363,0.431,0.431,0.43,0.39,0.44,0.427,0.401,0.303,0.691,0.252,0.123,0.736,0.435,0.428,0.302
"Victoria Villarruel","Neutra",0.177,0.148,0.207,0.162,0.148,0.197,0.244,0.26,0.165,0.104,0.238,0.154,0.133,0.152,0.164,0.204,0.13,0.262
"Victoria Villarruel","Negativa",0.381,0.361,0.404,0.407,0.403,0.359,0.326,0.283,0.382,0.492,0.439,0.155,0.613,0.705,0.094,0.341,0.427,0.436
"Victoria Villarruel","No sabe",0.017,0.008,0.026,0,0.018,0.014,0.04,0.017,0.026,0.003,0.02,0,0.002,0.02,0.006,0.02,0.015,0
"Javier Milei","Positiva",0.421,0.467,0.374,0.428,0.443,0.42,0.357,0.391,0.45,0.411,0.326,0.684,0.202,0.137,0.734,0.454,0.398,0.279
"Javier Milei","Neutra",0.109,0.102,0.116,0.085,0.125,0.088,0.136,0.152,0.103,0.071,0.124,0.102,0.055,0.065,0.1,0.137,0.058,0.216
"Javier Milei","Negativa",0.454,0.406,0.504,0.466,0.419,0.481,0.483,0.426,0.432,0.516,0.545,0.2,0.681,0.776,0.166,0.397,0.52,0.505
"Javier Milei","No sabe",0.016,0.025,0.006,0.021,0.013,0.011,0.024,0.031,0.015,0.002,0.005,0.014,0.062,0.022,0,0.012,0.024,0
"Patricia Bullrich","Positiva",0.427,0.478,0.376,0.466,0.411,0.445,0.388,0.44,0.441,0.394,0.328,0.688,0.245,0.123,0.756,0.448,0.41,0.369
"Patricia Bullrich","Neutra",0.104,0.105,0.103,0.09,0.12,0.08,0.119,0.118,0.102,0.091,0.139,0.102,0.073,0.057,0.118,0.142,0.053,0.11
"Patricia Bullrich","Negativa",0.454,0.406,0.503,0.444,0.443,0.469,0.473,0.417,0.44,0.514,0.526,0.204,0.682,0.813,0.116,0.4,0.514,0.521
"Patricia Bullrich","No sabe",0.015,0.011,0.018,0,0.026,0.006,0.02,0.025,0.017,0.001,0.007,0.006,0,0.007,0.01,0.01,0.023,0
"CFK","Positiva",0.361,0.347,0.375,0.372,0.32,0.394,0.4,0.352,0.347,0.391,0.423,0.196,0.615,0.71,0.095,0.297,0.43,0.468
"CFK","Neutra",0.144,0.159,0.129,0.15,0.159,0.12,0.132,0.173,0.153,0.099,0.196,0.116,0.081,0.133,0.122,0.167,0.103,0.22
"CFK","Negativa",0.482,0.485,0.478,0.478,0.508,0.48,0.42,0.455,0.486,0.505,0.375,0.682,0.277,0.145,0.78,0.526,0.449,0.3
"CFK","No sabe",0.013,0.009,0.018,0,0.013,0.006,0.048,0.02,0.014,0.005,0.006,0.006,0.027,0.012,0.003,0.01,0.018,0.012
"Axel Kicillof","Positiva",0.335,0.32,0.35,0.31,0.301,0.37,0.41,0.319,0.3,0.406,0.413,0.144,0.612,0.655,0.072,0.299,0.382,0.332
