"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.274,0.317,0.229,0.227,0.316,0.298,0.192,0.286,0.282,0.247,0.204,0.436,0.162,0.09,0.495,0.307,0.248,0.144,6
"Buena",0.147,0.15,0.145,0.201,0.127,0.122,0.165,0.105,0.168,0.164,0.122,0.248,0.04,0.047,0.239,0.147,0.15,0.135,6
"Ni buena ni mala",0.109,0.102,0.116,0.085,0.125,0.088,0.136,0.152,0.103,0.071,0.124,0.102,0.055,0.065,0.1,0.137,0.058,0.216,6
"Mala",0.154,0.129,0.181,0.252,0.087,0.143,0.208,0.217,0.146,0.097,0.239,0.076,0.107,0.234,0.085,0.146,0.155,0.224,6
"Muy mala",0.3,0.277,0.323,0.214,0.332,0.338,0.275,0.209,0.286,0.419,0.306,0.124,0.574,0.542,0.081,0.251,0.365,0.281,6
"No sabe",0.016,0.025,0.006,0.021,0.013,0.011,0.024,0.031,0.015,0.002,0.005,0.014,0.062,0.022,0,0.012,0.024,0,6
"Positiva",0.421,0.467,0.374,0.428,0.443,0.42,0.357,0.391,0.45,0.411,0.326,0.684,0.202,0.137,0.734,0.454,0.398,0.279,4
"Neutra",0.109,0.102,0.116,0.085,0.125,0.088,0.136,0.152,0.103,0.071,0.124,0.102,0.055,0.065,0.1,0.137,0.058,0.216,4
"Negativa",0.454,0.406,0.504,0.466,0.419,0.481,0.483,0.426,0.432,0.516,0.545,0.2,0.681,0.776,0.166,0.397,0.52,0.505,4
"No sabe",0.016,0.025,0.006,0.021,0.013,0.011,0.024,0.031,0.015,0.002,0.005,0.014,0.062,0.022,0,0.012,0.024,0,4
