"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P11","Muy buena",0.441,0,0.077,0.02,0.033,0.058,0.047,0.202,0
"P11","Buena",0.043,0,0.086,0.082,0.104,0.103,0.268,0.133,0.18
"P11","Ni buena ni mala",0.116,0,0.227,0.132,0.292,0.531,0.331,0.311,0.261
"P11","Mala",0.153,0,0.187,0.371,0.338,0.154,0.206,0.223,0.148
"P11","Muy mala",0.247,0,0.404,0.299,0.228,0.139,0.137,0.11,0.135
"P11","No sabe",0,0,0.019,0.096,0.005,0.015,0.011,0.021,0.276
"P12","Muy buena",0.844,0,0.637,0.542,0.426,0.26,0.211,0.185,0.146
"P12","Buena",0.061,0,0.146,0.087,0.223,0.148,0.176,0.102,0.02
"P12","Ni buena ni mala",0,0,0.091,0.182,0.112,0.328,0.197,0.213,0.333
"P12","Mala",0.061,0,0.031,0.022,0.033,0.088,0.132,0.204,0.04
"P12","Muy mala",0.034,0,0.095,0.158,0.176,0.172,0.278,0.282,0.186
"P12","No sabe",0,0,0,0.009,0.03,0.004,0.006,0.014,0.275
"P15","Muy buena",0.349,0,0.031,0.196,0.031,0.049,0.131,0.158,0
"P15","Buena",0.089,0,0.132,0.077,0.196,0.239,0.233,0.214,0.218
"P15","Ni buena ni mala",0.305,0,0.457,0.246,0.271,0.377,0.303,0.314,0.22
"P15","Mala",0.144,0,0.163,0.198,0.305,0.2,0.202,0.179,0.053
"P15","Muy mala",0.081,0,0.211,0.283,0.182,0.118,0.109,0.108,0.107
"P15","No sabe",0.032,0,0.006,0,0.015,0.017,0.022,0.027,0.402
"P16","Gobierno nacional",0.117,0,0.108,0.087,0.138,0.267,0.281,0.456,0.075
"P16","Gobierno provincial",0.798,0,0.783,0.836,0.694,0.443,0.506,0.32,0.293
"P16","No sabe",0.085,0,0.109,0.077,0.168,0.29,0.213,0.224,0.632
"P17","El anterior gobierno de Arabela Carreras",0.207,0,0.398,0.311,0.516,0.518,0.358,0.347,0.513
"P17","El actual gobierno de Alberto Weretilneck",0.793,0,0.558,0.524,0.383,0.448,0.476,0.48,0.281
"P17","No sabe",0,0,0.044,0.165,0.101,0.034,0.166,0.173,0.206
"P18","El anterior gobierno de Alberto Fernández",0.708,0,0.843,0.432,0.441,0.384,0.289,0.352,0
"P18","El actual gobierno de Javier Milei",0.292,0,0.11,0.568,0.509,0.513,0.697,0.584,1
"P18","No sabe",0,0,0.047,0,0.05,0.103,0.014,0.064,0
"P19","Muy buena",0.102,0,0.026,0.003,0.022,0.062,0.048,0.073,0
"P19","Buena",0.067,0,0.23,0.175,0.155,0.173,0.222,0.216,0.286
"P19","Ni buena ni mala",0.05,0,0.216,0.168,0.235,0.217,0.285,0.267,0.246
"P19","Mala",0.075,0,0.32,0.433,0.448,0.386,0.273,0.258,0.014
"P19","Muy mala",0.675,0,0.204,0.19,0.117,0.156,0.165,0.177,0.095
"P19","No sabe",0.031,0,0.004,0.031,0.023,0.006,0.007,0.009,0.359
"P20","Muy buena",0.039,0,0.014,0.005,0.015,0.006,0.029,0.09,0.12
"P20","Buena",0.034,0,0.036,0.031,0.098,0.128,0.196,0.15,0
"P20","Ni buena ni mala",0.076,0,0.192,0.293,0.215,0.315,0.277,0.293,0.342
"P20","Mala",0.125,0,0.364,0.42,0.403,0.369,0.286,0.271,0.221
"P20","Muy mala",0.726,0,0.297,0.236,0.241,0.161,0.203,0.18,0.095
"P20","No sabe",0,0,0.097,0.015,0.028,0.021,0.009,0.016,0.222
"P21","Muy buena",0.337,0,0.015,0,0.016,0.006,0.026,0.058,0
"P21","Buena",0,0,0.264,0.143,0.091,0.099,0.187,0.101,0.199
"P21","Ni buena ni mala",0.015,0,0.171,0.293,0.258,0.337,0.304,0.334,0.097
"P21","Mala",0.2,0,0.268,0.401,0.399,0.375,0.24,0.291,0.329
"P21","Muy mala",0.448,0,0.208,0.155,0.194,0.164,0.215,0.21,0.095
"P21","No sabe",0,0,0.074,0.008,0.042,0.019,0.028,0.006,0.28
"P22","Muy de acuerdo",0.514,0,0.275,0.249,0.313,0.318,0.272,0.332,0
"P22","De acuerdo",0.009,0,0.079,0.222,0.232,0.088,0.315,0.203,0.349
"P22","Ni de acuerdo ni en desacuerdo",0.107,0,0.429,0.239,0.207,0.295,0.211,0.271,0.069
"P22","En desacuerdo",0.032,0,0.082,0.23,0.17,0.139,0.077,0.105,0.19
"P22","Muy en desacuerdo",0.338,0,0.084,0.057,0.042,0.086,0.09,0.056,0.095
"P22","No sabe",0,0,0.051,0.003,0.036,0.074,0.035,0.033,0.297
"P23","El estado nacional",0.505,0,0.161,0.352,0.165,0.087,0.139,0.149,0.003
"P23","El estado provincial",0.066,0,0.146,0.169,0.372,0.414,0.497,0.546,0.434
"P23","Ambos de forma coordinada",0.366,0,0.634,0.4,0.406,0.292,0.297,0.208,0.298
"P23","No sabe",0.063,0,0.059,0.079,0.057,0.207,0.067,0.097,0.265
"P24","Inseguridad y narcotráfico",0.636,0,0.154,0.394,0.193,0.314,0.311,0.359,0.022
"P24","Altos impuestos y tarifas",0.083,0,0.34,0.342,0.212,0.186,0.248,0.18,0.258
"P24","Educación y estado de las escuelas",0.065,0,0.124,0.083,0.232,0.189,0.186,0.177,0.065
"P24","Inflación",0.169,0,0.154,0.131,0.226,0.142,0.166,0.189,0.352
"P24","Estado de la salud",0.035,0,0.063,0.015,0.028,0.041,0.024,0.028,0
"P24","Corrupción",0.012,0,0.133,0.023,0.094,0.091,0.038,0.039,0.066
"P24","Pobreza",0,0,0.018,0.012,0.012,0.001,0.02,0.003,0
"P24","Medio ambiente, incendios y contaminación",0,0,0.014,0,0.001,0,0,0.005,0.087
"P24","Falta de trabajo",0,0,0,0,0,0.026,0.003,0.006,0
"P24","No sabe",0,0,0,0,0.002,0.01,0.004,0.014,0.15
"P28","Muy buena",0.512,0,0.017,0.038,0.009,0.047,0.045,0.054,0
"P28","Buena",0.012,0,0.017,0.023,0.075,0.08,0.136,0.096,0
"P28","Ni buena ni mala",0.094,0,0.427,0.347,0.292,0.348,0.358,0.334,0.095
"P28","Mala",0.263,0,0.34,0.498,0.463,0.373,0.306,0.315,0.362
"P28","Muy mala",0.119,0,0.19,0.092,0.139,0.061,0.129,0.159,0.109
"P28","No sabe",0,0,0.009,0.002,0.022,0.091,0.026,0.042,0.434
"P29","Peor",0.831,0,0.308,0.448,0.392,0.588,0.47,0.585,0.112
"P29","Igual",0.095,0,0.573,0.439,0.36,0.287,0.363,0.233,0.406
"P29","Mejor",0.035,0,0.065,0.024,0.091,0.043,0.111,0.082,0
"P29","No sabe",0.039,0,0.054,0.089,0.157,0.082,0.056,0.1,0.482
"P30","Peor",0.82,0,0.301,0.466,0.37,0.449,0.416,0.579,0.26
"P30","Igual",0.121,0,0.25,0.409,0.279,0.251,0.374,0.212,0.034
"P30","Mejor",0.018,0,0.424,0.105,0.253,0.156,0.155,0.116,0.223
"P30","No sabe",0.041,0,0.025,0.02,0.098,0.144,0.055,0.093,0.483
"P31","Javier Milei",0.92,0,0.793,0.678,0.67,0.453,0.398,0.236,0.052
"P31","Los gobernadores",0.08,0,0.13,0.185,0.267,0.346,0.503,0.629,0.449
"P31","No sabe",0,0,0.077,0.137,0.063,0.201,0.099,0.135,0.499
"P32","Muy buena",0.07,0,0.038,0.026,0.099,0.103,0.162,0.169,0
"P32","Buena",0.015,0,0.057,0.13,0.132,0.351,0.241,0.27,0
"P32","Ni buena ni mala",0.156,0,0.302,0.162,0.272,0.233,0.287,0.293,0.631
"P32","Mala",0.161,0,0.328,0.502,0.335,0.154,0.206,0.149,0.034
"P32","Muy mala",0.598,0,0.267,0.18,0.161,0.155,0.089,0.081,0.024
"P32","No sabe",0,0,0.008,0,0.001,0.004,0.015,0.038,0.311
"P34","Muy buena",0.127,0,0.039,0.197,0.096,0.075,0.102,0.206,0
"P34","Buena",0,0,0.055,0.041,0.066,0.194,0.188,0.242,0
"P34","Ni buena ni mala",0.041,0,0.138,0.144,0.276,0.242,0.362,0.282,0.538
"P34","Mala",0.057,0,0.223,0.286,0.299,0.139,0.188,0.166,0.182
"P34","Muy mala",0.775,0,0.491,0.332,0.254,0.262,0.122,0.077,0.047
"P34","No sabe",0,0,0.054,0,0.009,0.088,0.038,0.027,0.233
"P35","Muy buena",0.539,0,0.126,0.3,0.163,0.045,0.142,0.141,0
"P35","Buena",0.099,0,0.354,0.26,0.209,0.191,0.18,0.126,0.057
"P35","Ni buena ni mala",0.1,0,0.233,0.23,0.275,0.392,0.328,0.388,0.636
"P35","Mala",0.013,0,0.117,0.159,0.139,0.168,0.172,0.156,0
"P35","Muy mala",0.249,0,0.129,0.045,0.173,0.132,0.115,0.131,0
"P35","No sabe",0,0,0.041,0.006,0.041,0.072,0.063,0.058,0.307
"P36","Muy buena",0.111,0,0.064,0.153,0.083,0.138,0.228,0.406,0
"P36","Buena",0,0,0.053,0.07,0.059,0.065,0.148,0.099,0
"P36","Ni buena ni mala",0,0,0,0.152,0.062,0.312,0.151,0.128,0.132
"P36","Mala",0.026,0,0.104,0.17,0.238,0.068,0.172,0.174,0.272
"P36","Muy mala",0.863,0,0.779,0.455,0.556,0.409,0.292,0.175,0.293
"P36","No sabe",0,0,0,0,0.002,0.008,0.009,0.018,0.303
"P37","Muy buena",0.688,0,0.219,0.191,0.156,0.103,0.109,0.127,0.147
"P37","Buena",0.081,0,0.312,0.198,0.291,0.135,0.183,0.048,0
"P37","Ni buena ni mala",0.051,0,0.161,0.21,0.198,0.222,0.163,0.108,0.17
"P37","Mala",0,0,0.221,0.144,0.188,0.27,0.234,0.27,0
"P37","Muy mala",0.18,0,0.087,0.156,0.165,0.266,0.294,0.442,0.381
"P37","No sabe",0,0,0,0.101,0.002,0.004,0.017,0.005,0.302
"P38","Muy buena",0.099,0,0.018,0.059,0.016,0.041,0.12,0.164,0
"P38","Buena",0,0,0.035,0.045,0.102,0.074,0.189,0.143,0.132
"P38","Ni buena ni mala",0,0,0.048,0.129,0.093,0.216,0.183,0.198,0.072
"P38","Mala",0.056,0,0.116,0.182,0.254,0.193,0.2,0.204,0.199
"P38","Muy mala",0.845,0,0.783,0.585,0.535,0.453,0.295,0.29,0.297
"P38","No sabe",0,0,0,0,0,0.023,0.013,0.001,0.3
"P39","Muy buena",0.045,0,0.078,0.094,0.09,0.127,0.187,0.333,0.133
"P39","Buena",0,0,0.024,0.032,0.059,0.064,0.172,0.132,0
"P39","Ni buena ni mala",0,0,0.007,0.043,0.051,0.161,0.112,0.186,0.073
"P39","Mala",0.051,0,0.127,0.173,0.242,0.169,0.186,0.167,0.201
"P39","Muy mala",0.904,0,0.764,0.658,0.548,0.46,0.329,0.168,0.29
"P39","No sabe",0,0,0,0,0.01,0.019,0.014,0.014,0.303
"P40","Muy buena",0.778,0,0.528,0.484,0.46,0.293,0.248,0.177,0.054
"P40","Buena",0.093,0,0.284,0.12,0.219,0.206,0.182,0.084,0.037
"P40","Ni buena ni mala",0.014,0,0.034,0.08,0.1,0.121,0.101,0.124,0.328
"P40","Mala",0.032,0,0.063,0.123,0.04,0.059,0.136,0.239,0.23
"P40","Muy mala",0.083,0,0.076,0.193,0.171,0.276,0.315,0.372,0
"P40","No sabe",0,0,0.015,0,0.01,0.045,0.018,0.004,0.351
"P41","Muy buena",0.757,0,0.599,0.475,0.427,0.262,0.235,0.129,0.054
"P41","Buena",0.128,0,0.19,0.31,0.259,0.256,0.22,0.103,0.067
"P41","Ni buena ni mala",0,0,0.084,0.064,0.123,0.137,0.09,0.106,0.298
"P41","Mala",0.032,0,0.034,0.018,0.033,0.125,0.147,0.233,0
"P41","Muy mala",0.083,0,0.093,0.126,0.158,0.216,0.277,0.423,0.23
"P41","No sabe",0,0,0,0.007,0,0.004,0.031,0.006,0.351
"P42","Muy buena",0.814,0,0.508,0.581,0.48,0.285,0.303,0.134,0.121
"P42","Buena",0.049,0,0.314,0.156,0.175,0.173,0.165,0.108,0
"P42","Ni buena ni mala",0.075,0,0.072,0.133,0.151,0.247,0.14,0.208,0.298
"P42","Mala",0,0,0.033,0.008,0.034,0.087,0.138,0.194,0.23
"P42","Muy mala",0.062,0,0.058,0.122,0.156,0.204,0.234,0.338,0
"P42","No sabe",0,0,0.015,0,0.004,0.004,0.02,0.018,0.351
"P43","Muy buena",0.476,0,0.1,0.016,0.135,0.072,0.116,0.054,0
"P43","Buena",0.222,0,0.179,0.247,0.288,0.168,0.203,0.111,0.067
"P43","Ni buena ni mala",0.163,0,0.496,0.356,0.367,0.471,0.41,0.411,0.3
"P43","Mala",0.076,0,0.07,0.154,0.124,0.114,0.128,0.202,0.277
"P43","Muy mala",0.063,0,0.025,0.215,0.082,0.11,0.124,0.188,0.005
"P43","No sabe",0,0,0.13,0.012,0.004,0.065,0.019,0.034,0.351
