"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.401,0.293,0.342,0.079,0
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.326,0.434,0.416,0.458,0.078
"P29","Ramiro Marra por la Libertad Avanza",0.138,0.113,0.06,0.281,0
"P29","Vanina Biasi por el Frente de Izquierda",0.035,0.027,0.057,0,0.409
"P29","Otros",0.036,0.064,0.045,0.069,0.412
"P29","En blanco",0.034,0.022,0.048,0,0.101
"P29","No sabe",0.03,0.047,0.032,0.113,0
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.382,0.302,0.224,0.015,0
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.355,0.447,0.469,0.509,0.104
"P30","Ramiro Marra por la Libertad Avanza",0.143,0.132,0.065,0.374,0
"P30","Vanina Biasi por el Frente de Izquierda",0.032,0.008,0.035,0,0.412
"P30","Otros",0.025,0.044,0.057,0,0.406
"P30","En blanco",0.025,0.037,0.058,0.03,0
"P30","No sabe",0.038,0.03,0.092,0.072,0.078
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.451,0.351,0.309,0.155,0.576
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.412,0.55,0.441,0.585,0.222
"P33","En blanco",0.113,0.043,0.146,0.225,0.202
"P33","No sabe",0.024,0.056,0.104,0.035,0
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.386,0.467,0.545,0.524,0.35
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.18,0.158,0.202,0.191,0
"P34","En blanco",0.348,0.297,0.195,0.175,0.456
"P34","No sabe",0.086,0.078,0.058,0.11,0.194
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.429,0.328,0.311,0.15,0.286
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.364,0.465,0.359,0.458,0.641
"P35","En blanco",0.169,0.118,0.235,0.236,0.073
"P35","No sabe",0.038,0.089,0.095,0.156,0
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.349,0.467,0.454,0.502,0.361
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.223,0.215,0.194,0.354,0
"P36","En blanco",0.359,0.221,0.253,0.061,0.504
"P36","No sabe",0.069,0.097,0.099,0.083,0.135
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.483,0.401,0.276,0.252,0.411
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.288,0.3,0.286,0.521,0
"P37","En blanco",0.136,0.154,0.186,0.047,0.494
"P37","No sabe",0.093,0.145,0.252,0.18,0.095
"P38","Lo votaría",0.413,0.3,0.231,0.191,0.246
"P38","Puede que lo vote",0.149,0.179,0.2,0.19,0
"P38","Nunca lo votaría",0.394,0.477,0.541,0.567,0.508
"P38","No sabe",0.044,0.044,0.028,0.052,0.246
"P39","Lo votaría",0.296,0.159,0.193,0.021,0.246
"P39","Puede que lo vote",0.154,0.172,0.106,0.099,0
"P39","Nunca lo votaría",0.514,0.648,0.685,0.659,0.754
"P39","No sabe",0.036,0.021,0.016,0.221,0
"P40","Lo votaría",0.343,0.457,0.558,0.354,0.655
"P40","Puede que lo vote",0.141,0.113,0.104,0.234,0
"P40","Nunca lo votaría",0.485,0.417,0.321,0.193,0.345
"P40","No sabe",0.031,0.013,0.017,0.219,0
"P41","Lo votaría",0.267,0.316,0.353,0.514,0.411
"P41","Puede que lo vote",0.219,0.271,0.214,0.09,0.248
"P41","Nunca lo votaría",0.479,0.378,0.385,0.342,0.341
"P41","No sabe",0.035,0.035,0.048,0.054,0
"P42","Lo votaría",0.219,0.169,0.28,0.444,0
"P42","Puede que lo vote",0.142,0.224,0.166,0.132,0
"P42","Nunca lo votaría",0.607,0.575,0.519,0.283,1
"P42","No sabe",0.032,0.032,0.035,0.141,0
"P43","Lo votaría",0.114,0.079,0.044,0.073,0
"P43","Puede que lo vote",0.237,0.201,0.159,0,0.33
"P43","Nunca lo votaría",0.627,0.657,0.765,0.847,0.67
"P43","No sabe",0.022,0.063,0.032,0.08,0
"P44","Lo votaría",0.052,0.042,0,0.108,0
"P44","Puede que lo vote",0.152,0.158,0.141,0.123,0.548
"P44","Nunca lo votaría",0.738,0.697,0.786,0.503,0.452
"P44","No sabe",0.058,0.103,0.073,0.266,0
"P52","Si",0.529,0.519,0.325,0.263,0
"P52","No",0.471,0.481,0.675,0.737,1
