"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.225,0.195,0.251,0.249,0.234,0.224,0.188,0.243,0.189,0.243,0.486,0.041,0.208
"Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.093,0.115,0.075,0.083,0.123,0.084,0.061,0.086,0.078,0.106,0.197,0.021,0.067
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.284,0.284,0.284,0.147,0.229,0.372,0.424,0.234,0.318,0.28,0.079,0.533,0.154
"Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.135,0.107,0.158,0.107,0.122,0.151,0.167,0.072,0.189,0.121,0.05,0.213,0.219
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.135,0.182,0.095,0.251,0.149,0.066,0.067,0.197,0.124,0.121,0.084,0.147,0.156
"Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.04,0.033,0.046,0.061,0.051,0.038,0.006,0.03,0.028,0.052,0.037,0.018,0.073
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.009,0.006,0.011,0,0.014,0.011,0.006,0.019,0.003,0.008,0.005,0.004,0.045
"Otros",0.026,0.028,0.024,0.048,0.028,0.008,0.019,0.066,0.023,0.013,0.037,0.003,0.02
"En blanco",0.013,0.017,0.011,0,0.014,0.02,0.017,0.016,0.012,0.013,0.01,0.002,0.007
"No sabe",0.04,0.033,0.045,0.054,0.036,0.026,0.045,0.037,0.036,0.043,0.015,0.018,0.051
