"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P05","Mucho",0.615,0.461,0.576,0.504,0.371,0.589,0.409
"P05","Bastante",0.288,0.393,0.301,0.246,0.422,0.237,0.412
"P05","Poco",0.089,0.1,0.042,0.139,0.079,0.141,0.074
"P05","Nada",0.008,0.044,0.081,0,0.049,0,0.105
"P05","No sabe",0,0.002,0,0.111,0.079,0.033,0
"P06","Siempre",0.312,0.193,0.354,0.097,0.255,0.493,0.182
"P06","Casi siempre",0.396,0.549,0.28,0.378,0.286,0.154,0.429
"P06","Casi nunca",0.229,0.192,0.257,0.525,0.429,0.304,0.371
"P06","Nunca, pero esta es una excepción",0.063,0.066,0.109,0,0.03,0.049,0.018
"P08","Unión por la Patria",0.748,0.124,0.156,0.097,0.164,0.165,0.084
"P08","Juntos por el Cambio ",0.17,0.758,0.133,0.301,0.316,0.27,0.48
"P08","Liberales",0,0.083,0.62,0,0.196,0.106,0.05
"P08","Izquierda",0.019,0.008,0.046,0.444,0.019,0,0.104
"P08","Otro",0.021,0.004,0.015,0.054,0.059,0.244,0
"P08","No sabe",0.042,0.023,0.03,0.104,0.246,0.215,0.282
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.648,0.03,0.02,0.074,0.053,0.133,0
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.253,0.004,0.005,0.098,0.139,0.173,0.07
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.017,0.606,0.194,0.176,0.237,0.258,0.245
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.04,0.286,0.037,0.067,0.152,0.218,0.252
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.004,0.068,0.649,0,0.276,0.064,0.018
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.018,0,0.048,0.566,0.06,0,0.105
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0,0,0.015,0,0.02,0,0.013
"P09","Otros",0.011,0,0.032,0,0.024,0.017,0
"P09","En blanco",0.003,0,0,0.019,0,0.137,0
"P09","No sabe",0.006,0.006,0,0,0.039,0,0.297
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.722,0.067,0.021,0.084,0.089,0.041,0.038
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.021,0.603,0.145,0,0.069,0.242,0.089
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.117,0.251,0.092,0.349,0.498,0.226,0.434
"P12","Ramiro Marra por la Libertad Avanza",0.04,0.042,0.633,0,0.084,0.141,0.017
"P12","Vanina Biasi por el Frente de Izquierda",0.04,0.029,0.065,0.483,0.128,0.133,0
"P12","Otros",0.042,0.005,0.044,0.084,0.122,0.153,0.137
"P12","En blanco",0.007,0,0,0,0.01,0.064,0.076
"P12","No sabe",0.011,0.003,0,0,0,0,0.209
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.448,0.09,0.089,0.231,0.091,0,0.064
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.264,0.037,0.013,0.303,0.01,0.155,0.104
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.046,0.438,0.398,0.084,0.141,0.347,0.146
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.068,0.277,0.121,0.141,0.219,0.2,0.132
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.057,0.124,0.283,0.026,0.317,0.154,0.056
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.052,0.006,0.032,0.115,0.043,0,0.105
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.009,0.003,0,0,0.073,0,0.07
"P18","Otros",0.037,0,0,0.081,0.041,0.041,0.032
"P18","En blanco",0.015,0.005,0.064,0,0.065,0.041,0.081
"P18","No sabe",0.004,0.02,0,0.019,0,0.062,0.21
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.455,0.033,0.064,0.19,0.098,0.276,0.104
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.067,0.483,0.352,0.131,0.02,0.033,0.176
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.1,0.306,0.061,0.035,0.34,0.247,0.208
"P21","Ramiro Marra por la Libertad Avanza",0.055,0.122,0.394,0,0.06,0,0.038
