"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P05","Mucho",0.579,0.631,0.52,0.392,0.482,0.484,0.756,0.352,0.312,0.183
"P05","Bastante",0.284,0.309,0.314,0.401,0.301,0.324,0.107,0.374,0.361,0.38
"P05","Poco",0.097,0.06,0.118,0.14,0.11,0.192,0.039,0.246,0.177,0.23
"P05","Nada",0.027,0,0.043,0.055,0.078,0,0.098,0,0.15,0.096
"P05","No sabe",0.013,0,0.005,0.012,0.029,0,0,0.028,0,0.111
"P06","Siempre",0.339,0.22,0.24,0.27,0.242,0.107,0.158,0.212,0.222,0.041
"P06","Casi siempre",0.334,0.523,0.427,0.415,0.337,0.217,0.419,0.417,0.268,0.305
"P06","Casi nunca",0.28,0.196,0.226,0.268,0.296,0.502,0.192,0.343,0.356,0.412
"P06","Nunca, pero esta es una excepción",0.047,0.061,0.107,0.047,0.125,0.174,0.231,0.028,0.154,0.242
"P08","Unión por la Patria",0.726,0.586,0.132,0.167,0.184,0.416,0.244,0.42,0.048,0.045
"P08","Juntos por el Cambio ",0.174,0.186,0.591,0.688,0.282,0.17,0.224,0.108,0.292,0.317
"P08","Liberales",0.015,0.045,0.189,0.065,0.393,0.109,0.038,0.054,0.211,0.022
"P08","Izquierda",0.028,0.095,0.024,0.003,0.03,0.156,0.035,0.236,0.015,0
"P08","Otro",0.016,0.029,0.034,0.026,0.03,0.019,0,0.111,0.098,0.033
"P08","No sabe",0.041,0.059,0.03,0.051,0.081,0.13,0.459,0.071,0.336,0.583
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.544,0.481,0.029,0.133,0.119,0.236,0.209,0.21,0.113,0.039
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.243,0.228,0.009,0.009,0.057,0.218,0.035,0.158,0,0
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.065,0.092,0.465,0.481,0.391,0.031,0.072,0.112,0.221,0.078
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.052,0.028,0.257,0.261,0.031,0.011,0.213,0.04,0.052,0.212
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.02,0.051,0.221,0.093,0.345,0.088,0,0.055,0.262,0
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.058,0.088,0.006,0.003,0.009,0.139,0.098,0.226,0.029,0
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.005,0.007,0.009,0.002,0,0.049,0.142,0,0,0.022
"P09","Otros",0.013,0,0.002,0.006,0.026,0.117,0,0.139,0.12,0.112
"P09","En blanco",0,0.011,0,0.006,0.015,0,0,0,0.16,0.013
"P09","No sabe",0,0.014,0.002,0.006,0.007,0.111,0.231,0.06,0.043,0.524
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.593,0.624,0.077,0.136,0.133,0.333,0.249,0.38,0.167,0.046
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.057,0.096,0.466,0.413,0.274,0.013,0.072,0.07,0.174,0.163
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.156,0.092,0.216,0.315,0.148,0.123,0.296,0.304,0.08,0.35
"P12","Ramiro Marra por la Libertad Avanza",0.039,0.054,0.169,0.061,0.359,0.089,0.059,0,0.335,0
"P12","Vanina Biasi por el Frente de Izquierda",0.07,0.073,0.033,0.042,0.044,0.195,0.036,0.098,0,0
"P12","Otros",0.066,0.045,0.027,0.018,0.038,0.17,0.034,0.07,0.02,0.099
"P12","En blanco",0.016,0.012,0.004,0.01,0,0.032,0.254,0,0.18,0.041
"P12","No sabe",0.003,0.004,0.008,0.005,0.004,0.045,0,0.078,0.044,0.301
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.476,0.281,0.076,0.108,0.083,0.155,0.16,0.235,0.02,0
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.126,0.091,0.473,0.372,0.272,0.033,0.047,0.102,0.055,0.125
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.122,0.113,0.207,0.313,0.171,0.106,0.229,0.095,0.077,0.27
"P21","Ramiro Marra por la Libertad Avanza",0.058,0.064,0.135,0.058,0.27,0.026,0.075,0.034,0.162,0.017
"P21","Vanina Biasi por el Frente de Izquierda",0.072,0.235,0.033,0.071,0.059,0.17,0.047,0.104,0.036,0
"P21","Otros",0.057,0.128,0.024,0.028,0.08,0.417,0.043,0.16,0.024,0.017
"P21","En blanco",0.07,0.063,0.028,0.026,0.033,0.079,0.183,0.176,0.41,0.103
"P21","No sabe",0.019,0.025,0.024,0.024,0.032,0.014,0.216,0.094,0.216,0.468
"P25","Totalmente seguro",0.718,0.719,0.666,0.6,0.661,0.513,0.586,0.631,0.617,0.337
"P25","Bastante seguro",0.181,0.228,0.172,0.186,0.167,0.101,0.119,0.18,0.165,0.102
"P25","Algo seguro",0.058,0.019,0.096,0.138,0.093,0.265,0.178,0.045,0.083,0.091
"P25","Para nada seguro",0.043,0.034,0.066,0.076,0.079,0.121,0.117,0.144,0.135,0.47
"P26","Tiene Decidido que va a ir a votar",0.919,0.932,0.926,0.903,0.865,0.853,0.704,0.856,0.794,0.606
"P26","Tiene dudas sobre si va a ir a  votar",0.079,0.05,0.043,0.043,0.088,0.124,0.169,0.114,0,0.232
"P26","Tiene Decidido que no va a ir a votar",0.002,0.018,0.031,0.054,0.047,0.023,0.127,0.03,0.206,0.162
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.786,0.651,0.071,0.159,0.131,0.413,0.421,0.308,0.165,0.055
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.07,0.1,0.627,0.533,0.342,0.031,0.095,0.134,0.212,0.147
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.057,0.039,0.233,0.171,0.406,0.01,0.052,0.032,0.354,0
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.044,0.13,0.012,0.044,0.008,0.33,0,0.29,0.015,0
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.007,0,0.014,0.01,0.029,0.087,0.166,0.034,0,0.077
"P27","Otros",0.023,0.058,0.033,0.042,0.03,0.042,0.133,0.184,0,0.089
"P27","En blanco",0,0.011,0.002,0.008,0.016,0,0,0,0.201,0.126
