"var","categoria","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P06","Unión por la Patria y el peronismo",0.834,0.078,0.143,0.075,0.295,0.405,0.462
"P06","Juntos por el Cambio ",0.066,0.787,0.705,0.112,0.121,0.105,0.074
"P06","De los Liberales libertarios",0.025,0.07,0.064,0.738,0.132,0.071,0.042
"P06","De la Izquierda",0.015,0.017,0.004,0.014,0.347,0.094,0.028
"P06","No sabe",0.06,0.048,0.084,0.061,0.105,0.325,0.394
"P07","A Sergio Massa",0.325,0.318,0.242,0.454,0.117,0.129,0.088
"P07","A Daniel Scioli",0.083,0.209,0.159,0.083,0.081,0.113,0.084
"P07","A algún candidato del peronismo",0.078,0.244,0.402,0.132,0.129,0.158,0.166
"P07","A algún candidato del kirchnerismo",0.514,0.229,0.197,0.331,0.673,0.6,0.662
"P08","A Horacio Rodriguez Larreta",0.24,0.025,0.534,0.231,0.364,0.017,0.046
"P08","A Patricia Bullrich",0.339,0.937,0.296,0.674,0.545,0.844,0.588
"P08","A Facundo Manes",0.341,0.022,0.099,0.079,0.091,0.042,0.29
"P08","A Gerardo Morales",0.08,0.016,0.071,0.016,0,0.097,0.076
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.336,0.018,0.03,0.033,0.024,0.061,0.049
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.515,0.026,0.088,0.053,0.272,0.308,0.367
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.043,0.02,0.037,0.018,0.073,0.12,0.066
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.026,0.829,0.119,0.076,0.027,0.034,0.056
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.018,0.042,0.63,0.019,0.089,0.03,0.01
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.033,0.049,0.063,0.771,0.164,0.073,0.039
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.007,0.001,0.002,0.002,0.283,0.08,0.028
"P09","En blanco",0.004,0.001,0.002,0.003,0.047,0.218,0.057
