"var","categoria","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P06","Unión por la Patria y el peronismo",0.858,0.058,0.024,0.485,0.608,0.53
"P06","Juntos por el Cambio ",0.071,0.86,0.219,0.035,0.203,0.25
"P06","De los Liberales libertarios",0.017,0.016,0.691,0.008,0.021,0.034
"P06","De la Izquierda",0.009,0.018,0.008,0.405,0.009,0.007
"P06","No sabe",0.045,0.048,0.058,0.067,0.159,0.179
"P07","A Sergio Massa",0.317,0.473,0.553,0.187,0.159,0.299
"P07","A Daniel Scioli",0.141,0.138,0.045,0.012,0.01,0.017
"P07","A algún candidato del peronismo",0.068,0.329,0.383,0.081,0.152,0.15
"P07","A algún candidato del kirchnerismo",0.474,0.06,0.019,0.72,0.679,0.534
"P08","A Horacio Rodriguez Larreta",0.143,0.213,0.055,0.275,0.015,0.024
"P08","A Patricia Bullrich",0.403,0.698,0.896,0.39,0.944,0.792
"P08","A Facundo Manes",0.434,0.044,0.049,0.282,0.026,0.126
"P08","A Gerardo Morales",0.02,0.045,0,0.053,0.015,0.058
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.311,0.021,0.002,0.155,0.114,0.164
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.508,0.008,0.005,0.433,0.494,0.373
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.098,0.014,0.011,0,0.035,0.029
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.036,0.593,0.209,0.015,0.21,0.233
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.007,0.309,0.016,0.004,0.01,0.038
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.024,0.027,0.73,0,0.013,0.01
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0,0.001,0.007,0.376,0.009,0.003
"P09","En blanco",0,0.008,0.002,0.004,0.091,0.014
"P09","No sabe",0.016,0.019,0.018,0.013,0.024,0.136
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.301,0.041,0.011,0.088,0.115,0.183
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.521,0.027,0.014,0.453,0.491,0.338
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.05,0.553,0.249,0.015,0.21,0.242
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.029,0.306,0.009,0.016,0.049,0.045
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.043,0.037,0.637,0.008,0.016,0.01
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.012,0.019,0.047,0.311,0.007,0.007
"P12","En blanco",0.012,0,0.009,0.063,0.09,0.016
"P12","No sabe",0.032,0.017,0.024,0.046,0.022,0.159
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.649,0.049,0.011,0.35,0.409,0.344
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.206,0.034,0.027,0.046,0.055,0.055
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.039,0.567,0.228,0.017,0.204,0.237
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.019,0.286,0.021,0.004,0.049,0.038
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.038,0.038,0.679,0,0.022,0.017
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.004,0.02,0.516,0.023,0.021
"P15","En blanco",0.007,0.006,0.011,0.024,0.161,0.022
"P15","No sabe",0.033,0.016,0.003,0.043,0.077,0.266
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.716,0.039,0.021,0.469,0.538,0.434
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.152,0.039,0.034,0.035,0.014,0.044
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.027,0.548,0.236,0.017,0.233,0.213
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.02,0.316,0.013,0.004,0.014,0.045
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.049,0.042,0.665,0.006,0.015,0.024
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0.001,0.014,0.428,0.005,0.019
"P18","En blanco",0.004,0.002,0.007,0.011,0.107,0.018
"P18","No sabe",0.026,0.013,0.01,0.03,0.074,0.203
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.745,0.057,0.039,0.342,0.463,0.341
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.058,0.571,0.222,0.019,0.205,0.233
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.04,0.285,0.026,0.038,0.031,0.049
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.041,0.047,0.644,0.023,0.02,0.025
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.024,0.025,0.483,0.017,0.027
"P21","En blanco",0.031,0.002,0.015,0.064,0.169,0.021
"P21","No sabe",0.068,0.014,0.029,0.031,0.095,0.304
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.581,0.12,0.032,0.38,0.431,0.337
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.054,0.411,0.348,0.016,0.165,0.128
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.239,0.232,0.038,0.141,0.157,0.159
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.042,0.213,0.559,0.004,0.068,0.114
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.009,0.007,0.398,0.002,0.012
"P24","En blanco",0.022,0.003,0.008,0.034,0.116,0.025
"P24","No sabe",0.054,0.012,0.008,0.027,0.061,0.225
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.628,0.126,0.012,0.369,0.43,0.32
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.028,0.408,0.342,0.013,0.186,0.133
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.232,0.237,0.025,0.097,0.119,0.149
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.026,0.206,0.604,0.004,0.05,0.104
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.012,0.011,0.006,0.441,0,0.004
"P25","En blanco",0.022,0.003,0.007,0.021,0.162,0.012
"P25","No sabe",0.052,0.009,0.004,0.055,0.053,0.278
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.831,0.043,0.004,0.372,0.425,0.408
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.043,0.79,0.222,0.021,0.223,0.245
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.02,0.046,0.747,0.003,0.005,0
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.016,0.01,0.528,0.022,0.009
"P26","En blanco",0.035,0.033,0.001,0.017,0.229,0.008
"P26","No sabe",0.055,0.072,0.016,0.059,0.096,0.33
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.827,0.024,0.011,0.373,0.451,0.413
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.035,0.84,0.054,0.009,0.075,0.056
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.038,0.033,0.887,0.004,0.005,0.007
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.022,0.009,0.006,0.575,0.02,0.016
"P27","En blanco",0.029,0.023,0.016,0.01,0.361,0.025
"P27","No sabe",0.049,0.071,0.026,0.029,0.088,0.483
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.863,0.021,0.025,0.466,0.57,0.483
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.038,0.82,0.217,0.024,0.222,0.235
