"var","categoria","Victoria Tolosa Paz por Unión por la Patria","Diego Santilli por Juntos por el Cambio","Guillermo Britos por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P06","Unión por la Patria y el peronismo",0.869,0.054,0.027,0.479,0.645,0.533
"P06","Juntos por el Cambio ",0.057,0.835,0.149,0.033,0.167,0.201
"P06","De los Liberales libertarios",0.018,0.067,0.745,0.011,0.053,0.06
"P06","De la Izquierda",0.004,0.004,0.018,0.407,0.009,0.002
"P06","No sabe",0.052,0.04,0.061,0.07,0.126,0.204
"P07","A Sergio Massa",0.332,0.391,0.375,0.148,0.19,0.312
"P07","A Daniel Scioli",0.115,0.075,0.055,0.009,0.017,0.016
"P07","A algún candidato del peronismo",0.077,0.398,0.34,0.1,0.139,0.142
"P07","A algún candidato del kirchnerismo",0.476,0.136,0.23,0.743,0.654,0.53
"P08","A Horacio Rodriguez Larreta",0.296,0.172,0.004,0.19,0.031,0.053
"P08","A Patricia Bullrich",0.296,0.755,0.918,0.11,0.953,0.587
"P08","A Facundo Manes",0.383,0.037,0.078,0.7,0.011,0.2
"P08","A Gerardo Morales",0.025,0.036,0,0,0.005,0.16
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.304,0.012,0.003,0.114,0.134,0.176
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.532,0.015,0.01,0.447,0.486,0.37
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.087,0.017,0.007,0.013,0.031,0.01
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.022,0.629,0.139,0,0.187,0.171
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.021,0.244,0.011,0.006,0.007,0.042
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.02,0.052,0.803,0.009,0.039,0.056
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0,0.001,0.012,0.387,0.009,0
"P09","En blanco",0,0.008,0,0,0.09,0.022
"P09","No sabe",0.014,0.022,0.015,0.024,0.017,0.153
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.291,0.032,0.013,0.05,0.174,0.149
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.524,0.034,0.011,0.487,0.46,0.349
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.044,0.595,0.199,0,0.18,0.187
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.045,0.23,0.012,0.014,0.025,0.055
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.047,0.058,0.682,0.009,0.054,0.051
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0.028,0.057,0.335,0.004,0.009
"P12","En blanco",0.008,0.003,0.013,0.053,0.083,0.018
"P12","No sabe",0.035,0.02,0.013,0.052,0.02,0.182
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.658,0.035,0.013,0.32,0.394,0.37
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.178,0.033,0.031,0.058,0.067,0.046
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.031,0.595,0.162,0.003,0.186,0.172
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.019,0.232,0.02,0.008,0.035,0.069
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.041,0.063,0.752,0.009,0.048,0.059
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.014,0.013,0.487,0.04,0.004
"P15","En blanco",0.015,0.01,0,0.024,0.163,0.027
"P15","No sabe",0.043,0.018,0.009,0.091,0.067,0.253
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.723,0.038,0.034,0.487,0.526,0.443
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.131,0.037,0.032,0.043,0.025,0.034
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.022,0.591,0.174,0.002,0.193,0.149
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.027,0.242,0.02,0.009,0.023,0.064
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.055,0.063,0.709,0.017,0.051,0.061
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.01,0.005,0.395,0.022,0.009
"P18","En blanco",0.005,0.003,0.01,0.012,0.085,0.021
"P18","No sabe",0.026,0.016,0.016,0.035,0.075,0.219
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.742,0.053,0.046,0.313,0.442,0.389
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.04,0.59,0.168,0.014,0.196,0.178
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.044,0.23,0.032,0.04,0.025,0.059
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.034,0.08,0.686,0.025,0.054,0.052
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.026,0.019,0.026,0.486,0.017,0.023
"P21","En blanco",0.034,0.013,0.003,0.059,0.181,0.009
"P21","No sabe",0.08,0.015,0.039,0.063,0.085,0.29
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.577,0.112,0.031,0.379,0.433,0.357
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.044,0.438,0.336,0.004,0.165,0.1
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.256,0.187,0.049,0.131,0.155,0.142
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.04,0.238,0.565,0.002,0.069,0.15
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.007,0.003,0.004,0.418,0.008,0.013
"P24","En blanco",0.016,0.009,0.001,0.024,0.133,0.008
"P24","No sabe",0.06,0.013,0.014,0.042,0.037,0.23
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.63,0.106,0.007,0.363,0.422,0.359
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.013,0.448,0.33,0,0.158,0.094
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.251,0.179,0.031,0.107,0.123,0.147
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.024,0.24,0.618,0.002,0.082,0.12
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.002,0.004,0.453,0.009,0.007
"P25","En blanco",0.014,0.01,0,0.013,0.173,0.003
"P25","No sabe",0.058,0.015,0.01,0.062,0.033,0.27
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.815,0.032,0.011,0.386,0.459,0.413
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.034,0.796,0.151,0.004,0.166,0.192
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.021,0.063,0.815,0.009,0.058,0.039
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.036,0.012,0.005,0.497,0.025,0.01
"P26","En blanco",0.026,0.031,0.001,0.038,0.216,0.014
"P26","No sabe",0.068,0.066,0.017,0.066,0.076,0.332
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.827,0.021,0.013,0.379,0.454,0.432
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.026,0.714,0.037,0.013,0.051,0.066
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.031,0.113,0.903,0.002,0.066,0.072
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.041,0.01,0.009,0.533,0.025,0.001
"P27","En blanco",0.025,0.029,0.016,0.031,0.323,0.031
"P27","No sabe",0.05,0.113,0.022,0.042,0.081,0.398
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.887,0.019,0.025,0.481,0.579,0.489
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.027,0.823,0.161,0.01,0.186,0.162
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.021,0.065,0.795,0.006,0.042,0.064
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0.008,0.006,0.462,0.025,0.006
"P28","En blanco",0.022,0.026,0.004,0.013,0.114,0.029
"P28","No sabe",0.037,0.059,0.009,0.028,0.054,0.25
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.875,0.018,0.022,0.512,0.595,0.496
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.028,0.716,0.038,0.036,0.06,0.064
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.03,0.122,0.917,0.035,0.057,0.072
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0.014,0.002,0.391,0.021,0.003
"P29","En blanco",0.029,0.034,0.01,0.006,0.221,0.028
"P29","No sabe",0.032,0.096,0.011,0.02,0.046,0.337
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.884,0.019,0.02,0.485,0.53,0.487
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.011,0.805,0.155,0,0.172,0.171
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.021,0.067,0.806,0.049,0.054,0.036
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.014,0.001,0.431,0.025,0
"P30","En blanco",0.03,0.032,0,0.002,0.152,0.023
"P30","No sabe",0.045,0.063,0.018,0.033,0.067,0.283
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.867,0.021,0.018,0.412,0.529,0.467
