"var","categoria","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.055,0.858,0.061,0.051,0.002,0.003,0.025
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.024,0.053,0.811,0.014,0.072,0.075,0.111
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.016,0.037,0.04,0.88,0.038,0.01,0.048
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.012,0.004,0.011,0.004,0.642,0.016,0.004
"P24","En blanco",0.007,0.006,0.009,0.002,0.09,0.672,0.013
"P24","No sabe",0.045,0.012,0.029,0.012,0.037,0.069,0.616
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.744,0.02,0.475,0.023,0.141,0.252,0.229
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.088,0.757,0.228,0.382,0.032,0.028,0.043
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.008,0.196,0.062,0.566,0.081,0.008,0.049
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.034,0.008,0.034,0.009,0.679,0.037,0.015
"P26","En blanco",0.037,0.006,0.065,0.007,0.029,0.519,0.066
"P26","No sabe",0.089,0.013,0.136,0.013,0.038,0.156,0.598
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.748,0.024,0.469,0.02,0.111,0.181,0.229
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.112,0.472,0.397,0.191,0.053,0.065,0.035
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.023,0.289,0.033,0.622,0.08,0.005,0.054
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.035,0.005,0.023,0.019,0.678,0.03,0.039
"P27","En blanco",0.025,0.066,0.024,0.028,0.066,0.611,0.083
"P27","No sabe",0.057,0.144,0.054,0.12,0.012,0.108,0.56
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.813,0.014,0.487,0.027,0.152,0.283,0.289
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.076,0.755,0.27,0.38,0.044,0.015,0.037
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.018,0.196,0.057,0.551,0.115,0.003,0.043
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.019,0.003,0.02,0.017,0.651,0.036,0.015
"P28","En blanco",0.028,0.006,0.069,0.012,0.003,0.487,0.078
"P28","No sabe",0.046,0.026,0.097,0.013,0.035,0.176,0.538
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.818,0.017,0.476,0.03,0.229,0.278,0.291
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.102,0.48,0.401,0.205,0.086,0.027,0.065
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.024,0.311,0.032,0.619,0.022,0.006,0.046
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.013,0.005,0.015,0.019,0.588,0.04,0.011
"P29","En blanco",0.01,0.064,0.028,0.023,0.03,0.503,0.107
"P29","No sabe",0.033,0.123,0.048,0.104,0.045,0.146,0.48
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.822,0.011,0.538,0.032,0.158,0.153,0.18
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.075,0.751,0.264,0.37,0.06,0.025,0.039
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.011,0.212,0.049,0.559,0.035,0.006,0.039
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.003,0.022,0.001,0.709,0.031,0.016
"P30","En blanco",0.029,0.008,0.047,0.007,0.006,0.619,0.091
"P30","No sabe",0.043,0.015,0.08,0.031,0.032,0.166,0.635
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.836,0.015,0.5,0.024,0.108,0.136,0.131
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.101,0.468,0.398,0.22,0.064,0.038,0.049
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.013,0.339,0.043,0.626,0.008,0.003,0.043
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.007,0.022,0.003,0.775,0.033,0.032
"P31","En blanco",0.015,0.08,0.009,0.036,0.016,0.667,0.093
"P31","No sabe",0.021,0.091,0.028,0.091,0.029,0.123,0.652
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.525,0.015,0.361,0.028,0.144,0.206,0.2
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.101,0.711,0.249,0.384,0.02,0.026,0.019
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.013,0.218,0.061,0.563,0.011,0.007,0.04
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.074,0.001,0.038,0.003,0.78,0.094,0.053
"P32","En blanco",0.121,0.031,0.101,0.006,0.02,0.543,0.093
"P32","No sabe",0.166,0.024,0.19,0.016,0.025,0.124,0.595
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.516,0.029,0.345,0.029,0.092,0.202,0.197
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.112,0.466,0.385,0.247,0.091,0.033,0.035
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.009,0.343,0.035,0.633,0.043,0.065,0.014
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.07,0.003,0.034,0.001,0.754,0.046,0.048
"P33","En blanco",0.137,0.076,0.069,0.021,0,0.589,0.079
"P33","No sabe",0.156,0.083,0.132,0.069,0.02,0.065,0.627
"P34","Axel Kicillof por Unión por la Patria",0.857,0.027,0.561,0.026,0.271,0.388,0.42
"P34","Nestor Grindetti por Juntos por el Cambio",0.09,0.736,0.261,0.385,0.023,0.037,0.037
"P34","Guillermo Britos por la Libertad Avanza",0.006,0.177,0.033,0.492,0,0.004,0.003
"P34","Al candidato del Frente de Izquierda",0.009,0.004,0.015,0,0.678,0.044,0.025
"P34","En blanco",0.02,0.011,0.033,0.03,0.006,0.394,0.105
"P34","No sabe",0.018,0.045,0.097,0.067,0.022,0.133,0.41
"P35","Axel Kicillof por Unión por la Patria",0.862,0.012,0.558,0.03,0.261,0.43,0.427
"P35","Diego Santilli por Juntos por el Cambio",0.103,0.612,0.368,0.347,0.03,0.048,0.091
"P35","Guillermo Britos por la Libertad Avanza",0.004,0.261,0.026,0.49,0,0.004,0.009
"P35","Al candidato del Frente de Izquierda",0.008,0.001,0.01,0.002,0.684,0.014,0.038
"P35","En blanco",0.008,0.058,0.006,0.051,0.019,0.458,0.076
"P35","No sabe",0.015,0.056,0.032,0.08,0.006,0.046,0.359
"P36","Sergio Massa por Unión por la Patria",0.754,0.017,0.516,0.033,0.083,0.176,0.195
"P36","Nestor Grindetti por Juntos por el Cambio",0.079,0.736,0.291,0.389,0.026,0.081,0.055
"P36","Guillermo Britos por la Libertad Avanza",0.013,0.203,0.03,0.494,0.015,0.077,0.025
"P36","Al candidato del Frente de Izquierda",0.035,0,0.029,0.002,0.836,0.029,0.026
"P36","En blanco",0.05,0.02,0.047,0.028,0,0.593,0.075
"P36","No sabe",0.069,0.024,0.087,0.054,0.04,0.044,0.624
"P37","Sergio Massa por Unión por la Patria",0.731,0.017,0.514,0.03,0.074,0.162,0.2
"P37","Diego Santilli por Juntos por el Cambio",0.1,0.617,0.349,0.344,0.024,0.038,0.097
"P37","Guillermo Britos por la Libertad Avanza",0.011,0.251,0.028,0.524,0.003,0.019,0.021
"P37","Al candidato del Frente de Izquierda",0.037,0.005,0.032,0.002,0.833,0.098,0.026
"P37","En blanco",0.057,0.055,0.017,0.037,0.022,0.593,0.084
"P37","No sabe",0.064,0.055,0.06,0.063,0.044,0.09,0.572
"P38","Victoria Tolosa Paz por Unión por la Patria",0.548,0.013,0.392,0.028,0.077,0.125,0.192
"P38","Nestor Grindetti por Juntos por el Cambio",0.075,0.739,0.285,0.384,0.026,0.035,0.016
"P38","Guillermo Britos por la Libertad Avanza",0.013,0.204,0.041,0.518,0.006,0.004,0.028
"P38","Al candidato del Frente de Izquierda",0.071,0.004,0.045,0.004,0.799,0.17,0.075
"P38","En blanco",0.14,0.014,0.128,0.02,0.062,0.662,0.067
"P38","No sabe",0.153,0.026,0.109,0.046,0.03,0.004,0.622
"P39","Victoria Tolosa Paz por Unión por la Patria",0.531,0.015,0.393,0.028,0.084,0.14,0.243
"P39","Diego Santilli por Juntos por el Cambio",0.112,0.613,0.35,0.354,0.017,0.124,0.081
"P39","Guillermo Britos por la Libertad Avanza",0.004,0.255,0.034,0.513,0.025,0.004,0.029
"P39","Al candidato del Frente de Izquierda",0.068,0,0.037,0,0.819,0.029,0.058
"P39","En blanco",0.143,0.069,0.078,0.039,0.029,0.691,0.056
"P39","No sabe",0.142,0.048,0.108,0.066,0.026,0.012,0.533
"P40","Lo votaría",0.818,0.061,0.542,0.043,0.191,0.442,0.441
"P40","Puede que lo vote",0.039,0.061,0.084,0.075,0.089,0.12,0.072
"P40","Nunca lo votaría",0.119,0.868,0.342,0.872,0.57,0.319,0.332
"P40","No sabe",0.024,0.01,0.032,0.01,0.15,0.119,0.155
"P41","La votaría",0.357,0.016,0.223,0.031,0.087,0.144,0.19
"P41","Puede que la vote",0.317,0.059,0.265,0.038,0.169,0.062,0.212
"P41","Nunca la votaría",0.246,0.913,0.456,0.907,0.668,0.72,0.33
"P41","No sabe",0.08,0.012,0.056,0.024,0.076,0.074,0.268
"P42","Lo votaría",0.081,0.613,0.11,0.372,0.028,0.01,0.035
"P42","Puede que lo vote",0.083,0.177,0.202,0.224,0.03,0.108,0.083
"P42","Nunca lo votaría",0.777,0.181,0.598,0.325,0.919,0.803,0.606
"P42","No sabe",0.059,0.029,0.09,0.079,0.023,0.079,0.276
"P43","Lo votaría",0.09,0.474,0.288,0.293,0.018,0.014,0.093
"P43","Puede que lo vote",0.056,0.3,0.151,0.305,0.032,0.226,0.083
"P43","Nunca lo votaría",0.809,0.205,0.545,0.339,0.904,0.738,0.617
"P43","No sabe",0.045,0.021,0.016,0.063,0.046,0.022,0.207
"P44","Lo votaría",0.019,0.251,0.074,0.365,0.014,0.004,0.004
"P44","Puede que lo vote",0.03,0.267,0.143,0.239,0,0.104,0.018
"P44","Nunca lo votaría",0.895,0.411,0.71,0.332,0.922,0.887,0.672
"P44","No sabe",0.056,0.071,0.073,0.064,0.064,0.005,0.306
"P45","Muy buena",0.674,0.056,0.456,0.066,0.208,0.283,0.299
"P45","Buena",0.094,0.034,0.119,0.042,0.098,0.091,0.089
"P45","Ni buena ni mala",0.159,0.076,0.13,0.06,0.267,0.256,0.264
"P45","Mala",0.019,0.127,0.038,0.146,0.091,0.122,0.096
"P45","Muy mala",0.052,0.703,0.257,0.682,0.336,0.172,0.134
"P45","No sabe",0.002,0.004,0,0.004,0,0.076,0.118
"P46","Muy buena",0.252,0.014,0.093,0.009,0.049,0.044,0.088
"P46","Buena",0.219,0.023,0.265,0.033,0.122,0.128,0.111
"P46","Ni buena ni mala",0.284,0.074,0.246,0.077,0.259,0.22,0.456
"P46","Mala",0.135,0.192,0.137,0.176,0.121,0.149,0.055
"P46","Muy mala",0.077,0.685,0.243,0.682,0.434,0.308,0.154
"P46","No sabe",0.033,0.012,0.016,0.023,0.015,0.151,0.136
"P47","Muy buena",0.05,0.307,0.045,0.193,0.006,0.076,0.032
"P47","Buena",0.065,0.332,0.157,0.223,0.013,0.052,0.024
"P47","Ni buena ni mala",0.206,0.169,0.285,0.253,0.231,0.25,0.297
"P47","Mala",0.269,0.034,0.214,0.044,0.159,0.126,0.21
"P47","Muy mala",0.334,0.14,0.221,0.178,0.549,0.377,0.114
"P47","No sabe",0.076,0.018,0.078,0.109,0.042,0.119,0.323
"P48","Muy buena",0.068,0.271,0.172,0.215,0.003,0.092,0.047
"P48","Buena",0.048,0.365,0.179,0.28,0.037,0.055,0.058
"P48","Ni buena ni mala",0.158,0.218,0.214,0.237,0.183,0.212,0.247
"P48","Mala",0.295,0.056,0.231,0.09,0.123,0.212,0.221
"P48","Muy mala",0.383,0.079,0.191,0.141,0.632,0.274,0.246
"P48","No sabe",0.048,0.011,0.013,0.037,0.022,0.155,0.181
"P49","Muy buena",0.023,0.138,0.029,0.194,0.003,0,0.004
"P49","Buena",0.018,0.164,0.088,0.251,0.005,0.08,0.012
"P49","Ni buena ni mala",0.187,0.412,0.281,0.311,0.12,0.256,0.202
"P49","Mala",0.203,0.076,0.16,0.066,0.115,0.092,0.241
"P49","Muy mala",0.443,0.095,0.27,0.08,0.676,0.357,0.175
"P49","No sabe",0.126,0.115,0.172,0.098,0.081,0.215,0.366
"P50","Siempre",0.303,0.37,0.369,0.371,0.25,0.292,0.252
"P50","Casi siempre",0.441,0.366,0.424,0.339,0.472,0.366,0.402
"P50","Casi nunca",0.159,0.213,0.152,0.242,0.119,0.265,0.131
"P50","Nunca, pero esta es una excepción",0.097,0.051,0.055,0.048,0.159,0.077,0.215
"P51","Si",0.577,0.578,0.527,0.52,0.532,0.507,0.446
"P51","No",0.423,0.422,0.473,0.48,0.468,0.493,0.554
