"var","categoria","Unión por la Patria y el peronismo","Juntos por el Cambio ","De los Liberales libertarios","De la Izquierda","No sabe"
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.252,0.025,0.02,0.094,0.083
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.574,0.031,0.012,0.128,0.078
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.062,0.019,0.018,0.021,0.046
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.034,0.616,0.065,0.051,0.097
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.017,0.233,0.024,0.028,0.059
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.023,0.035,0.809,0.051,0.109
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0.003,0.016,0.461,0.014
"P09","En blanco",0.006,0.006,0.014,0.039,0.136
"P09","No sabe",0.026,0.032,0.022,0.127,0.378
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.26,0.035,0.021,0.1,0.126
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.57,0.047,0.02,0.149,0.087
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.046,0.594,0.127,0.062,0.101
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.036,0.224,0.028,0.02,0.074
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.032,0.042,0.722,0.06,0.12
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.017,0.049,0.379,0.013
"P12","En blanco",0.011,0.004,0.005,0.117,0.124
"P12","No sabe",0.034,0.037,0.028,0.113,0.355
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.566,0.056,0.024,0.103,0.162
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.134,0.03,0.029,0.09,0.045
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.038,0.596,0.107,0.064,0.109
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.036,0.22,0.036,0.05,0.064
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.036,0.061,0.767,0.066,0.118
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.034,0.006,0.014,0.476,0.024
"P15","En blanco",0.036,0.006,0.008,0.051,0.127
"P15","No sabe",0.12,0.025,0.015,0.1,0.351
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.719,0.057,0.021,0.188,0.119
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.093,0.037,0.053,0.066,0.063
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.027,0.608,0.105,0.07,0.098
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.038,0.224,0.022,0.046,0.071
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.038,0.05,0.758,0.055,0.094
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.002,0.014,0.525,0.035
"P18","En blanco",0.012,0.008,0.005,0.011,0.15
"P18","No sabe",0.057,0.014,0.022,0.039,0.37
