"var","categoria","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.024,0.04,0.648,0.034,0.077,0.044
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0.015,0.043,0.506,0.016,0.037
"P12","En blanco",0.002,0.001,0.008,0.067,0.208,0.025
"P12","No sabe",0.011,0.022,0.024,0.019,0.126,0.234
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.643,0.039,0.019,0.155,0.122,0.136
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.13,0.037,0.039,0.049,0.096,0.045
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.024,0.553,0.207,0.077,0.356,0.435
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.028,0.3,0.026,0.054,0.042,0.067
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.026,0.04,0.683,0.059,0.056,0.057
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.038,0.004,0.012,0.549,0.038,0.028
"P15","En blanco",0.029,0.007,0.004,0.005,0.189,0.018
"P15","No sabe",0.082,0.02,0.01,0.052,0.101,0.214
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.802,0.04,0.024,0.135,0.057,0.086
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.076,0.047,0.055,0.05,0.122,0.061
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.018,0.531,0.2,0.123,0.356,0.409
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.022,0.319,0.019,0.065,0.077,0.062
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.028,0.041,0.678,0.057,0.046,0.046
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.003,0.008,0.538,0.006,0.033
"P18","En blanco",0.006,0.003,0.006,0,0.218,0.021
"P18","No sabe",0.025,0.016,0.01,0.032,0.118,0.282
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.731,0.05,0.045,0.157,0.132,0.14
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.027,0.551,0.209,0.074,0.38,0.444
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.04,0.308,0.031,0.027,0.046,0.045
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.03,0.052,0.653,0.094,0.03,0.05
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.034,0.016,0.028,0.546,0.059,0.017
"P21","En blanco",0.039,0.007,0.002,0.067,0.266,0.043
"P21","No sabe",0.099,0.016,0.032,0.035,0.087,0.261
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.66,0.116,0.02,0.152,0.064,0.089
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.03,0.428,0.344,0.077,0.299,0.245
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.234,0.248,0.037,0.069,0.067,0.058
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.025,0.188,0.566,0.09,0.109,0.223
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.007,0.001,0.017,0.56,0.022,0.015
"P24","En blanco",0.012,0.006,0.007,0.035,0.314,0.039
"P24","No sabe",0.032,0.013,0.009,0.017,0.125,0.331
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.668,0.116,0.032,0.124,0.056,0.091
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.011,0.433,0.322,0.037,0.303,0.272
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.209,0.246,0.023,0.074,0.092,0.072
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.018,0.175,0.606,0.135,0.102,0.216
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.01,0.003,0.573,0.019,0.013
"P25","En blanco",0.021,0.003,0.001,0.035,0.286,0.039
"P25","No sabe",0.053,0.017,0.013,0.022,0.142,0.297
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.802,0.031,0.022,0.088,0.162,0.146
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.013,0.795,0.202,0.084,0.406,0.464
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.006,0.041,0.76,0.082,0.021,0.033
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.039,0.007,0.008,0.675,0.039,0.013
"P26","En blanco",0.046,0.036,0,0.045,0.298,0.014
"P26","No sabe",0.094,0.09,0.008,0.026,0.074,0.33
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.814,0.02,0.016,0.048,0.157,0.131
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.008,0.856,0.056,0.114,0.089,0.135
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.016,0.034,0.893,0.044,0.032,0.034
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.046,0.008,0.006,0.754,0.002,0.025
"P27","En blanco",0.039,0.024,0.011,0.023,0.62,0.021
"P27","No sabe",0.077,0.058,0.018,0.017,0.1,0.654
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.952,0.021,0.011,0.08,0.072,0.032
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.006,0.839,0.199,0.085,0.39,0.433
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.004,0.033,0.779,0.016,0.019,0.031
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.005,0.003,0.812,0.002,0.011
"P28","En blanco",0.007,0.04,0.006,0.002,0.445,0.022
"P28","No sabe",0.015,0.062,0.002,0.005,0.072,0.471
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.899,0.041,0.014,0.068,0.097,0.105
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.008,0.827,0.178,0.131,0.372,0.436
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.002,0.03,0.773,0.064,0.025,0.026
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.004,0.007,0.722,0.013,0.008
"P30","En blanco",0.024,0.043,0.007,0.01,0.439,0.003
"P30","No sabe",0.047,0.055,0.021,0.005,0.054,0.422
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.891,0.022,0.02,0.059,0.115,0.1
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.007,0.872,0.024,0.063,0.082,0.145
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.01,0.038,0.927,0.077,0.014,0.044
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.021,0.011,0.004,0.729,0.031,0.009
"P31","En blanco",0.023,0.028,0.009,0.063,0.719,0.032
"P31","No sabe",0.048,0.029,0.016,0.009,0.039,0.67
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.574,0.044,0.025,0.124,0.187,0.081
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.014,0.79,0.197,0.145,0.374,0.429
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.012,0.032,0.771,0.006,0,0.028
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.08,0.006,0.007,0.699,0.054,0.026
"P32","En blanco",0.13,0.053,0,0,0.348,0.036
"P32","No sabe",0.19,0.075,0,0.026,0.037,0.4
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.567,0.028,0.027,0.125,0.171,0.083
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.009,0.867,0.05,0.072,0.095,0.169
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.007,0.04,0.913,0.056,0.077,0.055
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.08,0.002,0.007,0.681,0.006,0.027
"P33","En blanco",0.146,0.02,0.001,0.066,0.614,0.039
"P33","No sabe",0.191,0.043,0.002,0,0.037,0.627
"P34","Axel Kicillof por Unión por la Patria",0.964,0.044,0.025,0.112,0.164,0.144
"P34","Nestor Grindetti por Juntos por el Cambio",0.005,0.824,0.235,0.107,0.409,0.405
"P34","Guillermo Britos por la Libertad Avanza",0.009,0.016,0.641,0.019,0,0.024
"P34","Al candidato del Frente de Izquierda",0.008,0.005,0,0.75,0.031,0.008
"P34","En blanco",0.002,0.031,0.043,0,0.323,0.047
"P34","No sabe",0.012,0.08,0.056,0.012,0.073,0.372
"P35","Axel Kicillof por Unión por la Patria",0.963,0.029,0.039,0.137,0.134,0.154
"P35","Diego Santilli por Juntos por el Cambio",0.009,0.894,0.158,0.108,0.287,0.32
"P35","Guillermo Britos por la Libertad Avanza",0.008,0.027,0.702,0.006,0.015,0.038
"P35","Al candidato del Frente de Izquierda",0.006,0.001,0.002,0.734,0.026,0.017
"P35","En blanco",0.002,0.02,0.043,0.015,0.517,0.051
"P35","No sabe",0.012,0.029,0.056,0,0.021,0.42
"P36","Sergio Massa por Unión por la Patria",0.803,0.038,0.038,0.056,0.078,0.134
"P36","Nestor Grindetti por Juntos por el Cambio",0.008,0.839,0.212,0.106,0.507,0.418
"P36","Guillermo Britos por la Libertad Avanza",0.007,0.02,0.683,0.006,0.042,0.048
"P36","Al candidato del Frente de Izquierda",0.044,0.003,0.001,0.814,0.004,0.011
"P36","En blanco",0.047,0.039,0.03,0.014,0.329,0.031
"P36","No sabe",0.091,0.061,0.036,0.004,0.04,0.358
"P37","Sergio Massa por Unión por la Patria",0.782,0.045,0.029,0.044,0.096,0.131
"P37","Diego Santilli por Juntos por el Cambio",0.014,0.87,0.182,0.044,0.253,0.316
"P37","Guillermo Britos por la Libertad Avanza",0.008,0.024,0.729,0.079,0.051,0.037
"P37","Al candidato del Frente de Izquierda",0.044,0.007,0.002,0.83,0.051,0.011
"P37","En blanco",0.065,0.025,0.02,0.003,0.485,0.038
"P37","No sabe",0.087,0.029,0.038,0,0.064,0.467
"P38","Victoria Tolosa Paz por Unión por la Patria",0.592,0.036,0.028,0.077,0.11,0.06
"P38","Nestor Grindetti por Juntos por el Cambio",0.013,0.821,0.204,0.093,0.478,0.45
"P38","Guillermo Britos por la Libertad Avanza",0.012,0.023,0.699,0.009,0.023,0.03
"P38","Al candidato del Frente de Izquierda",0.072,0.016,0.012,0.791,0.05,0.039
"P38","En blanco",0.157,0.046,0.012,0.011,0.288,0.059
"P38","No sabe",0.154,0.058,0.045,0.019,0.051,0.362
"P39","Victoria Tolosa Paz por Unión por la Patria",0.584,0.027,0.034,0.052,0.158,0.094
"P39","Diego Santilli por Juntos por el Cambio",0.015,0.885,0.17,0.146,0.236,0.352
"P39","Guillermo Britos por la Libertad Avanza",0.01,0.026,0.724,0.009,0.039,0.024
"P39","Al candidato del Frente de Izquierda",0.076,0.008,0.009,0.712,0.007,0.013
"P39","En blanco",0.16,0.024,0.026,0.069,0.489,0.055
"P39","No sabe",0.155,0.03,0.037,0.012,0.071,0.462
"P40","Lo votaría",0.905,0.061,0.06,0.22,0.154,0.153
"P40","Puede que lo vote",0.048,0.059,0.095,0.066,0.031,0.086
"P40","Nunca lo votaría",0.025,0.857,0.828,0.621,0.749,0.649
"P40","No sabe",0.022,0.023,0.017,0.093,0.066,0.112
"P41","La votaría",0.382,0.022,0.019,0.197,0.087,0.07
"P41","Puede que la vote",0.34,0.082,0.061,0.082,0.134,0.072
"P41","Nunca la votaría",0.197,0.862,0.9,0.686,0.711,0.704
"P41","No sabe",0.081,0.034,0.02,0.035,0.068,0.154
"P42","Lo votaría",0.053,0.552,0.233,0.093,0.432,0.37
"P42","Puede que lo vote",0.046,0.215,0.294,0.013,0.116,0.123
"P42","Nunca lo votaría",0.838,0.195,0.401,0.868,0.392,0.257
"P42","No sabe",0.063,0.038,0.072,0.026,0.06,0.25
"P43","Lo votaría",0.022,0.687,0.148,0.089,0.221,0.26
"P43","Puede que lo vote",0.026,0.233,0.359,0.077,0.299,0.245
"P43","Nunca lo votaría",0.915,0.062,0.453,0.807,0.414,0.29
"P43","No sabe",0.037,0.018,0.04,0.027,0.066,0.205
"P44","Lo votaría",0.016,0.14,0.479,0.049,0.015,0.02
"P44","Puede que lo vote",0.032,0.208,0.312,0.007,0.125,0.087
"P44","Nunca lo votaría",0.912,0.547,0.175,0.921,0.732,0.622
"P44","No sabe",0.04,0.105,0.034,0.023,0.128,0.271
"P45","Muy buena",0.749,0.048,0.084,0.165,0.072,0.101
"P45","Buena",0.098,0.049,0.065,0.044,0.049,0.083
"P45","Ni buena ni mala",0.132,0.137,0.06,0.257,0.242,0.143
"P45","Mala",0.011,0.126,0.121,0.094,0.106,0.152
"P45","Muy mala",0.007,0.633,0.664,0.42,0.488,0.469
"P45","No sabe",0.003,0.007,0.006,0.02,0.043,0.052
"P46","Muy buena",0.234,0.022,0.008,0.113,0.014,0.037
"P46","Buena",0.276,0.029,0.042,0.155,0.068,0.055
"P46","Ni buena ni mala",0.298,0.158,0.058,0.193,0.153,0.223
"P46","Mala",0.122,0.199,0.158,0.084,0.207,0.13
"P46","Muy mala",0.055,0.574,0.699,0.444,0.474,0.439
"P46","No sabe",0.015,0.018,0.035,0.011,0.084,0.116
"P47","Muy buena",0.025,0.269,0.134,0.125,0.249,0.185
"P47","Buena",0.038,0.327,0.221,0.019,0.194,0.192
"P47","Ni buena ni mala",0.216,0.192,0.272,0.154,0.284,0.259
"P47","Mala",0.301,0.051,0.052,0.129,0.066,0.074
"P47","Muy mala",0.358,0.107,0.214,0.543,0.115,0.065
"P47","No sabe",0.062,0.054,0.107,0.03,0.092,0.225
"P48","Muy buena",0.016,0.435,0.108,0.003,0.124,0.186
"P48","Buena",0.024,0.366,0.252,0.159,0.232,0.229
"P48","Ni buena ni mala",0.162,0.165,0.278,0.166,0.308,0.276
"P48","Mala",0.338,0.013,0.12,0.102,0.177,0.112
"P48","Muy mala",0.424,0.019,0.198,0.547,0.074,0.046
"P48","No sabe",0.036,0.002,0.044,0.023,0.085,0.151
"P49","Muy buena",0.016,0.069,0.252,0.009,0.026,0.035
"P49","Buena",0.023,0.108,0.31,0.005,0.055,0.057
"P49","Ni buena ni mala",0.157,0.441,0.29,0.217,0.392,0.28
"P49","Mala",0.233,0.089,0.018,0.117,0.092,0.177
"P49","Muy mala",0.461,0.112,0.059,0.569,0.283,0.097
"P49","No sabe",0.11,0.181,0.071,0.083,0.152,0.354
"P50","Siempre",0.328,0.386,0.316,0.371,0.327,0.293
"P50","Casi siempre",0.447,0.37,0.365,0.341,0.371,0.37
"P50","Casi nunca",0.142,0.193,0.261,0.091,0.238,0.183
"P50","Nunca, pero esta es una excepción",0.083,0.051,0.058,0.197,0.064,0.154
"P51","Si",0.572,0.531,0.56,0.584,0.527,0.437
"P51","No",0.428,0.469,0.44,0.416,0.473,0.563
