"var","categoria","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P06","Unión por la Patria y el peronismo",0.861,0.521,0.041,0.139,0.076,0.187,0.175,0.286
"P06","Juntos por el Cambio ",0.061,0.185,0.823,0.725,0.089,0.026,0.102,0.061
"P06","De los Liberales libertarios",0.012,0.15,0.08,0.04,0.766,0.086,0.036,0.056
"P06","De la Izquierda",0.021,0.034,0.01,0.015,0.01,0.57,0.014,0.018
"P06","No sabe",0.045,0.11,0.046,0.081,0.059,0.131,0.673,0.579
"P07","A Sergio Massa",0.242,0.273,0.269,0.532,0.532,0.289,0.363,0.32
"P07","A Daniel Scioli",0.049,0.446,0.152,0.055,0.094,0.141,0,0.079
"P07","A algún candidato del peronismo",0.098,0.062,0.417,0.224,0.209,0.153,0.112,0.309
"P07","A algún candidato del kirchnerismo",0.611,0.219,0.162,0.189,0.165,0.417,0.525,0.292
"P08","A Horacio Rodriguez Larreta",0.187,0.154,0.026,0.573,0.225,0.403,0.193,0.081
"P08","A Patricia Bullrich",0.386,0.624,0.934,0.276,0.672,0.447,0.503,0.624
"P08","A Facundo Manes",0.363,0.193,0.024,0.072,0.091,0.15,0.045,0.219
"P08","A Gerardo Morales",0.064,0.029,0.016,0.079,0.012,0,0.259,0.076
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.229,0.242,0.017,0.059,0.029,0.089,0.126,0.166
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.665,0.098,0.018,0.057,0.02,0.148,0.079,0.072
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.015,0.341,0.014,0.018,0.018,0.017,0.02,0.036
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.026,0.068,0.854,0.129,0.064,0.005,0.018,0.081
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.017,0.057,0.035,0.671,0.014,0.033,0.055,0.036
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.02,0.148,0.04,0.037,0.825,0.097,0.013,0.047
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0.008,0.004,0.006,0.003,0.541,0.045,0.005
"P09","En blanco",0.003,0.01,0.003,0.002,0.002,0.032,0.483,0.061
"P09","No sabe",0.019,0.028,0.015,0.021,0.025,0.038,0.161,0.496
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.228,0.27,0.032,0.071,0.044,0.1,0.201,0.177
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.674,0.135,0.026,0.048,0.04,0.096,0.032,0.046
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.024,0.141,0.823,0.11,0.115,0.034,0.049,0.06
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.024,0.09,0.044,0.684,0.014,0.037,0.042,0.055
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.031,0.143,0.05,0.047,0.724,0.074,0.004,0.04
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0.069,0.005,0.021,0.041,0.469,0.011,0.014
"P12","En blanco",0.005,0.033,0.002,0.001,0.003,0.172,0.508,0.033
"P12","No sabe",0.008,0.119,0.018,0.018,0.019,0.018,0.153,0.575
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.62,0.237,0.038,0.11,0.05,0.085,0.147,0.203
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.093,0.4,0.013,0.054,0.03,0.005,0.006,0.019
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.042,0.106,0.817,0.101,0.083,0.015,0.021,0.046
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.028,0.055,0.045,0.66,0.029,0.013,0.06,0.034
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.034,0.154,0.07,0.05,0.781,0.055,0.007,0.043
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.032,0.015,0.002,0.008,0.006,0.736,0.089,0
"P15","En blanco",0.035,0.008,0.004,0,0.007,0.071,0.555,0.041
"P15","No sabe",0.116,0.025,0.011,0.017,0.014,0.02,0.115,0.614
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.69,0.386,0.03,0.128,0.064,0.089,0.186,0.225
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.048,0.175,0.817,0.1,0.077,0.03,0.012,0.044
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.046,0.072,0.045,0.638,0.027,0.036,0.036,0.055
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.037,0.12,0.087,0.045,0.762,0.025,0.023,0.037
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.036,0.061,0.002,0.068,0.034,0.521,0.037,0.007
"P21","En blanco",0.029,0.066,0.01,0.002,0.013,0.249,0.366,0.062
"P21","No sabe",0.114,0.12,0.009,0.019,0.023,0.05,0.34,0.57
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.661,0.283,0.053,0.255,0.048,0.092,0.053,0.092
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.031,0.173,0.564,0.123,0.269,0.032,0.012,0.056
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.237,0.141,0.046,0.489,0.029,0.049,0.138,0.063
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.027,0.152,0.318,0.08,0.611,0.036,0.005,0.051
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.067,0.002,0.023,0.016,0.553,0.016,0.008
"P24","En blanco",0.007,0.045,0.008,0.002,0.015,0.178,0.473,0.053
"P24","No sabe",0.026,0.139,0.009,0.028,0.012,0.06,0.303,0.677
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.628,0.352,0.035,0.277,0.054,0.117,0.078,0.165
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.024,0.126,0.593,0.093,0.257,0,0.009,0.076
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.209,0.145,0.027,0.503,0.031,0.088,0.212,0.09
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.028,0.143,0.336,0.049,0.634,0.034,0.01,0.041
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.056,0.001,0.012,0.004,0.63,0.034,0.023
"P25","En blanco",0.025,0.043,0.006,0.005,0.002,0.081,0.44,0.071
"P25","No sabe",0.066,0.135,0.002,0.061,0.018,0.05,0.217,0.534
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.753,0.464,0.027,0.133,0.045,0.121,0.345,0.295
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.034,0.149,0.907,0.484,0.091,0.018,0.035,0.078
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.016,0.18,0.046,0.067,0.829,0.049,0.052,0.052
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.036,0.049,0.008,0.028,0.017,0.659,0,0.015
"P26","En blanco",0.059,0.074,0.005,0.066,0.001,0.032,0.389,0.067
"P26","No sabe",0.102,0.084,0.007,0.222,0.017,0.121,0.179,0.493
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.78,0.381,0.028,0.103,0.046,0.131,0.296,0.3
