"var","categoria","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P06","Unión por la Patria y el peronismo",0.858,0.055,0.018,0.343,0.468,0.361
"P06","Juntos por el Cambio ",0.06,0.84,0.084,0.072,0.211,0.266
"P06","De los Liberales libertarios",0.015,0.053,0.818,0.074,0.034,0.048
"P06","De la Izquierda",0.011,0.007,0.015,0.469,0.034,0.01
"P06","No sabe",0.056,0.045,0.065,0.042,0.253,0.315
"P07","A Sergio Massa",0.31,0.318,0.356,0.14,0.085,0.176
"P07","A Daniel Scioli",0.084,0.19,0.166,0.082,0.117,0.068
"P07","A algún candidato del peronismo",0.087,0.354,0.266,0.187,0.108,0.153
"P07","A algún candidato del kirchnerismo",0.519,0.138,0.212,0.591,0.69,0.603
"P08","A Horacio Rodriguez Larreta",0.346,0.095,0.285,0.481,0.636,0.537
"P08","A Patricia Bullrich",0.108,0.845,0.544,0.424,0.249,0.285
"P08","A Facundo Manes",0.46,0.032,0.147,0.095,0.056,0.112
"P08","A Gerardo Morales",0.086,0.028,0.024,0,0.059,0.066
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.32,0.01,0.004,0.063,0.035,0.055
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.559,0.007,0.011,0.263,0.381,0.302
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.052,0.018,0.016,0.094,0.09,0.041
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.015,0.776,0.034,0.019,0.032,0.032
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.017,0.139,0.041,0.096,0.169,0.224
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.017,0.035,0.852,0.023,0.016,0.051
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.002,0.002,0.008,0.405,0.017,0.004
"P09","En blanco",0.007,0.001,0.003,0.002,0.186,0.037
"P09","No sabe",0.011,0.012,0.031,0.035,0.074,0.254
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.332,0.032,0.016,0.053,0.017,0.066
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.543,0.025,0.012,0.298,0.401,0.296
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.03,0.718,0.094,0.042,0.026,0.036
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.038,0.149,0.042,0.082,0.183,0.219
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.026,0.044,0.755,0.075,0.02,0.044
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.008,0.056,0.327,0.034,0.026
"P12","En blanco",0.004,0.001,0.01,0.09,0.219,0.027
"P12","No sabe",0.019,0.023,0.015,0.033,0.1,0.286
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.72,0.025,0.016,0.102,0.079,0.114
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.119,0.033,0.03,0.079,0.147,0.093
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.03,0.732,0.064,0.011,0.025,0.024
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.035,0.143,0.044,0.073,0.19,0.239
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.025,0.051,0.815,0.049,0.024,0.047
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.002,0.011,0.603,0.038,0.028
"P15","En blanco",0.009,0,0.005,0.033,0.321,0.051
"P15","No sabe",0.047,0.014,0.015,0.05,0.176,0.404
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.729,0.032,0.026,0.267,0.413,0.312
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.094,0.03,0.06,0.074,0.109,0.053
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.022,0.71,0.061,0.044,0.031,0.018
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.044,0.159,0.037,0.071,0.16,0.234
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.026,0.051,0.788,0.073,0.005,0.031
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.002,0.007,0.451,0.021,0.035
"P18","En blanco",0.021,0.002,0.005,0,0.174,0.035
"P18","No sabe",0.053,0.014,0.016,0.02,0.087,0.282
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.799,0.034,0.031,0.144,0.133,0.129
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.027,0.74,0.07,0.015,0.038,0.02
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.047,0.14,0.048,0.056,0.201,0.246
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.033,0.05,0.783,0.05,0.045,0.045
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.024,0.01,0.032,0.597,0.022,0.033
"P21","En blanco",0.016,0.003,0.002,0.105,0.388,0.076
"P21","No sabe",0.054,0.023,0.034,0.033,0.173,0.451
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.616,0.065,0.029,0.289,0.304,0.303
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.032,0.525,0.245,0.018,0.037,0.032
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.222,0.119,0.061,0.123,0.237,0.24
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.024,0.268,0.638,0.045,0.047,0.028
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.004,0.013,0.435,0.017,0.005
"P24","En blanco",0.021,0.004,0.001,0.066,0.262,0.052
"P24","No sabe",0.07,0.015,0.013,0.024,0.096,0.34
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.655,0.076,0.011,0.226,0.234,0.249
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.015,0.533,0.233,0.042,0.031,0.028
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.223,0.106,0.048,0.12,0.224,0.203
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.017,0.27,0.675,0.049,0.036,0.029
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.003,0.013,0.512,0.021,0.012
"P25","En blanco",0.023,0.002,0.001,0.025,0.345,0.045
"P25","No sabe",0.053,0.01,0.019,0.026,0.109,0.434
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.93,0.013,0.003,0.103,0.084,0.084
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.024,0.619,0.047,0.079,0.171,0.234
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.005,0.123,0.917,0.023,0.014,0.03
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.013,0.006,0.01,0.739,0.029,0.03
"P27","En blanco",0.008,0.06,0.007,0.037,0.665,0.037
"P27","No sabe",0.02,0.179,0.016,0.019,0.037,0.585
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.889,0.009,0.019,0.279,0.363,0.315
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.008,0.935,0.052,0.051,0.062,0.055
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.012,0.023,0.893,0.079,0.014,0.032
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.002,0.014,0.567,0.027,0.016
"P28","En blanco",0.022,0.004,0.015,0.009,0.483,0.084
"P28","No sabe",0.054,0.027,0.007,0.015,0.051,0.498
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.881,0.014,0.012,0.335,0.383,0.344
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.024,0.628,0.056,0.041,0.213,0.236
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.015,0.139,0.895,0.044,0.002,0.018
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.008,0.014,0.502,0.033,0.009
"P29","En blanco",0.024,0.061,0.005,0.045,0.335,0.037
"P29","No sabe",0.047,0.15,0.018,0.033,0.034,0.356
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.903,0.02,0.014,0.304,0.265,0.277
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.013,0.925,0.05,0.04,0.049,0.046
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.01,0.021,0.9,0.011,0.024,0.039
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.012,0.002,0.003,0.596,0.054,0.019
"P30","En blanco",0.021,0.006,0.01,0.01,0.566,0.074
"P30","No sabe",0.041,0.026,0.023,0.039,0.042,0.545
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.897,0.024,0.014,0.21,0.292,0.242
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.021,0.627,0.061,0.073,0.223,0.208
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.012,0.151,0.901,0.018,0.003,0.028
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.003,0.007,0.66,0.04,0.023
"P31","En blanco",0.025,0.08,0.003,0.018,0.413,0.037
"P31","No sabe",0.035,0.115,0.014,0.021,0.029,0.462
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.617,0.02,0.036,0.105,0.219,0.154
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.013,0.913,0.038,0.081,0.068,0.053
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.013,0.021,0.911,0.004,0.024,0.033
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.068,0.001,0.006,0.721,0.034,0.034
"P32","En blanco",0.114,0.026,0.003,0.014,0.547,0.114
"P32","No sabe",0.175,0.019,0.006,0.075,0.108,0.612
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.604,0.032,0.026,0.09,0.206,0.139
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.034,0.636,0.064,0.097,0.212,0.198
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.003,0.156,0.907,0.053,0.005,0.038
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.062,0.004,0.001,0.68,0.023,0.035
"P33","En blanco",0.12,0.064,0.002,0.049,0.526,0.094
"P33","No sabe",0.177,0.108,0,0.031,0.028,0.496
"P34","Axel Kicillof por Unión por la Patria",0.952,0.013,0.032,0.323,0.442,0.429
"P34","Nestor Grindetti por Juntos por el Cambio",0.009,0.887,0.1,0.063,0.106,0.099
"P34","Guillermo Britos por la Libertad Avanza",0.005,0.026,0.753,0.029,0.019,0.022
"P34","Al candidato del Frente de Izquierda",0.008,0.004,0.003,0.535,0.03,0.001
"P34","En blanco",0.008,0.017,0.042,0,0.368,0.071
"P34","No sabe",0.018,0.053,0.07,0.05,0.035,0.378
"P35","Axel Kicillof por Unión por la Patria",0.952,0.015,0.022,0.347,0.438,0.435
"P35","Diego Santilli por Juntos por el Cambio",0.011,0.78,0.113,0.098,0.246,0.231
"P35","Guillermo Britos por la Libertad Avanza",0.003,0.082,0.768,0.01,0,0.019
"P35","Al candidato del Frente de Izquierda",0.008,0.001,0.003,0.525,0.011,0.008
"P35","En blanco",0.008,0.057,0.033,0.01,0.277,0.055
"P35","No sabe",0.018,0.065,0.061,0.01,0.028,0.252
"P36","Sergio Massa por Unión por la Patria",0.876,0.021,0.029,0.087,0.217,0.208
"P36","Nestor Grindetti por Juntos por el Cambio",0.009,0.879,0.105,0.107,0.138,0.112
"P36","Guillermo Britos por la Libertad Avanza",0.002,0.048,0.787,0.025,0.017,0.049
"P36","Al candidato del Frente de Izquierda",0.017,0,0.003,0.747,0.032,0.025
"P36","En blanco",0.02,0.019,0.031,0.018,0.56,0.111
"P36","No sabe",0.076,0.033,0.045,0.016,0.036,0.495
"P37","Sergio Massa por Unión por la Patria",0.864,0.023,0.031,0.137,0.134,0.174
"P37","Diego Santilli por Juntos por el Cambio",0.02,0.771,0.119,0.055,0.219,0.196
"P37","Guillermo Britos por la Libertad Avanza",0.008,0.089,0.787,0.03,0.009,0.033
"P37","Al candidato del Frente de Izquierda",0.023,0.001,0.007,0.759,0.035,0.032
"P37","En blanco",0.018,0.051,0.022,0.005,0.569,0.116
"P37","No sabe",0.067,0.065,0.034,0.014,0.034,0.449
"P38","Victoria Tolosa Paz por Unión por la Patria",0.631,0.024,0.026,0.166,0.183,0.145
"P38","Nestor Grindetti por Juntos por el Cambio",0.016,0.885,0.072,0.1,0.091,0.089
"P38","Guillermo Britos por la Libertad Avanza",0.014,0.035,0.83,0.02,0.017,0.027
"P38","Al candidato del Frente de Izquierda",0.065,0.003,0.01,0.679,0.041,0.075
"P38","En blanco",0.139,0.017,0.021,0.008,0.617,0.113
"P38","No sabe",0.135,0.036,0.041,0.027,0.051,0.551
"P39","Victoria Tolosa Paz por Unión por la Patria",0.614,0.026,0.029,0.199,0.156,0.187
"P39","Diego Santilli por Juntos por el Cambio",0.031,0.77,0.109,0.08,0.233,0.227
"P39","Guillermo Britos por la Libertad Avanza",0.006,0.082,0.801,0.018,0.003,0.034
"P39","Al candidato del Frente de Izquierda",0.065,0.001,0.003,0.621,0.05,0.041
"P39","En blanco",0.139,0.052,0.032,0.056,0.519,0.084
"P39","No sabe",0.145,0.069,0.026,0.026,0.039,0.427
"P40","Lo votaría",0.895,0.049,0.048,0.332,0.457,0.442
"P40","Puede que lo vote",0.065,0.045,0.108,0.074,0.026,0.057
"P40","Nunca lo votaría",0.017,0.886,0.833,0.495,0.461,0.388
"P40","No sabe",0.023,0.02,0.011,0.099,0.056,0.113
"P41","La votaría",0.397,0.02,0.028,0.176,0.147,0.132
"P41","Puede que la vote",0.337,0.06,0.059,0.188,0.268,0.17
"P41","Nunca la votaría",0.182,0.911,0.888,0.577,0.518,0.478
"P41","No sabe",0.084,0.009,0.025,0.059,0.067,0.22
