"var","categoria","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P06","Unión por la Patria y el peronismo",0.764,0.877,0.563,0.05,0.063,0.043,0.076,0.08,0.112
"P06","Juntos por el Cambio ",0.069,0.043,0.158,0.832,0.791,0.06,0.046,0.073,0.124
"P06","De los Liberales libertarios",0.033,0.01,0.089,0.051,0.046,0.804,0.113,0.096,0.049
"P06","De la Izquierda",0.031,0.021,0.021,0.008,0.011,0.01,0.687,0.053,0.059
"P06","No sabe",0.103,0.049,0.169,0.059,0.089,0.083,0.078,0.698,0.656
"P07","A Sergio Massa",0.584,0.131,0.112,0.384,0.293,0.44,0.226,0.221,0.182
"P07","A Daniel Scioli",0.094,0.045,0.61,0.132,0.162,0.279,0.129,0,0.058
"P07","A algún candidato del peronismo",0.083,0.095,0.13,0.37,0.42,0.238,0.028,0.224,0.357
"P07","A algún candidato del kirchnerismo",0.239,0.729,0.148,0.114,0.125,0.043,0.617,0.555,0.403
"P08","A Horacio Rodriguez Larreta",0.251,0.198,0.232,0.023,0.612,0.214,0,0.031,0.22
"P08","A Patricia Bullrich",0.383,0.166,0.381,0.941,0.251,0.573,0.917,0.177,0.411
"P08","A Facundo Manes",0.22,0.528,0.245,0.02,0.075,0.141,0.041,0.473,0.249
"P08","A Gerardo Morales",0.146,0.108,0.142,0.016,0.062,0.072,0.042,0.319,0.12
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.692,0.072,0.23,0.031,0.027,0.028,0.017,0.046,0.068
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.145,0.854,0.137,0.018,0.035,0.022,0.062,0.07,0.04
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.052,0.015,0.143,0.83,0.078,0.1,0.018,0.018,0.047
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.033,0.02,0.097,0.062,0.736,0.01,0.006,0.012,0.031
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.034,0.026,0.088,0.036,0.054,0.75,0.072,0.1,0.065
