"var","categoria","A Horacio Rodriguez Larreta","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.032,0.014,0.074,0.083
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.032,0.007,0.223,0.078
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.023,0.011,0.065,0.064
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.071,0.822,0.163,0.224
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.76,0.088,0.244,0.343
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.044,0.033,0.076,0.066
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0,0.004,0.002,0.003
"P09","En blanco",0.001,0.002,0.044,0.05
"P09","No sabe",0.037,0.019,0.109,0.089
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.044,0.025,0.065,0.126
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.072,0.022,0.209,0.052
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.049,0.78,0.182,0.435
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.702,0.095,0.289,0.25
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.045,0.041,0.102,0.027
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.025,0.015,0.032,0.014
"P12","En blanco",0,0.004,0.015,0.016
"P12","No sabe",0.063,0.018,0.106,0.08
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.076,0.026,0.239,0.157
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.049,0.016,0.101,0.084
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.057,0.776,0.222,0.313
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.701,0.095,0.229,0.333
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.067,0.062,0.129,0.028
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.003,0.006,0.014,0.017
"P15","En blanco",0.012,0.003,0.007,0.014
"P15","No sabe",0.035,0.016,0.059,0.054
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.06,0.031,0.31,0.102
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.032,0.033,0.109,0.03
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.087,0.775,0.205,0.256
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.733,0.09,0.246,0.506
