"var","categoria","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P06","Unión por la Patria y el peronismo",0.883,0.053,0.022,0.269,0.311,0.317
"P06","Juntos por el Cambio ",0.049,0.847,0.099,0.107,0.266,0.272
"P06","De los Liberales libertarios",0.013,0.048,0.796,0.008,0.052,0.095
"P06","De la Izquierda",0.01,0.007,0.015,0.563,0.066,0.025
"P06","No sabe",0.045,0.045,0.068,0.053,0.305,0.291
"P07","A Sergio Massa",0.282,0.373,0.33,0.077,0.189,0.27
"P07","A Daniel Scioli",0.077,0.23,0.029,0.1,0.205,0.102
"P07","A algún candidato del peronismo",0.08,0.397,0.451,0.374,0.228,0.235
"P07","A algún candidato del kirchnerismo",0.561,0,0.19,0.449,0.378,0.393
"P08","A Horacio Rodriguez Larreta",0.385,0.111,0.171,0.159,0.645,0.327
"P08","A Patricia Bullrich",0.063,0.829,0.698,0.402,0.221,0.438
"P08","A Facundo Manes",0.49,0.031,0.131,0.358,0.025,0.163
"P08","A Gerardo Morales",0.062,0.029,0,0.081,0.109,0.072
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.281,0.012,0.01,0.034,0.097,0.105
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.609,0.005,0.012,0.219,0.165,0.183
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.05,0.012,0.021,0.085,0.106,0.051
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.014,0.758,0.055,0.012,0.027,0.073
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.019,0.164,0.029,0.059,0.238,0.186
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.014,0.033,0.846,0.005,0.043,0.096
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.005,0.002,0.007,0.489,0.009,0.016
"P09","En blanco",0.001,0.002,0.002,0.043,0.196,0.038
"P09","No sabe",0.007,0.012,0.018,0.054,0.119,0.252
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.274,0.031,0.022,0.042,0.114,0.12
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.602,0.023,0.012,0.253,0.186,0.155
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.044,0.693,0.11,0.006,0.05,0.061
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.031,0.175,0.035,0.078,0.258,0.188
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.022,0.041,0.741,0.062,0.04,0.093
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.012,0.012,0.047,0.472,0.025,0.034
"P12","En blanco",0.004,0.002,0.01,0.056,0.216,0.041
"P12","No sabe",0.011,0.023,0.023,0.031,0.111,0.308
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.661,0.033,0.02,0.087,0.128,0.16
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.136,0.02,0.034,0.119,0.145,0.074
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.024,0.717,0.083,0.003,0.009,0.075
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.033,0.162,0.046,0.049,0.249,0.176
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.027,0.049,0.796,0.037,0.027,0.098
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.029,0.005,0.01,0.58,0.041,0.058
"P15","En blanco",0.023,0.004,0.005,0.013,0.28,0.026
"P15","No sabe",0.067,0.01,0.006,0.112,0.121,0.333
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.76,0.025,0.026,0.22,0.242,0.255
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.09,0.029,0.052,0.095,0.127,0.076
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.015,0.707,0.08,0.018,0.016,0.056
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.034,0.173,0.037,0.076,0.246,0.183
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.03,0.05,0.777,0.005,0.035,0.072
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.003,0.009,0.55,0.027,0.043
"P18","En blanco",0.011,0.001,0.007,0,0.177,0.037
"P18","No sabe",0.044,0.012,0.012,0.036,0.13,0.278
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.754,0.035,0.042,0.155,0.172,0.164
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.036,0.722,0.071,0.006,0.021,0.08
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.047,0.154,0.06,0.074,0.246,0.185
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.025,0.055,0.767,0.016,0.038,0.07
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.035,0.01,0.026,0.554,0.043,0.045
"P21","En blanco",0.027,0.006,0.002,0.116,0.364,0.059
"P21","No sabe",0.076,0.018,0.032,0.079,0.116,0.397
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.643,0.071,0.032,0.193,0.193,0.203
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.03,0.524,0.272,0.053,0.075,0.061
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.224,0.132,0.063,0.127,0.232,0.232
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.028,0.258,0.602,0.011,0.045,0.081
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.002,0.016,0.514,0.024,0.019
"P24","En blanco",0.014,0.002,0.001,0.073,0.313,0.053
"P24","No sabe",0.05,0.011,0.014,0.029,0.118,0.351
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.678,0.068,0.018,0.171,0.203,0.155
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.007,0.54,0.265,0.018,0.045,0.044
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.238,0.128,0.042,0.101,0.173,0.154
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.019,0.249,0.655,0.007,0.036,0.081
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.005,0.006,0.645,0.005,0.012
"P25","En blanco",0.012,0.002,0.001,0.026,0.401,0.056
"P25","No sabe",0.032,0.008,0.013,0.032,0.137,0.498
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.833,0.014,0.018,0.115,0.163,0.166
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.018,0.932,0.037,0.015,0.048,0.105
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.008,0.029,0.917,0.02,0.044,0.052
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.035,0.005,0.002,0.727,0.01,0.02
"P26","En blanco",0.032,0.006,0.006,0.069,0.571,0.022
"P26","No sabe",0.074,0.014,0.02,0.054,0.164,0.635
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.835,0.011,0.017,0.078,0.154,0.134
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.022,0.656,0.042,0.099,0.274,0.208
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.02,0.113,0.911,0.013,0.027,0.059
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.041,0.004,0.013,0.757,0.01,0.032
"P27","En blanco",0.024,0.058,0.009,0.033,0.498,0.037
"P27","No sabe",0.058,0.158,0.008,0.02,0.037,0.53
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.912,0.011,0.017,0.145,0.216,0.196
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.016,0.938,0.052,0.043,0.045,0.102
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.006,0.022,0.909,0.051,0.048,0.067
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.004,0.013,0.726,0.013,0.009
"P28","En blanco",0.019,0.003,0.005,0.003,0.643,0.011
"P28","No sabe",0.033,0.022,0.004,0.032,0.035,0.615
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.912,0.009,0.004,0.214,0.202,0.209
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.03,0.665,0.042,0.03,0.261,0.175
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.009,0.122,0.923,0.044,0.036,0.058
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0.013,0.011,0.671,0.007,0.002
