"var","categoria","Sergio Massa por Unión por la Patria","Nestor Grindetti por Juntos por el Cambio","Guillermo Britos por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P06","Unión por la Patria y el peronismo",0.875,0.051,0.018,0.386,0.387,0.464
"P06","Juntos por el Cambio ",0.051,0.842,0.106,0.058,0.215,0.238
"P06","De los Liberales libertarios",0.018,0.064,0.798,0.012,0.083,0.051
"P06","De la Izquierda",0.004,0.008,0.013,0.507,0.009,0.012
"P06","No sabe",0.052,0.035,0.065,0.037,0.306,0.235
"P07","A Sergio Massa",0.332,0.412,0.314,0.08,0.103,0.178
"P07","A Daniel Scioli",0.069,0.148,0.087,0.117,0.066,0.077
"P07","A algún candidato del peronismo",0.066,0.369,0.599,0.207,0.228,0.192
"P07","A algún candidato del kirchnerismo",0.533,0.071,0,0.596,0.603,0.553
"P08","A Horacio Rodriguez Larreta",0.271,0.134,0.007,0.223,0.481,0.249
"P08","A Patricia Bullrich",0.067,0.807,0.901,0.664,0.419,0.497
"P08","A Facundo Manes",0.614,0.027,0.092,0.113,0.037,0.12
"P08","A Gerardo Morales",0.048,0.032,0,0,0.063,0.134
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.32,0.007,0.005,0.041,0.056,0.094
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.569,0.008,0.004,0.289,0.328,0.332
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.048,0.017,0.009,0.106,0.063,0.041
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.016,0.713,0.079,0.007,0.103,0.116
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.014,0.188,0.016,0.047,0.12,0.125
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.018,0.046,0.857,0.002,0.098,0.061
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0,0,0.013,0.489,0.016,0
"P09","En blanco",0.006,0.006,0,0,0.14,0.027
"P09","No sabe",0.009,0.015,0.017,0.019,0.076,0.204
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.313,0.028,0.009,0.047,0.03,0.064
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.556,0.024,0.003,0.355,0.337,0.326
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.034,0.668,0.156,0.012,0.094,0.147
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.039,0.173,0.016,0.054,0.154,0.12
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.029,0.062,0.722,0.002,0.098,0.097
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0.021,0.063,0.441,0.009,0.006
"P12","En blanco",0.002,0.008,0.011,0.07,0.149,0.026
"P12","No sabe",0.021,0.016,0.02,0.019,0.129,0.214
