"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"A Tolosa Paz por el Frente de todos",0.381,0.362,0.401,0.387,0.429,0.259,0.417,0.577,0.312,0.29,0.688,0.043,0.244
"A Santilli y Manes por Juntos",0.38,0.347,0.415,0.255,0.374,0.481,0.464,0.22,0.4,0.52,0.127,0.764,0.556
"A Del Caño por el Frente de Izquierda",0.021,0.022,0.02,0.014,0.029,0.027,0.007,0,0.019,0.048,0.015,0.003,0.032
"A Espert por Avanza libertad",0.112,0.164,0.057,0.247,0.078,0.072,0.026,0.046,0.163,0.094,0.031,0.149,0.124
"A Randazo por “Vamos con vos""",0.023,0.035,0.009,0.014,0.016,0.035,0.036,0.016,0.025,0.025,0.04,0,0.044
"A Hotton por “+Valores”",0.004,0,0.008,0,0.01,0,0,0,0.008,0,0,0.011,0
"Votaría en blanco o anularía",0.079,0.07,0.09,0.083,0.064,0.126,0.05,0.141,0.073,0.023,0.099,0.03,0
