"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P06","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.764,0.532,0.215
"P06","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.193,0.149,0.324
"P06","En blanco",0.032,0.137,0.183
"P06","Aun no tengo decidido mi voto",0.011,0.182,0.278
"P08","Totalmente seguro",0.858,0.295,0.316
"P08","Bastante seguro",0.098,0.45,0.158
"P08","Algo seguro",0.026,0.09,0.379
"P08","Para nada seguro",0.018,0.165,0.147
"P10","Lo votaría",0.814,0.389,0.166
"P10","Puede que lo vote",0.026,0.385,0.124
"P10","Nunca lo votaría",0.154,0.169,0.512
"P10","No sabe",0.006,0.057,0.198
"P11","Lo votaría",0.217,0.247,0.344
"P11","Puede que lo vote",0.034,0.193,0.128
"P11","Nunca lo votaría",0.736,0.391,0.372
"P11","No sabe",0.013,0.169,0.156
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.343,0.543,0.838
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.657,0.457,0.162
"P14","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.541,0.158,0
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.16,0.187,0.043
"P14","En blanco",0.299,0.655,0.957
