"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P06","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.775,0.719,0.342,0.279
"P06","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.182,0.248,0.38,0.137
"P06","En blanco",0.036,0.023,0.173,0.058
"P06","Aun no tengo decidido mi voto",0.007,0.01,0.105,0.526
"P09","Tiene Decidido que va a ir a votar",0.975,0.808,0.629,0.612
"P09","Tiene dudas sobre si va a ir a  votar",0.014,0.152,0.089,0.232
"P09","Tiene Decidido que no va a ir a votar",0.011,0.04,0.282,0.156
"P10","Lo votaría",0.829,0.685,0.351,0.346
"P10","Puede que lo vote",0.02,0.132,0.21,0.126
"P10","Nunca lo votaría",0.146,0.161,0.429,0.305
"P10","No sabe",0.005,0.022,0.01,0.223
"P11","Lo votaría",0.217,0.277,0.26,0.078
"P11","Puede que lo vote",0.02,0.103,0.261,0.127
"P11","Nunca lo votaría",0.752,0.593,0.44,0.469
"P11","No sabe",0.011,0.027,0.039,0.326
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.356,0.651,0.411,0.643
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.644,0.349,0.589,0.357
"P14","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.884,0.077,0.149,0.138
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0,0.923,0.067,0.107
"P14","En blanco",0.116,0,0.784,0.755
