"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.488,0.53,0.545,0.387
"P05","Bastante",0.297,0.303,0.211,0.253
"P05","Poco",0.144,0.12,0.111,0.252
"P05","Nada",0.023,0.039,0.102,0.068
"P05","No sabe",0.048,0.008,0.031,0.04
"P06","Siempre",0.34,0.285,0.242,0.255
"P06","Casi siempre",0.3,0.305,0.363,0.291
"P06","Casi nunca",0.272,0.253,0.201,0.217
"P06","Nunca, pero esta es una excepción",0.088,0.157,0.194,0.237
"P09","Unidos para Cambiar San Luis",0.277,0.079,0.615,0.378
"P09","Juntos Avancemos",0.51,0.101,0.04,0.107
"P09","De los liberales libertarios",0.11,0.637,0.101,0.138
"P09","De la Izquierda",0.005,0.009,0.085,0.033
"P09","Hacemos por nuestro país",0.009,0.031,0.051,0.032
"P09","En blanco",0.057,0.032,0.047,0.055
"P09","No sabe",0.032,0.111,0.061,0.257
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.264,0.099,0.625,0.54
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.508,0.082,0.045,0.013
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.149,0.727,0.124,0.089
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.027,0.013,0.076,0.032
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.012,0.022,0.027,0.011
"P12","En blanco",0.025,0.005,0.062,0.065
"P12","No sabe",0.015,0.052,0.041,0.25
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.403,0.67,0.177,0.32
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.319,0.128,0.136,0.148
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.153,0.094,0.37,0.279
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.068,0.042,0.125,0.097
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.024,0.014,0.094,0.004
"P15","No sabe",0.033,0.052,0.098,0.152
"P16","Totalmente seguro.",0.655,0.733,0.731,0.678
"P16","Bastante seguro",0.184,0.068,0.097,0.032
"P16","Algo seguro",0.082,0.076,0.083,0.091
"P16","Para nada seguro",0.079,0.123,0.089,0.199
"P17","Tiene Decidido que va a ir a votar.",0.861,0.887,0.872,0.867
"P17","Tiene dudas sobre si va a ir a  votar",0.103,0.1,0.063,0.097
"P17","Tiene Decidido que no va a ir a votar",0.036,0.013,0.065,0.036
"P18","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.416,0.177,0.708,0.578
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.524,0.293,0.019,0.052
"P18","En blanco",0.022,0.297,0.213,0.026
"P18","No sabe",0.038,0.233,0.06,0.344
"P20","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.46,0.085,0.628,0.602
"P20","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.211,0.862,0.121,0.1
"P20","En blanco",0.176,0.031,0.203,0.03
"P20","No sabe",0.153,0.022,0.048,0.268
"P21","Si",0.532,0.495,0.511,0.405
"P21","No",0.468,0.505,0.489,0.595
"P12_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.269,0.117,0.629,0.611
"P12_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.51,0.084,0.047,0.055
"P12_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.157,0.758,0.152,0.208
"P12_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.027,0.013,0.076,0.032
"P12_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.012,0.022,0.034,0.027
"P12_imputada","En blanco",0.025,0.006,0.062,0.067
