"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.518,0.341,0.308
"P05","Bastante",0.289,0.197,0.141
"P05","Poco",0.142,0.308,0.13
"P05","Nada",0.035,0.103,0.183
"P05","No sabe",0.016,0.051,0.238
"P06","Siempre",0.31,0.107,0.263
"P06","Casi siempre",0.317,0.199,0.206
"P06","Casi nunca",0.225,0.354,0.352
"P06","Nunca, pero esta es una excepción",0.148,0.34,0.179
"P09","Unidos para Cambiar San Luis",0.303,0.287,0.036
"P09","Juntos Avancemos",0.206,0.21,0.085
"P09","De los liberales libertarios",0.298,0.17,0.271
"P09","De la Izquierda",0.028,0.056,0
"P09","Hacemos por nuestro país",0.03,0.012,0.049
"P09","En blanco",0.038,0.047,0.158
"P09","No sabe",0.097,0.218,0.401
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.336,0.369,0.063
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.177,0.133,0.058
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.34,0.207,0.329
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.027,0.056,0.01
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.022,0.003,0.22
"P12","En blanco",0.024,0.084,0.158
"P12","No sabe",0.074,0.148,0.162
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.466,0.371,0.295
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.182,0.287,0.197
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.197,0.091,0.189
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.055,0.153,0.104
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.028,0.007,0.049
"P15","No sabe",0.072,0.091,0.166
"P16","Totalmente seguro.",0.752,0.29,0.289
"P16","Bastante seguro",0.098,0.173,0
"P16","Algo seguro",0.075,0.129,0.251
"P16","Para nada seguro",0.075,0.408,0.46
"P18","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.446,0.338,0.062
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.245,0.412,0.082
"P18","En blanco",0.146,0.093,0.507
"P18","No sabe",0.163,0.157,0.349
"P19","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.275,0.307,0.298
"P19","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.347,0.363,0.139
"P19","En blanco",0.177,0.12,0.345
"P19","No sabe",0.201,0.21,0.218
"P20","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.406,0.252,0.252
"P20","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.403,0.427,0.167
"P20","En blanco",0.09,0.159,0.335
"P20","No sabe",0.101,0.162,0.246
"P21","Si",0.521,0.31,0.052
"P21","No",0.479,0.69,0.948
"P12_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.348,0.421,0.185
"P12_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.19,0.133,0.067
"P12_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.385,0.286,0.348
"P12_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.027,0.056,0.01
"P12_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.026,0.02,0.221
"P12_imputada","En blanco",0.024,0.084,0.169
