"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Luis","Villa Mercedes","Otra localidad"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.353,0.315,0.392,0.32,0.358,0.341,0.416,0.417,0.323,0.316,0.723,0.501,0.048,0.068,0.063,0.357,0.315,0.394
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.179,0.189,0.169,0.055,0.162,0.278,0.293,0.17,0.133,0.265,0.138,0.121,0.648,0.465,0.038,0.176,0.191,0.172
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.373,0.405,0.34,0.484,0.403,0.273,0.25,0.309,0.439,0.353,0.127,0.114,0.259,0.419,0.838,0.364,0.411,0.344
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.027,0.016,0.037,0.045,0.032,0.009,0.006,0.024,0.028,0.026,0.002,0.174,0.01,0.044,0.006,0.029,0.023,0.026
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.033,0.044,0.022,0.046,0.019,0.049,0.026,0.02,0.05,0.024,0.003,0.09,0.02,0,0.029,0.044,0.025,0.018
"En blanco",0.035,0.031,0.04,0.05,0.026,0.05,0.009,0.06,0.027,0.016,0.007,0,0.015,0.004,0.026,0.03,0.035,0.046
