"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Luis","Villa Mercedes","Otra localidad"
"Mucho",0.414,0.491,0.338,0.387,0.433,0.37,0.48,0.385,0.395,0.487,0.495,0.498,0.431,0.428,0.503,0.473,0.336,0.387
"Bastante",0.283,0.286,0.278,0.286,0.285,0.286,0.263,0.224,0.299,0.334,0.276,0.203,0.405,0.267,0.241,0.251,0.345,0.272
"Poco",0.204,0.15,0.258,0.22,0.189,0.231,0.175,0.234,0.224,0.126,0.137,0.21,0.12,0.26,0.21,0.192,0.203,0.23
"Nada",0.069,0.051,0.087,0.049,0.071,0.089,0.073,0.111,0.051,0.045,0.082,0.064,0.044,0.045,0.033,0.053,0.093,0.073
"No sabe",0.03,0.022,0.039,0.058,0.022,0.024,0.009,0.046,0.031,0.008,0.01,0.025,0,0,0.013,0.031,0.023,0.038
