"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Luis","Villa Mercedes","Otra localidad"
"Si",0.49,0.501,0.479,0.465,0.464,0.543,0.522,0.455,0.501,0.518,0.542,0.416,0.563,0.322,0.487,0.551,0.421,0.442
"No",0.51,0.499,0.521,0.535,0.536,0.457,0.478,0.545,0.499,0.482,0.458,0.584,0.437,0.678,0.513,0.449,0.579,0.558
