"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Luis","Villa Mercedes","Otra localidad"
"Tiene Decidido que va a ir a votar.",0.857,0.89,0.824,0.711,0.931,0.9,0.839,0.813,0.853,0.922,0.884,0.774,0.958,0.951,0.888,0.88,0.854,0.807
"Tiene dudas sobre si va a ir a  votar",0.1,0.074,0.126,0.19,0.049,0.077,0.12,0.122,0.109,0.055,0.109,0.183,0.026,0.049,0.064,0.078,0.093,0.16
"Tiene Decidido que no va a ir a votar",0.043,0.036,0.05,0.099,0.02,0.023,0.041,0.065,0.038,0.023,0.007,0.043,0.016,0,0.048,0.042,0.053,0.033
