"var","categoria","Totalmente seguro.","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Mucho",0.566,0.455,0.195,0.303
"P05","Bastante",0.274,0.361,0.28,0.213
"P05","Poco",0.109,0.146,0.336,0.321
"P05","Nada",0.038,0.038,0.048,0.108
"P05","No sabe",0.013,0,0.141,0.055
"P06","Siempre",0.336,0.231,0.227,0.117
"P06","Casi siempre",0.31,0.357,0.319,0.199
"P06","Casi nunca",0.194,0.286,0.302,0.421
"P06","Nunca, pero esta es una excepción",0.16,0.126,0.152,0.263
"P09","Unidos para Cambiar San Luis",0.299,0.361,0.225,0.206
"P09","Juntos Avancemos",0.214,0.287,0.137,0.088
"P09","De los liberales libertarios",0.347,0.231,0.206,0.069
"P09","De la Izquierda",0.033,0.038,0.017,0.011
"P09","Hacemos por nuestro país",0.024,0.008,0.034,0.069
"P09","En blanco",0.025,0.031,0.101,0.131
"P09","No sabe",0.058,0.044,0.28,0.426
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.355,0.318,0.164,0.279
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.173,0.346,0.114,0.036
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.377,0.23,0.315,0.143
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.024,0.036,0.094,0.005
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.017,0.026,0.028,0.094
"P12","En blanco",0.02,0.031,0.025,0.141
"P12","No sabe",0.034,0.013,0.26,0.302
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.543,0.222,0.291,0.266
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.161,0.4,0.187,0.197
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.184,0.19,0.233,0.141
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.052,0.093,0.042,0.139
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.018,0.074,0.057,0.014
"P15","No sabe",0.042,0.021,0.19,0.243
"P17","Tiene Decidido que va a ir a votar.",0.94,0.829,0.731,0.516
"P17","Tiene dudas sobre si va a ir a  votar",0.042,0.171,0.146,0.326
"P17","Tiene Decidido que no va a ir a votar",0.018,0,0.123,0.158
"P18","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.456,0.401,0.312,0.319
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.25,0.438,0.206,0.167
"P18","En blanco",0.151,0.094,0.188,0.192
"P18","No sabe",0.143,0.067,0.294,0.322
"P19","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.261,0.521,0.28,0.184
"P19","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.358,0.238,0.318,0.349
"P19","En blanco",0.185,0.176,0.179,0.131
"P19","No sabe",0.196,0.065,0.223,0.336
"P20","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.414,0.414,0.174,0.371
"P20","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.436,0.297,0.399,0.251
"P20","En blanco",0.078,0.199,0.157,0.13
"P20","No sabe",0.072,0.09,0.27,0.248
"P21","Si",0.529,0.485,0.432,0.303
"P21","No",0.471,0.515,0.568,0.697
"P12_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.357,0.328,0.202,0.402
"P12_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.184,0.349,0.125,0.055
"P12_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.398,0.23,0.509,0.278
"P12_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.024,0.036,0.094,0.005
"P12_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.017,0.026,0.045,0.115
"P12_imputada","En blanco",0.02,0.031,0.025,0.145
