"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Luis","Villa Mercedes","Otra localidad"
"Siempre",0.232,0.238,0.227,0.175,0.248,0.227,0.312,0.263,0.224,0.204,0.341,0.16,0.216,0.198,0.257,0.246,0.218,0.22
"Casi siempre",0.28,0.294,0.265,0.199,0.291,0.347,0.312,0.244,0.284,0.322,0.32,0.403,0.391,0.312,0.236,0.27,0.277,0.304
"Casi nunca",0.29,0.28,0.299,0.273,0.331,0.279,0.218,0.265,0.285,0.334,0.217,0.323,0.281,0.417,0.258,0.296,0.278,0.292
"Nunca, pero esta es una excepción",0.198,0.188,0.209,0.353,0.13,0.147,0.158,0.228,0.207,0.14,0.122,0.114,0.112,0.073,0.249,0.188,0.227,0.184
