"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P07","Siempre",0.324,0.139,0.091,0.248,0.093
"P07","Casi siempre",0.357,0.502,0.247,0.089,0
"P07","Casi nunca",0.246,0.296,0.491,0.251,0.326
"P07","Nunca, pero esta es una excepción",0.073,0.063,0.171,0.412,0.581
"P08","Tiene Decidido que va a ir a votar",0.893,0.907,0.75,0.592,0.744
"P08","Tiene dudas sobre si va a ir a  votar",0.046,0.065,0.107,0.201,0
"P08","Tiene Decidido que no va a ir a votar",0.061,0.028,0.143,0.207,0.256
"P11","Unión por la Patria",0.362,0.306,0.16,0.259,0.132
"P11","Juntos por el Cambio",0.283,0.348,0.332,0.068,0.097
"P11","Liberales",0.235,0.213,0.252,0.194,0.456
"P11","Izquierda",0.052,0.026,0.051,0.092,0.038
"P11","Otro",0.034,0.053,0.081,0.26,0.024
"P11","No sabe",0.034,0.054,0.124,0.127,0.253
"P12","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.341,0.272,0.127,0.273,0.17
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.323,0.36,0.347,0.182,0.098
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.256,0.26,0.331,0.255,0.566
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.027,0.039,0.06,0.033,0.04
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0.013,0.015,0.048,0
"P12","Otros",0.013,0.021,0.044,0,0
"P12","En blanco",0.01,0.009,0.025,0.072,0
"P12","No sabe",0.019,0.026,0.051,0.137,0.126
"P15","Totalmente seguro",0.767,0.631,0.551,0.496,0.776
"P15","Bastante seguro",0.106,0.209,0.145,0.197,0
"P15","Algo seguro",0.076,0.088,0.152,0.105,0.138
"P15","Para nada seguro",0.051,0.072,0.152,0.202,0.086
"P16","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.365,0.285,0.168,0.223,0.114
"P16","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.388,0.467,0.486,0.258,0.591
"P16","Ramiro Marra por la Libertad Avanza",0.163,0.13,0.059,0.361,0.03
"P16","Vanina Biasi por el Frente de Izquierda",0.027,0.033,0.009,0.07,0.055
"P16","Otros",0.015,0.04,0.104,0.015,0
"P16","En blanco",0.027,0.017,0.036,0,0.042
"P16","No sabe",0.015,0.028,0.138,0.073,0.168
"P19","Totalmente seguro",0.779,0.638,0.586,0.336,0.852
"P19","Bastante seguro",0.117,0.187,0.158,0.298,0.031
"P19","Algo seguro",0.059,0.118,0.036,0.152,0
"P19","Para nada seguro",0.045,0.057,0.22,0.214,0.117
"P24","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.265,0.25,0.257,0,0
"P24","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.272,0.233,0.366,0,0.93
"P24","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.229,0.326,0.183,0.17,0
"P24","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.11,0.029,0.038,0.036,0
"P24","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.032,0.008,0.013,0.444,0
"P24","Otros",0.019,0.037,0.088,0.1,0
"P24","En blanco",0.058,0.042,0,0,0
"P24","No sabe",0.015,0.075,0.055,0.25,0.07
"P27","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.241,0.263,0.091,0,0
"P27","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.259,0.296,0.222,0.038,0
"P27","Ramiro Marra por la Libertad Avanza",0.194,0.136,0.242,0.133,1
"P27","Vanina Biasi por el Frente de Izquierda",0.14,0.02,0.245,0.425,0
"P27","Otros",0.037,0.032,0.046,0,0
"P27","En blanco",0.062,0.152,0.039,0.096,0
"P27","No sabe",0.067,0.101,0.115,0.308,0
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.393,0.329,0.226,0.301,0.254
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.443,0.525,0.582,0.137,0.16
"P31","En blanco",0.112,0.068,0.066,0.348,0.427
"P31","No sabe",0.052,0.078,0.126,0.214,0.159
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.378,0.421,0.418,0.152,0.131
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.25,0.289,0.35,0.444,0.655
"P32","En blanco",0.271,0.183,0.054,0.178,0.057
"P32","No sabe",0.101,0.107,0.178,0.226,0.157
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.411,0.319,0.245,0.174,0.342
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.373,0.406,0.501,0.559,0.499
"P33","En blanco",0.14,0.164,0.094,0.041,0.046
"P33","No sabe",0.076,0.111,0.16,0.226,0.113
"P34","Leandro Santoro por Union por la Patria",0.427,0.274,0.196,0.437,0
"P34","Jorge Macri por Juntos por el Cambio",0.455,0.605,0.618,0.227,0.77
"P34","En blanco",0.088,0.057,0.048,0.249,0.075
"P34","No sabe",0.03,0.064,0.138,0.087,0.155
"P35","Lo votaría",0.394,0.277,0.148,0.24,0.161
"P35","Puede que lo vote",0.081,0.099,0.141,0.184,0.156
"P35","Nunca lo votaría",0.497,0.576,0.58,0.454,0.683
"P35","No sabe",0.028,0.048,0.131,0.122,0
"P36","Lo votaría",0.361,0.465,0.401,0.109,0.131
"P36","Puede que lo vote",0.144,0.202,0.144,0.316,0.494
"P36","Nunca lo votaría",0.456,0.301,0.365,0.496,0.213
"P36","No sabe",0.039,0.032,0.09,0.079,0.162
"P37","Lo votaría",0.293,0.258,0.313,0.443,0.516
"P37","Puede que lo vote",0.131,0.221,0.231,0.134,0
"P37","Nunca lo votaría",0.553,0.478,0.336,0.321,0.36
"P37","No sabe",0.023,0.043,0.12,0.102,0.124
"P38","Lo votaría",0.128,0.091,0.101,0.142,0.074
"P38","Puede que lo vote",0.218,0.157,0.11,0.156,0
"P38","Nunca lo votaría",0.61,0.699,0.658,0.561,0.775
"P38","No sabe",0.044,0.053,0.131,0.141,0.151
"P39","Lo votaría",0.074,0.024,0.121,0.081,0
"P39","Puede que lo vote",0.165,0.186,0.115,0.223,0
"P39","Nunca lo votaría",0.682,0.736,0.607,0.554,1
"P39","No sabe",0.079,0.054,0.157,0.142,0
"P45","Lo votaría",0.348,0.251,0.135,0.35,0
"P45","Puede que lo vote",0.071,0.111,0.093,0.227,0
"P45","Nunca lo votaría",0.542,0.609,0.592,0.333,1
"P45","No sabe",0.039,0.029,0.18,0.09,0
"P46","Lo votaría",0.423,0.437,0.426,0.16,0.728
"P46","Puede que lo vote",0.103,0.169,0.263,0.106,0
"P46","Nunca lo votaría",0.448,0.374,0.25,0.628,0.272
"P46","No sabe",0.026,0.02,0.061,0.106,0
"P52","Si",0.493,0.426,0.308,0.333,0.108
"P52","No",0.507,0.574,0.692,0.667,0.892
