"var","categoria","Unión por la Patria","Juntos por el Cambio","Liberales","Izquierda","Otro","No sabe"
"P06","Mucho",0.634,0.53,0.566,0.634,0.361,0.347
"P06","Bastante",0.282,0.343,0.271,0.17,0.299,0.291
"P06","Poco",0.052,0.115,0.113,0.116,0.16,0.232
"P06","Nada",0.028,0.008,0.029,0.071,0.175,0.081
"P06","No sabe",0.004,0.004,0.021,0.009,0.005,0.049
"P07","Siempre",0.252,0.243,0.245,0.182,0.211,0.172
"P07","Casi siempre",0.405,0.424,0.339,0.429,0.337,0.319
"P07","Casi nunca",0.276,0.274,0.323,0.279,0.283,0.357
"P07","Nunca, pero esta es una excepción",0.067,0.059,0.093,0.11,0.169,0.152
"P08","Tiene Decidido que va a ir a votar",0.912,0.848,0.954,0.792,0.835,0.661
"P08","Tiene dudas sobre si va a ir a  votar",0.048,0.085,0.026,0.048,0.073,0.229
"P08","Tiene Decidido que no va a ir a votar",0.04,0.067,0.02,0.16,0.092,0.11
"P12","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.826,0.044,0.016,0.051,0.063,0.053
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.045,0.888,0.146,0.261,0.021,0.126
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.078,0.034,0.788,0.134,0.536,0.159
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.026,0.005,0.019,0.397,0,0.014
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.007,0.003,0.007,0.07,0.116,0.044
"P12","Otros",0.013,0.013,0.022,0.009,0.143,0.028
"P12","En blanco",0,0.009,0,0,0.092,0.117
"P12","No sabe",0.005,0.004,0.002,0.078,0.029,0.459
"P15","Totalmente seguro",0.772,0.666,0.734,0.623,0.518,0.295
"P15","Bastante seguro",0.114,0.2,0.141,0.172,0.152,0.033
"P15","Algo seguro",0.089,0.086,0.092,0.068,0.103,0.117
"P15","Para nada seguro",0.025,0.048,0.033,0.137,0.227,0.555
