"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.651,0.553,0.539,0.448,0.466,0.405,0.435,0.362
"P06","Bastante",0.269,0.32,0.283,0.331,0.3,0.344,0.201,0.262
"P06","Poco",0.043,0.106,0.124,0.177,0.113,0.251,0.186,0.175
"P06","Nada",0.031,0.018,0.031,0.032,0.121,0,0.178,0.154
"P06","No sabe",0.006,0.003,0.023,0.012,0,0,0,0.047
"P07","Siempre",0.229,0.244,0.212,0.265,0.194,0.367,0.344,0.173
"P07","Casi siempre",0.403,0.444,0.34,0.307,0.52,0.205,0.245,0.29
"P07","Casi nunca",0.31,0.253,0.327,0.308,0.148,0.408,0.272,0.34
"P07","Nunca, pero esta es una excepción",0.058,0.059,0.121,0.12,0.138,0.02,0.139,0.197
"P08","Tiene Decidido que va a ir a votar",0.895,0.854,0.947,0.897,0.773,0.927,0.453,0.817
"P08","Tiene dudas sobre si va a ir a  votar",0.063,0.063,0.035,0.022,0.134,0,0.353,0.122
"P08","Tiene Decidido que no va a ir a votar",0.042,0.083,0.018,0.081,0.093,0.073,0.194,0.061
"P11","Unión por la Patria",0.882,0.03,0.075,0.167,0.1,0.144,0,0.036
"P11","Juntos por el Cambio",0.062,0.807,0.043,0.042,0.066,0.199,0.216,0.034
"P11","Liberales",0.016,0.095,0.711,0.114,0.099,0.233,0,0.015
"P11","Izquierda",0.014,0.046,0.033,0.657,0.255,0.026,0,0.144
"P11","Otro",0.014,0.003,0.105,0,0.341,0.33,0.333,0.043
"P11","No sabe",0.012,0.019,0.033,0.02,0.139,0.068,0.451,0.728
"P15","Totalmente seguro",0.774,0.696,0.702,0.597,0.333,0.474,0.698,0.063
"P15","Bastante seguro",0.119,0.193,0.156,0.16,0.084,0.035,0.039,0.016
"P15","Algo seguro",0.08,0.093,0.09,0.041,0.103,0.145,0.158,0.1
"P15","Para nada seguro",0.027,0.018,0.052,0.202,0.48,0.346,0.105,0.821
"P16","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.838,0.045,0.058,0.331,0.269,0.331,0.09,0.164
"P16","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.08,0.83,0.381,0.099,0.248,0.187,0.107,0.131
"P16","Ramiro Marra por la Libertad Avanza",0.045,0.056,0.448,0.134,0.237,0,0,0.04
"P16","Vanina Biasi por el Frente de Izquierda",0.005,0.007,0.038,0.349,0.041,0.145,0,0.133
"P16","Otros",0.015,0.011,0.033,0.039,0.205,0.312,0.072,0.009
"P16","En blanco",0.004,0.02,0.018,0,0,0.025,0.68,0.12
"P16","No sabe",0.013,0.031,0.024,0.048,0,0,0.051,0.403
"P19","Totalmente seguro",0.776,0.731,0.668,0.537,0.487,0.514,0.789,0.281
"P19","Bastante seguro",0.126,0.167,0.162,0.114,0.342,0.156,0,0.117
"P19","Algo seguro",0.061,0.063,0.112,0.149,0.047,0,0.074,0.101
"P19","Para nada seguro",0.037,0.039,0.058,0.2,0.124,0.33,0.137,0.501
"P24","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.553,0.081,0.142,0.514,0.106,0.579,0,0
"P24","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.072,0.442,0.369,0.024,0.071,0.027,0,0.125
"P24","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.007,0.355,0.423,0.38,0.053,0.309,0,0.047
"P24","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.208,0,0.014,0.082,0.339,0,0,0.079
"P24","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.074,0.033,0,0,0,0,0.04,0
"P24","Otros",0,0.011,0.021,0,0.223,0.085,0.916,0
"P24","En blanco",0.042,0.048,0.008,0,0,0,0.044,0.359
"P24","No sabe",0.044,0.03,0.023,0,0.208,0,0,0.39
"P27","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.399,0.084,0.162,0.649,0.294,0,0,0.066
"P27","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.054,0.445,0.35,0,0.079,0.077,0,0.101
"P27","Ramiro Marra por la Libertad Avanza",0.082,0.235,0.4,0.102,0.07,0,0,0
"P27","Vanina Biasi por el Frente de Izquierda",0.326,0.032,0.007,0.249,0,0.826,0,0
"P27","Otros",0.037,0.001,0.03,0,0.148,0,0.031,0.057
"P27","En blanco",0.05,0.131,0.03,0,0.205,0.097,0.909,0
"P27","No sabe",0.052,0.072,0.021,0,0.204,0,0.06,0.776
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.931,0.078,0.092,0.208,0.209,0.543,0.065,0.166
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.011,0.883,0.55,0.183,0.343,0.316,0.097,0.136
"P31","En blanco",0.031,0.029,0.222,0.359,0.241,0.141,0.699,0.193
"P31","No sabe",0.027,0.01,0.136,0.25,0.207,0,0.139,0.505
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.156,0.901,0.036,0.079,0.039,0.362,0.117,0.098
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.046,0.077,0.886,0.073,0.37,0.095,0,0.119
"P32","En blanco",0.582,0.008,0.039,0.412,0.367,0.211,0.803,0.201
"P32","No sabe",0.216,0.014,0.039,0.436,0.224,0.332,0.08,0.582
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.934,0.102,0.062,0.372,0.268,0.576,0,0.202
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.017,0.455,0.873,0.084,0.347,0.111,0,0.118
"P33","En blanco",0.031,0.288,0.027,0.329,0.163,0.141,0.584,0.163
"P33","No sabe",0.018,0.155,0.038,0.215,0.222,0.172,0.416,0.517
"P34","Leandro Santoro por Union por la Patria",0.913,0.101,0.087,0.241,0.404,0.365,0.09,0.303
"P34","Jorge Macri por Juntos por el Cambio",0.041,0.84,0.677,0.129,0.487,0.31,0.176,0.191
"P34","En blanco",0.022,0.032,0.171,0.348,0.052,0.255,0.734,0.126
"P34","No sabe",0.024,0.027,0.065,0.282,0.057,0.07,0,0.38
"P35","Lo votaría",0.931,0.058,0.053,0.261,0.162,0.205,0.09,0.118
"P35","Puede que lo vote",0.051,0.102,0.109,0.193,0.365,0.363,0.045,0.111
"P35","Nunca lo votaría",0.005,0.801,0.787,0.466,0.252,0.362,0.865,0.432
"P35","No sabe",0.013,0.039,0.051,0.08,0.221,0.07,0,0.339
"P36","Lo votaría",0.092,0.842,0.184,0.031,0.038,0.224,0.22,0.102
"P36","Puede que lo vote",0.091,0.059,0.441,0.162,0.342,0.175,0,0.161
"P36","Nunca lo votaría",0.765,0.092,0.345,0.626,0.472,0.322,0.734,0.424
"P36","No sabe",0.052,0.007,0.03,0.181,0.148,0.279,0.046,0.313
"P37","Lo votaría",0.049,0.149,0.841,0.189,0.021,0,0.09,0
"P37","Puede que lo vote",0.01,0.326,0.099,0.197,0.235,0.14,0,0.203
"P37","Nunca lo votaría",0.911,0.479,0.038,0.614,0.654,0.624,0.91,0.565
"P37","No sabe",0.03,0.046,0.022,0,0.09,0.236,0,0.232
"P38","Lo votaría",0.149,0.052,0.116,0.714,0.282,0.236,0,0.03
"P38","Puede que lo vote",0.44,0.062,0.046,0.179,0.217,0.155,0.276,0.212
"P38","Nunca lo votaría",0.331,0.853,0.804,0.069,0.412,0.609,0.724,0.343
"P38","No sabe",0.08,0.033,0.034,0.038,0.089,0,0,0.415
"P39","Lo votaría",0.073,0.064,0.051,0.131,0.241,0,0,0.078
"P39","Puede que lo vote",0.23,0.144,0.125,0.143,0.52,0.332,0.196,0.293
"P39","Nunca lo votaría",0.613,0.74,0.755,0.548,0.239,0.554,0.804,0.233
"P39","No sabe",0.084,0.052,0.069,0.178,0,0.114,0,0.396
