"var","categoria","Leandro Santoro a Jefe de Gobierno por Union por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P35","Lo votaría",0.841,0.045,0.147,0.231,0.251,0.055,0.071
"P35","Puede que lo vote",0.104,0.102,0.13,0.081,0.055,0.101,0.164
"P35","Nunca lo votaría",0.032,0.801,0.69,0.592,0.66,0.769,0.459
"P35","No sabe",0.023,0.052,0.033,0.096,0.034,0.075,0.306
"P36","Lo votaría",0.099,0.693,0.203,0.282,0.27,0.242,0.259
"P36","Puede que lo vote",0.113,0.179,0.38,0.106,0.157,0.025,0.108
"P36","Nunca lo votaría",0.727,0.109,0.407,0.447,0.484,0.593,0.406
"P36","No sabe",0.061,0.019,0.01,0.165,0.089,0.14,0.227
"P37","Lo votaría",0.069,0.275,0.806,0.243,0.345,0.025,0.081
"P37","Puede que lo vote",0.06,0.278,0.102,0.151,0.19,0,0.147
"P37","Nunca lo votaría",0.836,0.402,0.082,0.558,0.353,0.975,0.514
"P37","No sabe",0.035,0.045,0.01,0.048,0.112,0,0.258
"P38","Lo votaría",0.184,0.042,0.145,0.427,0.078,0.037,0.137
"P38","Puede que lo vote",0.445,0.055,0.046,0.19,0.122,0.126,0.108
"P38","Nunca lo votaría",0.301,0.861,0.809,0.327,0.716,0.658,0.355
"P38","No sabe",0.07,0.042,0,0.056,0.084,0.179,0.4
"P39","Lo votaría",0.071,0.038,0.094,0.183,0.16,0.059,0.047
"P39","Puede que lo vote",0.263,0.139,0.111,0.172,0.192,0.281,0.172
"P39","Nunca lo votaría",0.574,0.763,0.763,0.588,0.62,0.498,0.323
"P39","No sabe",0.092,0.06,0.032,0.057,0.028,0.162,0.458
"P45","Lo votaría",0.782,0.044,0.122,0.206,0.027,0.038,0
"P45","Puede que lo vote",0.094,0.064,0.139,0.132,0.071,0.078,0.231
"P45","Nunca lo votaría",0.107,0.847,0.728,0.604,0.847,0.729,0.185
"P45","No sabe",0.017,0.045,0.011,0.058,0.055,0.155,0.584
"P46","Lo votaría",0.107,0.762,0.257,0.258,0.186,0.037,0.049
"P46","Puede que lo vote",0.068,0.136,0.282,0.218,0.334,0.129,0.22
"P46","Nunca lo votaría",0.793,0.097,0.451,0.467,0.395,0.633,0.464
"P46","No sabe",0.032,0.005,0.01,0.057,0.085,0.201,0.267
"P52","Si",0.428,0.478,0.431,0.269,0.418,0.688,0.259
"P52","No",0.572,0.522,0.569,0.731,0.582,0.312,0.741
