"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Al Frente de todos",0.4,0.444,0.353,0.307,0.457,0.39,0.411,0.451,0.38,0.369,0.716,0.134,0.216
"A Juntos",0.417,0.35,0.487,0.298,0.395,0.512,0.511,0.441,0.371,0.457,0.178,0.742,0.295
"Al Frente de Izquierda",0.04,0.035,0.046,0.094,0.038,0.016,0.003,0,0.048,0.078,0.004,0.005,0.071
"Al Partido Avanza libertad",0.067,0.091,0.041,0.201,0.031,0.026,0.013,0.052,0.097,0.038,0.037,0.103,0
"A “Vamos con vos""",0.019,0.024,0.014,0.023,0.011,0.018,0.035,0.01,0.016,0.034,0.007,0,0.418
"Votaría en blanco o anularía",0.057,0.056,0.059,0.077,0.068,0.038,0.027,0.046,0.088,0.024,0.058,0.016,0
