"var","categoria","Eduardo Costa por Cambia Santa Cruz","Pablo Grasso por el Frente de Todos","Javier Belloni por el Frente de Todos","Alicia Kirchner por el Frente de Todos","Pablo González por el Frente de Todos","Fernando Cotillo por el Frente de Todos","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER","Roxana Reyes por Cambia Santa Cruz","No sabe"
"P06","Del Frente de Todos y el peronismo",0.034,0.58,0.407,0.875,0.529,0.312,0.152,0.019,0.079
"P06","De Juntos por el cambio",0.592,0.056,0.08,0.03,0.074,0.083,0.124,0.514,0.072
"P06","De los Liberales libertarios",0.166,0.137,0.203,0.014,0.025,0.254,0.273,0.374,0.284
"P06","De la Izquierda",0.052,0.044,0.041,0.014,0.026,0,0.071,0.033,0.082
"P06","No sabe",0.156,0.183,0.269,0.067,0.346,0.351,0.38,0.06,0.483
"P07","A Alberto Fernández",0.402,0.35,0.22,0.478,0.127,0,0.089,0.856,0
"P07","A Sergio Massa",0.21,0.161,0.03,0.035,0.064,0.149,0.154,0,0.11
"P07","A algún candidato del peronismo",0.182,0.134,0.163,0.17,0.419,0.25,0.606,0,0.305
"P07","A algún candidato del kirchnerismo",0.206,0.355,0.587,0.317,0.39,0.601,0.151,0.144,0.585
"P08","A Alberto Fernández",0.302,0.126,0.073,0.315,0,0,0.089,0.856,0.103
"P08","A Sergio Massa",0.151,0.2,0.085,0.092,0.291,0.149,0.081,0,0.11
"P08","A algún candidato del peronismo",0.182,0.206,0.073,0.116,0.151,0.25,0.361,0,0.213
"P08","A Cristina Fernández de Kirchner",0.365,0.468,0.769,0.477,0.558,0.601,0.469,0.144,0.574
"P09","A Horacio Rodriguez Larreta",0.17,0.682,0.395,0.82,0.821,1,0.167,0.11,0.095
"P09","A Mauricio Macri",0.249,0.261,0.241,0.13,0,0,0.429,0.348,0.475
"P09","A Patricia Bullrich",0.335,0,0,0,0.179,0,0.388,0.361,0.139
"P09","A Facundo Manes",0.061,0,0.364,0.05,0,0,0,0.048,0.238
"P09","A Gerardo Morales",0.185,0.057,0,0,0,0,0.016,0.133,0.053
"P10","Eduardo Costa por Cambia Santa Cruz",0.71,0.011,0.02,0.007,0,0.084,0.008,0.122,0.027
"P10","Máximo Kirchner por el Frente de Todos",0.075,0.144,0.115,0.576,0.194,0.026,0.029,0,0.041
"P10","Pablo Grasso por el Frente de Todos",0.051,0.611,0.054,0.163,0,0,0.032,0.023,0.041
"P10","Javier Belloni por el Frente de Todos",0.015,0.108,0.739,0.079,0.03,0.059,0.044,0.036,0.036
"P10","Pablo González por el Frente de Todos",0.007,0,0,0.026,0.664,0,0.007,0.024,0.008
"P10","Fernando Cotillo por el Frente de Todos",0,0.051,0,0.014,0,0.508,0,0.011,0.002
"P10","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.022,0.045,0.035,0.043,0,0.306,0.832,0.136,0.111
"P10","Roxana Reyes por Cambia Santa Cruz",0.056,0,0,0,0.007,0.017,0.017,0.61,0.003
"P10","No sabe",0.064,0.03,0.037,0.092,0.105,0,0.031,0.038,0.731
