clase,Todos,Hombres,Mujeres,16-29 años,30-49 años,50-64 años,65+ años,Hasta primario completo,Secundario completo/incompleto,Terciario completo/incompleto,Capital,Interior,A.Kirchner,Belloni,Vidal,Costa,Otro Nueva Santa Cruz,Peralta
Máximo Kirchner por el Frente de Todos,0.116,0.127,0.106,0.117,0.133,0.077,0.116,0.135,0.114,0.097,0.128,0.11,0.277,0.018,0.02,0.014,0.067,0
Pablo Grasso por el Frente de Todos,0.14,0.12,0.161,0.148,0.145,0.119,0.13,0.133,0.162,0.097,0.215,0.098,0.244,0.159,0.106,0.028,0.058,0.057
Javier Belloni por el Frente de Todos,0.121,0.129,0.112,0.12,0.127,0.114,0.106,0.104,0.111,0.168,0.055,0.158,0.092,0.442,0.055,0.025,0.07,0.072
Pablo González por el Frente de Todos,0.035,0.039,0.03,0.007,0.047,0.061,0.028,0.044,0.023,0.049,0.054,0.024,0.067,0.037,0.003,0.007,0.038,0
Fernando Cotillo por el Frente de Todos,0.018,0.019,0.018,0.026,0.002,0.043,0.018,0.017,0.02,0.015,0.004,0.026,0.021,0.032,0.031,0,0.017,0
Eduardo Costa por Cambia Santa Cruz,0.113,0.11,0.116,0.122,0.078,0.157,0.168,0.141,0.099,0.108,0.13,0.103,0.056,0.074,0.048,0.436,0.115,0.133
Roxana Reyes por Cambia Santa Cruz,0.064,0.076,0.052,0.025,0.07,0.104,0.108,0.035,0.055,0.129,0.089,0.05,0.022,0.04,0.019,0.199,0.092,0.026
Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER,0.219,0.2,0.238,0.263,0.219,0.172,0.133,0.223,0.232,0.18,0.136,0.266,0.138,0.112,0.59,0.145,0.154,0.261
No sabe,0.174,0.18,0.167,0.172,0.179,0.153,0.193,0.168,0.184,0.157,0.189,0.165,0.083,0.086,0.128,0.146,0.389,0.451
