"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","A.Kirchner","Belloni","Vidal","Costa","Otro Nueva Santa Cruz","Peralta"
"Lo votaría",0.161,0.214,0.105,0.135,0.142,0.202,0.271,0.204,0.114,0.214,0.227,0.123,0.111,0.119,0.08,0.453,0.286,0.075
"Puede que lo vote",0.149,0.139,0.161,0.12,0.167,0.162,0.152,0.132,0.158,0.153,0.171,0.138,0.087,0.192,0.201,0.222,0.166,0.101
"Nunca lo votaría",0.532,0.509,0.555,0.619,0.516,0.481,0.371,0.405,0.596,0.547,0.479,0.561,0.647,0.612,0.583,0.252,0.396,0.569
"No sabe",0.158,0.138,0.179,0.126,0.175,0.155,0.206,0.259,0.132,0.086,0.123,0.178,0.155,0.077,0.136,0.073,0.152,0.255
