"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P10","Eduardo Costa por Cambia Santa Cruz",0.018,0.384,0.072,0.11,0.062
"P10","Máximo Kirchner por el Frente de Todos",0.289,0.041,0.049,0.079,0.043
"P10","Pablo Grasso por el Frente de Todos",0.273,0.081,0.106,0.096,0.076
"P10","Javier Belloni por el Frente de Todos",0.164,0.043,0.148,0.04,0.122
"P10","Pablo González por el Frente de Todos",0.061,0.018,0.01,0.009,0.041
"P10","Fernando Cotillo por el Frente de Todos",0.032,0.008,0,0.034,0.021
"P10","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.113,0.124,0.316,0.331,0.3
"P10","Roxana Reyes por Cambia Santa Cruz",0.005,0.204,0.081,0.05,0.024
"P10","No sabe",0.045,0.097,0.218,0.251,0.311
"P11","Eduardo Costa por Cambia Santa Cruz",0.016,0.435,0.109,0.138,0.079
"P11","Pablo Grasso por el Frente de Todos",0.313,0.047,0.103,0.133,0.106
"P11","Javier Belloni por el Frente de Todos",0.149,0.046,0.104,0.083,0.105
"P11","Alicia Kirchner por el Frente de Todos",0.272,0.015,0.006,0.024,0.022
"P11","Pablo González por el Frente de Todos",0.074,0.016,0.005,0.02,0.052
"P11","Fernando Cotillo por el Frente de Todos",0.019,0.008,0.022,0,0.023
"P11","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.104,0.131,0.258,0.269,0.278
"P11","Roxana Reyes por Cambia Santa Cruz",0.005,0.234,0.152,0.054,0.019
"P11","No sabe",0.048,0.068,0.241,0.279,0.316
"P12","Eduardo Costa por Cambia Santa Cruz",0.032,0.456,0.112,0.121,0.05
"P12","Javier Belloni por el Frente de Todos",0.211,0.015,0.11,0.18,0.143
"P12","Pablo Grasso por el Frente de Todos",0.369,0.07,0.102,0.023,0.081
"P12","Pablo González por el Frente de Todos",0.121,0.011,0.027,0.009,0.023
"P12","Fernando Cotillo por el Frente de Todos",0.057,0.017,0.009,0.019,0.042
"P12","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.116,0.107,0.205,0.199,0.187
"P12","Roxana Reyes por Cambia Santa Cruz",0.011,0.222,0.217,0.267,0.127
"P12","No sabe",0.083,0.102,0.218,0.182,0.347
"P13","Lo votaría",0.402,0.07,0.058,0.143,0.075
"P13","Puede que lo vote",0.285,0.017,0.034,0.055,0.129
"P13","Nunca lo votaría",0.2,0.906,0.887,0.712,0.561
"P13","No sabe",0.113,0.007,0.021,0.09,0.235
"P14","Lo votaría",0.432,0.061,0.025,0.043,0.069
"P14","Puede que lo vote",0.245,0.034,0.087,0.047,0.106
"P14","Nunca lo votaría",0.204,0.881,0.827,0.87,0.588
"P14","No sabe",0.119,0.024,0.061,0.04,0.237
"P15","Lo votaría",0.079,0.492,0.135,0.148,0.038
"P15","Puede que lo vote",0.064,0.202,0.236,0.124,0.15
"P15","Nunca lo votaría",0.746,0.232,0.498,0.601,0.507
"P15","No sabe",0.111,0.074,0.131,0.127,0.305
"P16","Lo votaría",0.154,0.263,0.295,0.352,0.263
"P16","Puede que lo vote",0.132,0.168,0.183,0.175,0.194
"P16","Nunca lo votaría",0.625,0.524,0.479,0.434,0.324
"P16","No sabe",0.089,0.045,0.043,0.039,0.219
"P17","Lo votaría",0.2,0.06,0.048,0.053,0.048
"P17","Puede que lo vote",0.244,0.065,0.05,0.056,0.125
"P17","Nunca lo votaría",0.435,0.834,0.844,0.763,0.585
"P17","No sabe",0.121,0.041,0.058,0.128,0.242
"P18","Lo votaría",0.265,0.063,0.139,0.171,0.17
"P18","Puede que lo vote",0.255,0.116,0.097,0.325,0.135
"P18","Nunca lo votaría",0.356,0.776,0.699,0.459,0.458
"P18","No sabe",0.124,0.045,0.065,0.045,0.237
"P19","Lo votaría",0.049,0.481,0.186,0.131,0.074
"P19","Puede que lo vote",0.042,0.19,0.152,0.138,0.086
"P19","Nunca lo votaría",0.85,0.296,0.599,0.594,0.646
"P19","No sabe",0.059,0.033,0.063,0.137,0.194
"P20","Lo votaría",0.384,0.113,0.145,0.069,0.073
"P20","Puede que lo vote",0.177,0.103,0.123,0.371,0.163
"P20","Nunca lo votaría",0.325,0.761,0.657,0.426,0.542
"P20","No sabe",0.114,0.023,0.075,0.134,0.222
"P21","Lo votaría",0.104,0.033,0.031,0.005,0.015
"P21","Puede que lo vote",0.141,0.005,0.058,0.031,0.079
"P21","Nunca lo votaría",0.58,0.934,0.867,0.827,0.673
"P21","No sabe",0.175,0.028,0.044,0.137,0.233
"P22","Muy buena",0.176,0.04,0.019,0.015,0.016
"P22","Buena",0.19,0.025,0.029,0.017,0.039
"P22","Ni buena ni mala",0.398,0.343,0.434,0.284,0.376
"P22","Mala",0.092,0.277,0.174,0.39,0.201
"P22","Muy mala",0.048,0.277,0.224,0.074,0.087
"P22","No sabe",0.096,0.038,0.12,0.22,0.281
"P23","Muy buena",0.354,0.058,0.02,0.025,0.075
"P23","Buena",0.187,0.002,0.044,0,0.089
"P23","Ni buena ni mala",0.254,0.127,0.213,0.235,0.119
"P23","Mala",0.12,0.281,0.212,0.131,0.304
"P23","Muy mala",0.052,0.522,0.502,0.598,0.288
"P23","No sabe",0.033,0.01,0.009,0.011,0.125
"P24","Muy buena",0.06,0.246,0.07,0.065,0.05
"P24","Buena",0.01,0.168,0.167,0,0.117
"P24","Ni buena ni mala",0.138,0.247,0.28,0.152,0.252
"P24","Mala",0.414,0.191,0.271,0.112,0.198
"P24","Muy mala",0.328,0.147,0.159,0.444,0.196
"P24","No sabe",0.05,0.001,0.053,0.227,0.187
"P25","Muy buena",0.343,0.038,0.022,0,0.013
"P25","Buena",0.206,0.037,0.059,0.113,0.097
"P25","Ni buena ni mala",0.196,0.084,0.084,0.145,0.2
"P25","Mala",0.14,0.205,0.147,0.112,0.143
"P25","Muy mala",0.075,0.63,0.677,0.619,0.398
"P25","No sabe",0.04,0.006,0.011,0.011,0.149
"P26","Muy buena",0.181,0.157,0.191,0.192,0.173
"P26","Buena",0.128,0.113,0.148,0.138,0.15
"P26","Ni buena ni mala",0.259,0.259,0.28,0.184,0.251
"P26","Mala",0.225,0.155,0.148,0.131,0.091
"P26","Muy mala",0.147,0.307,0.207,0.344,0.178
"P26","No sabe",0.06,0.009,0.026,0.011,0.157
"P27","Muy buena",0.24,0.058,0.118,0.027,0.154
"P27","Buena",0.251,0.062,0.175,0.218,0.13
"P27","Ni buena ni mala",0.231,0.242,0.277,0.397,0.267
"P27","Mala",0.141,0.229,0.159,0.133,0.112
"P27","Muy mala",0.061,0.349,0.204,0.208,0.15
"P27","No sabe",0.076,0.06,0.067,0.017,0.187
"P28","Muy buena",0.055,0.383,0.115,0.053,0.043
"P28","Buena",0.044,0.164,0.161,0.14,0.069
"P28","Ni buena ni mala",0.218,0.242,0.334,0.119,0.29
"P28","Mala",0.28,0.095,0.169,0.089,0.187
"P28","Muy mala",0.298,0.116,0.174,0.3,0.182
"P28","No sabe",0.105,0,0.047,0.299,0.229
"P29","Muy buena",0.075,0.064,0.028,0,0.025
"P29","Buena",0.093,0.044,0.011,0.066,0.094
"P29","Ni buena ni mala",0.351,0.202,0.247,0.075,0.3
"P29","Mala",0.166,0.237,0.24,0.177,0.141
"P29","Muy mala",0.164,0.422,0.364,0.456,0.241
"P29","No sabe",0.151,0.031,0.11,0.226,0.199
"P30","Muy buena",0.363,0.074,0.087,0.019,0.07
"P30","Buena",0.23,0.063,0.053,0.123,0.093
"P30","Ni buena ni mala",0.206,0.134,0.18,0.283,0.362
"P30","Mala",0.107,0.212,0.206,0.049,0.12
"P30","Muy mala",0.059,0.494,0.339,0.286,0.197
"P30","No sabe",0.035,0.023,0.135,0.24,0.158
