"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","A.Kirchner","Belloni","Vidal","Costa","Otro Nueva Santa Cruz","Peralta"
"Del Frente de Todos y el peronismo",0.289,0.282,0.297,0.229,0.32,0.325,0.305,0.264,0.29,0.326,0.296,0.286,0.587,0.33,0.156,0.005,0.021,0.303
"De Juntos por el cambio",0.194,0.206,0.181,0.18,0.152,0.301,0.238,0.215,0.17,0.222,0.244,0.165,0.108,0.16,0.129,0.64,0.336,0.025
"De los Liberales libertarios",0.196,0.256,0.135,0.255,0.197,0.117,0.115,0.149,0.228,0.184,0.185,0.202,0.1,0.215,0.273,0.214,0.272,0.039
"De la Izquierda",0.047,0.043,0.05,0.052,0.044,0.04,0.057,0.059,0.038,0.05,0.039,0.051,0.036,0.029,0.062,0.026,0.047,0.185
"No sabe",0.274,0.213,0.337,0.284,0.287,0.217,0.285,0.313,0.274,0.218,0.236,0.296,0.169,0.266,0.38,0.115,0.324,0.448
