"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","A.Kirchner","Belloni","Vidal","Costa","Otro Nueva Santa Cruz","Peralta"
"Lo votaría",0.17,0.207,0.131,0.206,0.124,0.179,0.248,0.178,0.156,0.194,0.184,0.162,0.075,0.202,0.069,0.61,0.012,0
"Puede que lo vote",0.108,0.124,0.092,0.034,0.147,0.152,0.116,0.129,0.081,0.148,0.112,0.107,0.089,0.082,0.114,0.178,0.337,0.014
"Nunca lo votaría",0.63,0.58,0.682,0.704,0.625,0.56,0.5,0.553,0.689,0.591,0.639,0.624,0.779,0.635,0.756,0.189,0.59,0.774
"No sabe",0.092,0.089,0.095,0.056,0.104,0.109,0.136,0.14,0.074,0.067,0.065,0.107,0.057,0.081,0.061,0.023,0.061,0.212
