"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","A.Kirchner","Belloni","Vidal","Costa","Otro Nueva Santa Cruz","Peralta"
"A Alberto Fernández",0.176,0.148,0.206,0.108,0.231,0.137,0.241,0.331,0.138,0.063,0.215,0.155,0.193,0.148,0.11,0,0,0
"A Sergio Massa",0.13,0.154,0.106,0.227,0.073,0.092,0.137,0.173,0.104,0.137,0.26,0.06,0.143,0.079,0.081,0,1,0.382
"A algún candidato del peronismo",0.17,0.207,0.131,0.231,0.121,0.203,0.117,0.114,0.209,0.151,0.14,0.186,0.12,0.307,0.281,0,0,0.333
"A Cristina Fernández de Kirchner",0.524,0.491,0.557,0.434,0.575,0.568,0.505,0.382,0.549,0.649,0.385,0.599,0.544,0.466,0.528,1,0,0.285
